sample,STAT1,CXCL9,SMAD3,IFNG,KLRB1,TGFBR1,CD3D,ITGAM,CD163,GZMA,CD68,NKG7,MS4A4A,GNLY,TGFB1,CD8A,IDO1,IL10,CD14,CD79A,CD3E,PRF1,CXCL10,CD4,CD8B,CD2,MS4A1,CD19
TCGA-19-1787-01,6.6156,0.8488,4.0419,-5.0116,-2.2447,4.2943,1.0573,2.8582,5.0704,0.9642,7.3583,2.036,3.483,2.8916,5.6404,0.7999,0.0014,-0.1993,7.0972,-1.1488,1.642,2.5338,4.7088,5.6668,-0.5756,1.3109,-3.816,-2.3147
TCGA-S9-A7J2-01,4.6798,-3.816,3.9051,-9.9658,-4.6082,3.5911,-9.9658,2.0742,0.2998,-2.7274,4.9851,-0.3566,1.4388,-1.9942,4.905,-1.4305,-3.6259,-2.4659,5.2111,-2.4659,-4.035,-2.3884,-3.1714,3.7464,-0.7108,-3.458,-4.035,-2.9324
TCGA-G3-A3CH-11,5.6355,4.3758,1.6964,-2.2447,2.1313,1.5998,2.7444,0.1257,5.3349,2.9637,5.8814,4.2862,3.0411,1.4704,2.9071,2.9013,1.2209,-1.2828,8.6607,2.1638,3.6657,2.6487,4.8314,5.3551,1.614,2.6783,0.2998,-1.2481
TCGA-EK-A2RE-01,5.6473,1.8722,6.4291,-3.3076,-3.0469,3.8501,-1.1172,-0.0277,1.4756,-0.8863,6.4547,-2.6349,0.099,-0.3383,5.9704,-2.6349,3.506,-2.6349,3.2707,-2.3147,0.1903,-2.3147,4.4404,0.9343,-3.1714,-0.3022,-6.5064,-9.9658
TCGA-44-6778-01,8.0346,7.8017,3.4048,1.6234,2.6962,4.1604,5.6868,3.9487,7.6957,6.12,9.6935,6.3533,6.3744,5.3133,5.405,4.848,5.55,2.5338,7.7169,6.2401,5.9966,3.867,6.5884,7.0621,3.0498,5.6422,5.3999,3.2692
TCGA-F4-6854-01,6.0343,4.5293,3.2374,-0.4719,1.0503,2.9655,2.9692,0.6425,2.3106,2.824,6.8983,3.0757,1.4808,2.8701,4.1417,2.4544,3.3675,-2.114,4.6662,2.3592,3.0411,1.9895,4.5392,3.5486,1.6327,2.7889,-0.9686,-0.7588
TCGA-AB-2863-03,6.2331,-2.8262,4.3938,-4.6082,-0.2159,4.3555,1.7489,3.5411,4.6053,-0.4521,6.2077,6.7114,2.6232,-1.1488,5.6097,0.058,-9.9658,-0.0574,3.3535,1.7446,2.6533,-0.5973,-0.4325,2.4279,-1.0559,1.0915,2.5137,0.03
TCGA-C8-A1HL-01,5.3184,2.4623,3.5935,-5.0116,0.1388,4.0696,1.4652,1.2394,4.4357,1.9149,6.2419,1.4065,3.4907,-0.3022,4.9454,0.8726,-0.394,-0.8599,5.0713,-0.8339,1.7617,-0.5756,2.5338,3.9403,-0.1828,1.7403,-1.3921,-4.6082
TCGA-EW-A2FS-01,5.528,3.9099,2.9525,-2.2447,2.1509,2.7401,3.7061,1.934,3.2435,3.8993,4.3155,3.9543,1.9675,2.3394,4.1343,2.6325,1.0711,-2.2447,4.5117,5.428,4.0383,0.6517,3.9468,3.9118,1.5064,3.3407,3.2885,1.0847
TCGA-IR-A3L7-01,4.8876,-0.5332,5.6288,-4.6082,-0.4131,3.1939,1.5316,0.4865,0.1388,1.7912,5.5735,1.7912,0.8408,1.7009,4.0756,0.9343,3.0825,-4.2934,4.4595,-3.458,2.0844,-0.3201,0.1776,1.6045,-0.5543,1.1641,-4.2934,-6.5064
