,sr,dne,shannon,mad800,cytotrace,activity,netith
CAL-120,3.0778722543057304,254.58621115354018,4.701379462247117,2.3667415110918855,9.577334968294249,0.19900531040788022,6.056036073657474
DMS-114,2.8499020118698297,190.05503540312097,3.8397206645265163,0.9522332237702495,8.444753445271528,0.24437499973577315,5.676988276552271
CAL-51,3.1128722783196663,103.31240391697084,4.62864893116836,2.0978222182846746,9.463761284605505,0.22001758110786013,5.972595300038267
H2869,1.8405572803505539,211.9449742096072,5.037124192259766,2.4792046237654546,9.947928269476371,0.23139657571994476,5.812296009238192
H290,0.7767289936849961,203.9827444825172,4.738349539044416,2.29743892622173,9.342946208568689,0.199516273435265,6.136958181770553
A2058,1.4341895998878011,104.33186805461091,4.61319225995277,2.221517508299205,9.411133052309463,0.17706425225914726,5.852017879304901
CESS,3.1391284050410044e-14,162.22897654653343,4.692250607852454,1.5009425372832448,9.546142371168092,0.4447909819932541,5.640557672226362
H2803,3.0773441279683014,136.4452260730857,4.949528762864014,2.4143801683858954,9.793099538666791,0.18610079339324814,5.445122024593228
H2722,3.018799964960874,285.1840786971562,4.780881503901893,2.386542643546445,9.748115765838287,0.23759221762272545,6.109250873783414
HCC1419,1.5169863373292982,202.11900580419186,4.364648431326386,1.0607521757601153,9.095236483217509,0.26655725583448064,6.408182850414209
ETK-1,1.7261399326662576,24.509602900195006,4.885228053668472,2.442478930203365,9.888373213483215,0.167333925755258,5.779749057813375
C32,2.957782430393343,146.4080617619665,4.656393124181047,2.1229186669809197,9.817388523615856,0.22325634157222315,6.193267976703693
SW1783,3.1217740765982906,12.645753497362278,4.9214354955548565,2.500999428683574,9.921359222122785,0.25587052450169484,5.995425184524608
H2810,3.0535128360710377,129.21147116896623,4.953683403050388,2.534101198496645,9.922220858986414,0.19967548787724337,5.662685054355008
DSH1,3.1133007599415485,102.66441743854611,4.629442030223316,2.2635611213366253,9.689054208738005,0.2185974306804151,6.001307910980471
HT-1197,3.071847058326196,246.82901057429362,4.696035201804721,2.0939546583823248,9.898039783142202,0.29512775459182516,5.600269319015629
