,sr,dne,shannon,mad800,cytotrace,netith
TCGA-OR-A5J1-01,2.932101862651967e-14,279.6558395589942,1.6360408812561011,2.3500000000000014,11.22715,3.077911951628544
TCGA-OR-A5J2-01,1.336335487244526e-14,312.49182023895816,1.9300645099574065,2.3049999999999997,11.542799999999998,2.832294695589638
TCGA-OR-A5J3-01,3.003840238761274,225.91724940946725,3.9104437465579722,2.8050000000000006,11.85475,3.056296209258269
TCGA-OR-A5J5-01,2.6970435342689765,310.2776243566845,2.7220009077225695,2.3000000000000003,11.6023,3.193075084002985
TCGA-OR-A5J6-01,2.474403243142616,235.42871144700774,0.9347306550519114,2.8100000000000005,11.62665,3.187602131645221
TCGA-OR-A5J7-01,2.5257006235341892,154.12350970911587,2.3088140618309625,2.8200000000000003,11.38135,3.4193275428813275
TCGA-OR-A5J8-01,0.6894737455688829,334.74456389114056,2.9799905793087653,2.435,12.78585,3.1718684333762006
TCGA-OR-A5J9-01,3.608157799270297e-15,200.80635333816923,2.782750478095216,2.73,11.337199999999998,3.075803539264455
TCGA-OR-A5JA-01,3.0357698861575897,248.01714878465125,2.8948974614246685,2.3649999999999998,11.4937,2.634376714403448
TCGA-OR-A5JB-01,0.6913883617404869,329.57393773982574,4.311689239741281,2.5299999999999994,12.573250000000003,3.011646418753563
TCGA-OR-A5JC-01,2.888447933947407,268.9706212065044,0.7519578142163881,2.3150000000000004,11.668099999999999,3.0092052763825152
TCGA-OR-A5JD-01,2.9570744668121343,304.31277278383766,4.13407959496141,2.3600000000000003,11.6377,2.9358123841481123
TCGA-OR-A5JE-01,2.9405332922138636,269.1154646126877,1.9642777471488224,2.3600000000000003,11.5024,3.142426014401492
TCGA-OR-A5JF-01,2.4726403684162612,208.6781142876449,4.153331350544233,2.6050000000000004,11.80675,2.9219139548318886
TCGA-OR-A5JG-01,0.6893626470340906,204.20904316326022,3.015899324139703,2.5,11.538000000000002,3.0871874519678286
TCGA-OR-A5JI-01,0.6926968426327648,267.99533007209476,2.709548803924207,2.41,12.15335,2.938373426530699
TCGA-OR-A5JJ-01,2.8129237449747393,291.5406061447383,3.4955008429307317,2.2699999999999996,11.507199999999997,3.5030375889231986
TCGA-OR-A5JK-01,4.522064538473478e-15,316.8020520896715,2.8635688760573244,2.1849999999999996,11.870549999999998,3.155332031300352
TCGA-OR-A5JL-01,3.059413244605157,301.68159155369426,1.8626353887030171,2.335,11.2102,3.1029436000675816
TCGA-OR-A5JM-01,2.7682184789809967,94.70842295626203,1.8481059498248102,2.8049999999999997,11.533600000000002,3.011539665974106
TCGA-OR-A5JO-01,2.6660197813717526,308.74528189092723,3.7957021447994483,2.4300000000000006,12.47295,3.078352029640116
TCGA-OR-A5JP-01,2.918219276629306,189.59788572138498,2.310981930438943,2.465,11.69205,2.736224222840605
TCGA-OR-A5JQ-01,2.8754413614843806,354.89094582211135,3.2386162753553998,2.315,12.038849999999998,2.989052162458171
TCGA-OR-A5JR-01,2.4152898560259417,264.30265366937516,2.0694111322375415,2.3449999999999998,11.67465,3.1408996320508717
TCGA-OR-A5JS-01,2.9281843315730303,146.67832509215228,4.090547806005872,3.0349999999999993,11.63565,3.0578637906197077
TCGA-OR-A5JT-01,2.9630219476224866,209.96062568484246,1.4298688651314657,2.8549999999999995,11.750499999999999,3.207161503712612
TCGA-OR-A5JV-01,2.4580676109430315,286.1430706844211,2.622885470455778,2.1899999999999995,11.6696,3.0985979469071414
TCGA-OR-A5JW-01,2.519704324682709,234.36675578951304,3.552374261330995,2.764999999999999,11.393400000000002,3.149836630056269
TCGA-OR-A5JX-01,2.854984305250722,275.16444657535,2.1312732116832636,2.615000000000001,11.821900000000001,3.056386809729568
TCGA-OR-A5JY-01,2.803623965919725,190.59272028659208,1.7150882186658987,2.3499999999999996,11.714299999999998,2.917496735482798
TCGA-OR-A5JZ-01,2.7229319602267354,283.05485360769563,2.5871307561429004,2.6350000000000007,11.742550000000001,3.1824427583700063
TCGA-OR-A5K0-01,2.2418120209755767,172.9839051094037,3.5396814656503803,3.3199999999999994,11.39385,2.41910580366404
TCGA-OR-A5K1-01,0.6893812602729229,213.8608755092035,1.7489704972996074,2.499999999999999,11.7073,3.350967702323598
TCGA-OR-A5K2-01,2.7147296096889066,245.44087158691502,1.5152519457261635,2.505,11.43385,3.3661683988598043
TCGA-OR-A5K3-01,2.836960155586355,219.42139826718102,1.8309328074429876,2.3699999999999997,11.44155,3.1148135168978373
TCGA-OR-A5K4-01,2.8923364688096944,219.37192852693,2.0161190196434022,2.705,11.131149999999998,2.5246772987976875
TCGA-OR-A5K5-01,1.1287139979184984,168.0592313967666,1.614624369687426,2.594999999999999,11.62125,3.0068798462096007
TCGA-OR-A5K6-01,2.866041739333207,282.62128049445664,3.9358047003897587,2.645,11.5286,2.8789920565167244
TCGA-OR-A5K8-01,2.664689830390954,225.0892045226162,3.6555080785372693,2.7699999999999996,11.5736,3.1250567240085347
TCGA-OR-A5K9-01,2.505242829774754,138.88011827066717,3.5397162481237787,3.205000000000001,11.6578,2.7659397250871343
TCGA-OR-A5KO-01,2.717418060586036,205.2851881821804,2.098445854250878,2.71,11.48935,2.723560994818089
TCGA-OR-A5KT-01,2.8013128767527085,310.290167203799,3.876326663238843,2.31,11.975950000000001,2.950867140427106
TCGA-OR-A5KU-01,2.778184829466965e-15,231.102611981118,2.8074956536722295,2.705,11.73525,2.975094349579658
