drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,-0.26043166566587467,3.553531048577392e-12,0.2785480835828817,8.002439999158536e-12
123829,0.06302716613887163,0.09783648796455777,0.25447676144982545,0.10479863504817799
150412,-0.16578371471935333,1.1846547053929235e-05,0.15554160043655402,1.5613421462782308e-05
5-Fluorouracil,-0.16629550941970112,4.540540224330288e-07,-0.041503224005373346,6.397017261864347e-07
5-azacytidine,-0.16546798720067304,8.68835039053697e-06,-0.07821600023374588,1.155752656601662e-05
50869,-0.233306479858621,5.37788541874691e-10,-0.0738679455322052,9.37850749854644e-10
615590,-0.18848000482998842,6.0262209563522e-07,0.31367334823907506,8.448525458415339e-07
630600,-0.2710355633355871,4.2336430040595735e-13,-0.17704115683972074,1.062124472948279e-12
667880,-0.31938032849013037,7.517319880033929e-18,-0.22503741604349028,3.359302321390162e-17
720427,-0.2870555946941413,1.4187892816000017e-14,0.21620186268807554,4.410584071060875e-14
729189,-0.2196412860717028,5.391172698099963e-09,0.3027933565069142,8.565974398092165e-09
741909,-0.03987751905899606,0.295203797009778,0.3008889006526914,0.30813243045546174
743380,-0.09585817582830847,0.011700261341353428,0.2124017265099393,0.013122646053439532
765771,-0.23918669978312337,1.9056549878222218e-10,0.0754593503640013,3.539073548812698e-10
776928,-0.33036298533817915,4.937490941256956e-19,-0.1481483294390178,2.4774077354377006e-18
A-366,-0.2895200029161367,2.714586987488908e-15,0.092412816071366,9.02757998164916e-15
ABT737,-0.36772570033684215,3.618654462483875e-30,-0.32023119774833214,1.9171654906557857e-28
AGI-5198,-0.22420109983674877,1.021232036724024e-11,0.16946230323457817,2.131915054766941e-11
AGI-6780,-0.2710614734229334,1.3518469275615432e-15,0.006105445314002555,4.658171340754233e-15
AGK2,-0.17653469106871636,1.4029537654840594e-07,0.1382684533206409,2.0367755174032537e-07
AMG-319,-0.30917835287647333,3.2714386765193923e-21,-0.019375153110746255,2.1264351397376048e-20
AT13148,-0.1915063548342816,7.417020495454269e-09,-0.05167448770592866,1.1591627659562408e-08
AZ6102,-0.20078659294811688,1.2755676560341298e-09,-0.04169296802415427,2.1586529563654504e-09
AZ960,-0.24345874644151236,9.00250058972537e-13,-0.19839275185519845,2.1819620073402166e-12
AZD1208,-0.3773952202305019,8.865689407346824e-25,0.033293771774507715,1.2074224621434246e-23
AZD1332,-0.14398104520512722,0.00014600656433996876,0.05132433886166993,0.00018155598870100463
AZD2014,-0.06538949601180438,0.08586735439725303,0.037328790913511566,0.09302296726369078
AZD3759,-0.054508655990690755,0.10070004048778167,0.31892623801712,0.10746347604293117
AZD4547,-0.20803796061368943,2.8811101196744475e-10,0.023809547832855864,5.149984338918075e-10
AZD5153,-0.23814985257260535,2.29279703707772e-10,-0.20915490114708588,4.1766875962052735e-10
AZD5363,-0.09642069516958253,0.003787369525581992,0.037083395881422045,0.0043327507372657986
AZD5438,-0.24482451102732183,6.866132778078557e-11,-0.17418280269533723,1.3004728308148788e-10
AZD5582,-0.23255434330755878,1.2463536117775647e-11,-0.1580691072468588,2.564439805527939e-11
AZD5991,-0.30568566262657554,2.392367154584675e-16,-0.23676351424786463,8.885935145600222e-16
AZD6482,0.07207148334867736,0.274282692028939,0.20314286867490947,0.2873437726017456
AZD6738,-0.17865680566131073,6.824826625305942e-08,-0.10994562635217763,1.011347365200777e-07
AZD7762,-0.21304316733467568,9.966484285140585e-11,-0.15955605340152,1.8752727010198732e-10
AZD8055,-0.06578032524797803,0.0779535186369218,-0.006726690249975547,0.08477074650250813
AZD8186,-0.01009166677983553,0.7623952158159069,0.1382386820908724,0.768827359610032
Acetalax,0.07419680529727524,0.05122869517859869,0.33137743351016713,0.05613565831831121
Afatinib,-0.1339770266483589,5.125159003554114e-05,-0.027878891964695136,6.514646555628785e-05
Afuresertib,-0.13107724246936092,8.091223139066158e-05,-0.021417586249229983,0.00010149516744618076
Alisertib,-0.2013182665573455,1.3359011611547988e-09,-0.16562094028417113,2.247457247589838e-09
Alpelisib,-0.10794778540574765,0.0011297841222168013,0.09358118404862185,0.0013351994171653108
Avagacestat,-0.28718698988308905,1.7892267139893838e-18,0.04576451452182038,8.388833445917438e-18
Axitinib,-0.3626754358888343,1.8624479836173308e-29,-0.3063869781072482,6.658251541431958e-28
BDF00022089a,-0.21584834687325852,9.96035073645143e-09,0.3061245393496013,1.5398163841216804e-08
BDILV000379a,-0.2779368820897265,1.007282286279293e-13,0.21464981639450187,2.6923619988399797e-13
BDOCA000347a,-0.12777070691836473,0.0007615082864902518,0.2166536419735962,0.0009036986304407137
BDP-00009066,-0.21435013798384167,6.585177547501835e-09,-0.08599118129525676,1.0348136146074312e-08
BEN,-0.21863968177359505,6.3467934966665226e-09,-0.14601482577334965,1.0028635027881907e-08
BI-2536,-0.2509451906606313,6.662291621043674e-14,-0.22441511848678586,1.797561701526878e-13
BIBR-1532,-0.253775936662252,1.3218064366617837e-14,0.1472939606730211,4.154248800937035e-14
BMS-345541,-0.29824430253774936,1.121221329501158e-18,-0.17242823997517334,5.435072885378495e-18
BMS-536924,-0.027655392167150825,0.4072927420212611,0.07965291479069554,0.41901339646791613
BMS-754807,-0.2293106672710869,4.159814754754515e-12,-0.17498225557566677,9.29458609265462e-12
BPD-00008900,-0.20899165078088722,1.5783563589437037e-08,0.06823586363613306,2.413956784266841e-08
BX795,-0.17325709561862773,0.01653451079650945,-0.08167539267015707,0.01840027271518172
Bicalutamide,-0.2866268255717829,5.821528559157252e-05,0.04966588591898595,7.367067114685725e-05
Bleomycin,-0.12866459913096578,0.0006984977758893575,0.14843331157959377,0.0008393712769090598
