drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,0.411306901027791,1.3702799465973415e-29,-0.4078524631951141,2.96893988429424e-29
123829,0.03097586496981803,0.41622969525282105,-0.2747460371249534,0.4221336625613717
150412,0.36792873148428673,1.4149898437560015e-23,-0.14571044590969673,2.380512325377744e-23
5-Fluorouracil,0.30271738890273636,9.69924756868585e-21,0.11420371353276813,1.532588289858648e-20
5-azacytidine,0.3816165134702343,3.32435372127054e-26,0.24362554960648947,6.17379976807386e-26
50869,0.4418846556578332,2.151693836295193e-34,0.1901381345795189,5.645728781471791e-34
615590,0.33912225144381375,4.6655690851505817e-20,-0.458843098932093,7.331608562379486e-20
630600,0.4245264847395279,1.318808015892779e-31,0.2662420798803546,3.091631906109302e-31
667880,0.4618314894149423,8.401828212905975e-38,0.3015159907895613,2.860622462965606e-37
720427,0.44566910433175033,5.050635489867003e-35,-0.3375261066711756,1.362718632171663e-34
729189,0.39166656058634897,9.354919272120877e-27,-0.4119821436262801,1.7956422227023965e-26
741909,0.250357357312577,2.4588957203542186e-11,-0.27514584369529704,3.0575833740056804e-11
743380,0.31411658675484794,2.7392053355301202e-17,-0.1677802523992686,3.8975757510528076e-17
765771,0.3844777702329415,9.156774328466444e-26,-0.13827038657493063,1.6470675836109454e-25
776928,0.45662028458275533,7.723216291878856e-37,0.18656301169083706,2.4009128907362532e-36
A-366,0.46551581701765193,8.633664995371034e-40,-0.1691302451221381,3.429483595383494e-39
ABT737,0.3550038688537045,4.301257695691453e-28,0.25450146094443293,8.724536886296138e-28
AGI-5198,0.40582542282974016,5.2849233933376485e-37,-0.19618879768552802,1.6794312116606306e-36
AGI-6780,0.49250790499137065,1.789373724120375e-52,0.07464176322377042,1.6508415648336365e-51
AGK2,0.3353985212065056,1.5871038079523378e-24,-0.17160561742368816,2.7344077655082447e-24
AMG-319,0.4080704300701389,4.0925918609450235e-37,-0.08975586329302072,1.3300923548071325e-36
AT13148,0.258717196972196,3.4852732914191573e-15,0.03164085110117958,4.701830949744712e-15
AZ6102,0.23366005215489263,1.3349841902565736e-12,-0.024643536330879894,1.7121321901945295e-12
AZ960,0.2944789046004606,3.1567361338588878e-18,0.21837220963198192,4.751718601492852e-18
AZD1208,0.5253058895222469,3.327297168958261e-50,-0.16672985685301872,2.7188771152058933e-49
AZD1332,0.12472124820284788,0.0010182569091111056,-0.1871306881799015,0.0010989489660595327
AZD2014,0.17135329510319916,5.905852249371775e-06,0.007015521793322323,6.676180803637659e-06
AZD3759,0.07310938972900055,0.027600256276780408,-0.5317361046174304,0.028704266527851623
AZD4547,0.38440153135261546,4.206863000345176e-33,-0.0748880419855751,1.0462285374771482e-32
AZD5153,0.3643438835361771,4.059493444759116e-23,0.2871595776524293,6.634372144006328e-23
AZD5363,0.2265025512377176,6.1912408627788765e-12,0.011628565892291769,7.800418003324927e-12
AZD5438,0.3934817706126484,5.211787164830024e-27,0.28069924993335127,1.0071426548252614e-26
AZD5582,0.34030636825820537,6.779286690168891e-24,0.22813620575163923,1.161003588855271e-23
AZD5991,0.5629750199828051,8.932583274914447e-59,0.4213310026569253,1.8247991547325227e-57
AZD6482,0.11939422128855307,0.06948789052171389,-0.0670992467647788,0.07174561981664322
AZD6738,0.3327110047161005,1.0537701241179415e-24,0.2246778430152617,1.8376722896203128e-24
AZD7762,0.3607658034494832,3.8310734615652537e-29,0.30738863182806786,8.056522132409283e-29
AZD8055,0.14345061682957477,0.0001134812491802579,0.02657022632287947,0.0001248293740982837
AZD8186,-0.017031247363679874,0.609866281603673,-0.2507692005444386,0.6120061632935104
Acetalax,0.058561099898926675,0.12406780347899468,-0.3210009780090135,0.12672639926783028
Afatinib,0.22064399563435505,1.785891015540021e-11,0.06418694709504624,2.2304141067443056e-11
Afuresertib,0.2627030115949999,1.1773544698357198e-15,0.08309797427849769,1.6111166429330904e-15
Alisertib,0.32465487240012353,2.5749908171990558e-23,0.24042400050802779,4.2569212353695375e-23
Alpelisib,0.2009838999275602,1.0152554097252918e-09,-0.14527216547938288,1.2200128032833337e-09
Avagacestat,0.3376356541025437,2.4966672376125425e-25,-0.1917309057503099,4.435073477994951e-25
Axitinib,0.5069159678935855,4.0563414575817203e-60,0.3945954341093017,9.667613807236433e-59
BDF00022089a,0.3204354365523507,5.78299527739037e-18,-0.4825792845330087,8.659354184992911e-18
BDILV000379a,0.39393516395228356,4.500735187985716e-27,-0.4078204212312257,8.756532406557243e-27
BDOCA000347a,0.29821672589176323,1.1667368753426175e-15,-0.2615627145768061,1.6042632035960991e-15
BDP-00009066,0.28447186854194867,7.824269818542417e-15,0.05572922329135672,1.0408098456293633e-14
BEN,0.31079520594554116,6.112885657108571e-17,0.18199182069817013,8.570025970260054e-17
BI-2536,0.5251559342983212,1.4919562344837763e-62,0.5181191887679543,7.111658051039333e-61
BIBR-1532,0.4265239625324603,7.958174899157512e-41,-0.23832871820262,3.397071673371714e-40
BMS-345541,0.4728377838815744,6.693843966641565e-48,0.2867360208095565,4.66936432794997e-47
BMS-536924,0.085111249108538,0.010636329207550541,-0.08778684269541986,0.011142821074576757
BMS-754807,0.32653943915424594,1.3139785012674639e-23,0.23113525710986832,2.223655925221862e-23
BPD-00008900,0.31076795921941125,1.5328052590637983e-17,-0.20300954514908584,2.23664440863391e-17
BX795,0.2801202121796638,8.68044953948173e-05,0.1613374896665748,9.585361267535808e-05
Bicalutamide,0.5159565307247175,2.1924688058282197e-14,0.005571438412785892,2.876358158104912e-14
Bleomycin,0.21574168872834187,1.0132138008752297e-08,-0.21585625939685996,1.1876194551242447e-08
Bleomycin (50 uM),0.1510502870383205,5.521030032792846e-05,0.03292324232555305,6.144025639606046e-05
Bortezomib,0.27948419137654396,1.3546255143173326e-17,0.13340454997014747,1.9867840876654213e-17
Bosutinib,0.2834691562665491,6.029177956954056e-18,-0.017757025325250708,8.980962998379479e-18
Bromosporine,0.3859458715062642,6.262430958855027e-26,0.09041895717575797,1.148112342456755e-25
Buparlisib,0.3362782423188177,3.1204830087782363e-25,0.22086889087051914,5.509000867349231e-25
CCT-018159,0.18611704326260678,0.009941199520552271,-0.06340678536046389,0.01045287890763952
CCT007093,0.40172148747844216,1.8565683183907796e-35,-0.421605364930297,5.205671951566304e-35
CDK9_5038,0.41699725038919105,2.0967191106027786e-30,0.4211120542531669,4.6485400436619744e-30
CDK9_5576,0.38536060777275316,7.526846340410157e-26,0.3747533875170464,1.3711325180619777e-25
CHIR-99021,0.23696438412785892,0.0009649484522915258,-0.03428630476715348,0.0010453608233158196
CPI-637,0.472983546221666,3.4347246566700286e-41,0.18924363150410195,1.5112788489348127e-40
CT7033-2,0.46471119866786165,1.2162358181378346e-39,0.3833946610179049,4.7649786847591876e-39
CZC24832,0.4107618592753917,1.574193430983701e-35,-0.26863240689855256,4.457617042191471e-35
Camptothecin,0.3576249039726016,7.660363620784184e-29,0.2735154608666053,1.5991707996673553e-28
Cediranib,0.21600508971821777,5.8076327758592206e-11,-0.02580725007400112,7.159409370240246e-11
Cisplatin,0.41446450633327614,7.066332090065383e-32,0.25200944992748964,1.6702239485609089e-31
Crizotinib,0.47048998669810993,3.344721530833375e-51,0.35320616886125694,2.813501052406898e-50
Cyclophosphamide,0.47826087387371763,1.4300696334005287e-52,-0.3022084694167617,1.363333050508504e-51
Cytarabine,0.4302976747679833,1.005968740764358e-33,0.32151574014116435,2.6155187259873303e-33
Dabrafenib,0.28786119000018684,1.477837151296809e-18,-0.055098475283041036,2.2602215255127666e-18
Dacarbazine,0.435093252192437,2.7709976543718885e-33,-0.22678745238467454,7.013321496905841e-33
