drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,-0.21814522625840654,6.877265466618735e-09,0.2129224673888024,1.1894954458548835e-08
123829,-0.007790829495953612,0.8380183375395462,0.13221195040434744,0.8409587527589832
150412,-0.14609325587409153,0.0001161658441461553,0.1233247033960086,0.00014700633374247973
5-Fluorouracil,-0.18299816278536216,2.7010424258131075e-08,-0.0819874824011724,4.3891939419462995e-08
5-azacytidine,-0.26186336061131904,1.1244186811536024e-12,-0.2054864951020061,3.1839974535636664e-12
50869,-0.19275614486910114,3.295026873148944e-07,-0.0472793862292118,4.986125321273005e-07
615590,-0.1511672896309096,6.622113391259831e-05,0.2668709203950114,8.417441910668052e-05
630600,-0.24332663269429342,9.027913242466514e-11,-0.17509092167010643,1.9125801387743874e-10
667880,-0.24264417860918885,1.0220844970102845e-10,-0.16774346069396898,2.1267129782019367e-10
720427,-0.18525355075070313,9.417978624379005e-07,0.22252429251575842,1.3813035315755875e-06
729189,-0.15580156894608416,3.901010087802752e-05,0.26912484359706446,5.003089170903978e-05
741909,-0.08617990470229196,0.023481070527946225,0.18891643653374607,0.0259394696607361
743380,-0.13352997593370988,0.00043235442451917516,0.10905501184138242,0.0005261845336701451
765771,-0.16700117730967465,1.0193915445698495e-05,0.09834713101865712,1.4084346944298404e-05
776928,-0.29976894648418484,8.571020470122621e-16,-0.17846900617588968,5.106899696781395e-15
A-366,-0.2574571778236957,2.6468163204246743e-12,0.07704242138017994,7.007325354749813e-12
ABT737,-0.2566585656090699,5.4499871344980704e-15,-0.20875558032612948,2.5552398696171282e-14
AGI-5198,-0.26273076057295547,1.1273158611307257e-15,0.08073052931198124,6.200237236218991e-15
AGI-6780,-0.27214419614537955,1.0323782943248845e-15,-0.039112661085030774,5.905203843538339e-15
AGK2,-0.21197555669948723,2.233723160731331e-10,0.059742082939012876,4.467446321462662e-10
AMG-319,-0.25492734437240544,1.065664928153348e-14,0.02804374272467698,4.762190147685274e-14
AT13148,-0.16622239179915654,5.549242695681184e-07,-0.04491077104378908,8.223230108626003e-07
AZ6102,-0.15918358195603075,1.6336212464618613e-06,-0.011180400864111163,2.347817469789409e-06
AZ960,-0.19611212237805328,1.0386120242266798e-08,-0.1656638367199637,1.7576511179220735e-08
AZD1208,-0.26993587468152636,5.510365642791122e-13,0.0830732462887719,1.6945855632669473e-12
AZD1332,-0.08549806891389636,0.024606497035629452,0.08173355418892586,0.0270671467391924
AZD2014,-0.0840878796023552,0.027082841067598253,0.004190087685384448,0.02967698293231073
AZD3759,-0.07603712641662295,0.0219407905257812,0.25920250803865286,0.024416599573437444
AZD4547,-0.2087098263980319,2.51815589580334e-10,0.03560496636991911,5.001337404164966e-10
AZD5153,-0.2674337304131786,8.813814384605913e-13,-0.2394227436443645,2.5462130444417082e-12
AZD5363,-0.10510855774719065,0.0015906019129332454,0.006889745188078383,0.0018876022701199509
AZD5438,-0.2095745063900965,2.6830144375474683e-08,-0.15222999619201968,4.384812166506148e-08
AZD5582,-0.18120282986909667,1.523056631761065e-07,-0.12987617626272038,2.3419042832455086e-07
AZD5991,-0.28525780434847653,2.3901963863935678e-14,-0.22863528764232602,9.907190818964644e-14
AZD6482,-0.0885027359794268,0.1791457504796281,0.008424164262554079,0.18699154977070673
AZD6738,-0.1917246160868701,6.726658625440751e-09,-0.13587993018822603,1.1802603477767209e-08
AZD7762,-0.22484068143242222,8.212398947582113e-12,-0.19334960814187196,2.0247811198349003e-11
AZD8055,-0.0633042901068362,0.08984792555441178,-0.0007967032321784425,0.09624159815940737
AZD8186,-0.017396416538785854,0.6022228410116743,0.1023252053588972,0.6124160224556231
Acetalax,0.0162500013638898,0.6698043038394941,0.20179229851248995,0.6769047028201248
Afatinib,-0.16569716897183553,5.144950595788721e-07,-0.07421785772416122,7.663832658310283e-07
Afuresertib,-0.1738683169371561,1.555187704763459e-07,-0.08198201022643337,2.3785223719911727e-07
Alisertib,-0.1888494626994148,1.3441153875060584e-08,-0.1531319312994065,2.2480526364136416e-08
Alpelisib,-0.11976164807379172,0.00030053519214687176,0.06656848478292579,0.00037370897806089274
Avagacestat,-0.23159763654018664,2.2437152835321347e-12,0.048993195561194816,6.053797840473495e-12
Axitinib,-0.312441675652514,6.735131259518241e-22,-0.2526104138471218,2.751782200317453e-20
BDF00022089a,-0.15824124190205202,2.9344850509363924e-05,0.23752777027562616,3.81483056621731e-05
BDILV000379a,-0.20370356091622843,6.598520363542305e-08,0.1915797818010702,1.048431568873944e-07
BDOCA000347a,-0.14237283857448457,0.00017340666499730147,0.14937481245946804,0.00021847711977633576
BDP-00009066,-0.19656495958505663,1.0976401900896646e-07,-0.09083630282764957,1.7343927865505195e-07
BEN,-0.13414910916173878,0.000406278452902061,-0.07178715884637399,0.0005008432652154718
BI-2536,-0.2942346240543486,9.345813279740844e-19,-0.2898978465266807,1.2149557263663097e-17
BIBR-1532,-0.24061534849411156,3.061090879767577e-13,0.1421566905388665,9.948545359244626e-13
BMS-345541,-0.2639082289804442,8.076881858528721e-15,-0.1645471480852035,3.666647954824149e-14
BMS-536924,-0.05412744130959833,0.10464153352196563,0.040064231356339776,0.11166969622120212
BMS-754807,-0.15919188672893375,1.7676636057858922e-06,-0.11256138700912725,2.5277589562738262e-06
BPD-00008900,-0.21119080751577068,1.1056241687162666e-08,0.03749017055460533,1.8600500720756017e-08
BX795,-0.13636848994213283,0.05996162396499389,-0.03683349407550289,0.06495842596207671
Bicalutamide,-0.3553751033342519,4.5401174032244526e-07,0.029588040782584733,6.798290980744468e-07
Bleomycin,-0.09096981293614922,0.016759387201152443,0.13425300363545745,0.018796802900116073
Bleomycin (50 uM),-0.07179228029875538,0.05639075892387673,-0.010004795432392457,0.06132227016056557
Bortezomib,-0.18738261517994503,1.50711662911745e-08,-0.10620955561446233,2.491533849292432e-08
Bosutinib,-0.21824141481265405,4.4424354809928235e-11,-0.0740429828116307,9.92606677784334e-11
Bromosporine,-0.29935752310192704,9.420351283698632e-16,-0.18872138637373434,5.498409116607773e-15
Buparlisib,-0.1986000147325285,1.858891829455657e-09,-0.1344804134921994,3.474791262904038e-09
CCT-018159,-0.18247451088454117,0.011519141470214064,-0.01662046044901489,0.013073311351115962
CCT007093,-0.23644428541593954,1.2024893321629972e-12,0.2187775184094687,3.371685774496247e-12
CDK9_5038,-0.25098234501282485,2.2600172405424696e-11,-0.2548811162939633,5.341858932191292e-11
CDK9_5576,-0.23726145009847696,2.7654897398297924e-10,-0.23638603845363912,5.439597602806817e-10
CHIR-99021,-0.18327879581151832,0.011152914280365082,-0.010917263709010748,0.012708101530615194
CPI-637,-0.30916253751624595,2.5297864741608162e-17,-0.17674752748497802,2.1279968576764514e-16
CT7033-2,-0.2907371303808975,2.0529351420403223e-15,-0.2576140672865855,1.0729155125825157e-14
CZC24832,-0.23851274894501992,2.4913679235427082e-12,0.1394627377169809,6.659170337693594e-12
Camptothecin,-0.20965563883907193,1.6924289112101233e-10,-0.16660767348060362,3.408694849338699e-10
Cediranib,-0.19608704043667544,2.9905392924885243e-09,-0.06647085599887924,5.379209041834704e-09
Cisplatin,-0.23747654789910275,6.99586098655206e-11,-0.164261463789797,1.5043731144014203e-10
Crizotinib,-0.2931638787005726,1.8691815103037607e-19,-0.2443082684998824,2.969921733038197e-18
Cyclophosphamide,-0.26639440176456064,4.528655208016621e-16,0.15957090982706892,2.8156421510712034e-15
Cytarabine,-0.232680583020655,2.776857517516767e-10,-0.18358488508458323,5.439597602806817e-10
Dabrafenib,-0.2877454143500415,1.5272222464662326e-18,-0.11311171104252324,1.8199398437055938e-17
Dacarbazine,-0.21286090081521425,1.6026562345028162e-08,0.1143110057388028,2.634251052113824e-08
Dactinomycin,-0.2149612418311689,6.706448315242989e-11,-0.17503120790583332,1.4641558917248053e-10
Dactolisib,-0.0971667866256625,0.0035244339392782238,-0.012546369605334815,0.004064468171909565
Daporinad,-0.27066189393341605,1.0478365406988352e-10,-0.2577405077365624,2.1559802204306968e-10
Dasatinib,0.047410423021551885,0.1543600720675625,0.12575204935253104,0.16230507577692233
Dihydrorotenone,-0.040693712110428056,0.28612365510310256,0.11392393824676555,0.2964904542010411
Dinaciclib,-0.22115404647182546,9.87193879349021e-11,-0.21992059888772997,2.0760106580427942e-10
Docetaxel,-0.22370151394941912,8.753896855871177e-12,-0.1314715317323701,2.139841453657399e-11
Doramapimod,-0.2159256354182384,6.199709505500644e-11,0.12185724307475677,1.3639360912101416e-10
EHT-1864,-0.173407923477354,2.0940792429846128e-07,0.08077242626647625,3.18567374198723e-07
EPZ004777,-0.31231274268244397,5.700322301549585e-22,0.04571862616896564,2.717153630405302e-20
EPZ5676,-0.2950672581640461,1.2818546185602313e-19,0.11198876867453661,2.2913151306764135e-18
ERK_2440,-0.03616472006252799,0.3424950016350007,0.05914999168163604,0.3536229980780151
ERK_6604,-0.027210765345851543,0.4751509304838122,0.10506730618914377,0.48707227999415875
Eg5_9814,-0.25344738789188875,1.56970424962473e-11,-0.23149885670585024,3.741128461605607e-11
Elephantin,-0.29330442856836303,3.551240627279805e-15,-0.23803314214053178,1.7214488464441088e-14
Elesclomol,-0.18049738219895287,0.012464765386807687,-0.13745355876859516,0.014090604350304342
Entinostat,-0.3028549633874328,2.42324063842065e-19,-0.2707074931352062,3.4652341129415288e-18
Entospletinib,-0.07552689275353282,0.028608132559081605,0.08172911081693461,0.031228724854569997
Epirubicin,-0.2192371101692718,2.95038589910734e-11,-0.17000926408554934,6.750482937157594e-11
Erlotinib,-0.0755931257513931,0.023490638608848428,0.15393964511793676,0.0259394696607361
Fludarabine,-0.22454121474935887,2.399223505936042e-09,-0.13716889096790152,4.39857642754941e-09
Foretinib,-0.18276480406755327,3.6604834880146154e-08,-0.14308781407842652,5.914679534306102e-08
Fulvestrant,-0.2931183358975111,1.982467354140381e-19,0.08457182792872342,2.9841350699165733e-18
GDC0810,-0.2342575402356464,1.1012472427520692e-12,0.1751506260145822,3.149567114270918e-12
GNE-317,-0.04251054263906066,0.20592202156167644,-0.001505108716076321,0.21415890242414348
GSK-LSD1,-0.19918022165101398,1.3239560420326491e-07,0.14357244638003033,2.0578881957681395e-07
GSK-LSD1-2HCl,-0.2577617910511236,2.6706239988382152e-12,0.07614377584186845,7.007325354749813e-12
GSK1904529A,-0.21611971589269205,4.7788296317505804e-11,0.050513701067332356,1.0594924609927643e-10
GSK2110183B,-0.1604259555139155,2.265922385655221e-05,0.03548214029416653,2.9864230520617197e-05
GSK2256098C,-0.22471157367787253,2.3318412699289437e-09,0.21917248762751884,4.302623246449534e-09
GSK2276186C,-0.24761710266889594,4.101776601562042e-11,-0.04316498643770658,9.237071716903496e-11
GSK2578215A,-0.24924784680804135,3.2714468454566446e-14,0.11258312119520615,1.3168351253967285e-13
GSK2606414,-0.18730137153445106,5.247521288633759e-08,-0.00100195590593916,8.384307757258409e-08
GSK269962A,-0.2196127093270796,0.0007367725203634415,-0.16843552755251617,0.0008853652975795977
