drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,0.39115486550409917,1.1024795038966419e-26,-0.4122369145086738,2.1020609207629305e-26
123829,0.006854437315442979,0.8572643149331216,-0.2930055029589635,0.8633013875734957
150412,0.369690186067302,8.389300391649002e-24,-0.12451690680145061,1.3949650651230317e-23
5-Fluorouracil,0.334937075328985,2.7101909228917763e-25,0.1599971396953704,4.937035693930242e-25
5-azacytidine,0.36942660009581774,1.5338349863003362e-24,0.24116173015285736,2.6426313619391333e-24
50869,0.4186587762307832,1.0626210534504686e-30,0.17895100105785117,2.392989143990819e-30
615590,0.30235978394530766,4.487330865344382e-16,-0.46707108305979694,6.260373792626797e-16
630600,0.3939541129278932,4.473206163140429e-27,0.24622832405116898,8.702972535089543e-27
667880,0.4367709054300635,1.4818540494250768e-33,0.28302062674191464,3.924169056810852e-33
720427,0.43666463113691306,1.541949900500321e-33,-0.3307948190223587,4.045850197643045e-33
729189,0.3750237589603013,1.68926603780091e-24,-0.4100642780390287,2.8929945318027556e-24
741909,0.2330397757546948,5.633302739540399e-10,-0.29901426135040726,6.826799082663364e-10
743380,0.3065340505090219,1.6868829227354194e-16,-0.17459870133320599,2.364943705403578e-16
765771,0.37319651033337475,2.935049762456044e-24,-0.128260435452923,4.9670072903102285e-24
776928,0.45614657967099825,9.328973189206471e-37,0.19301236470125005,2.9978498113629784e-36
A-366,0.4403453398942051,2.5628982518740077e-35,-0.17704992667280886,7.479478571795574e-35
ABT737,0.3704394803101359,1.269636696954327e-30,0.27837143832266265,2.8368444947573246e-30
AGI-5198,0.40233703992227154,2.419661590388131e-36,-0.1889590272942524,7.689146831677839e-36
AGI-6780,0.4900655969005038,6.757180877310198e-52,0.0879792142101048,7.157606410780432e-51
AGK2,0.33342406737507,3.0615880594879608e-24,-0.15940547281419992,5.150671676550335e-24
AMG-319,0.4141192987325589,2.812283214917835e-38,-0.056320398924115785,1.018117720843672e-37
AT13148,0.24321812713286517,1.520037636864115e-13,0.021590430361798692,2.0126424265885968e-13
AZ6102,0.2580200474350963,4.0104844851787366e-15,0.009260789981344815,5.4103705790618806e-15
AZ960,0.2934733778739401,4.151084204210503e-18,0.22199780324088497,6.151347577223855e-18
AZD1208,0.5253779972871919,3.2092190507460947e-50,-0.14654053980354845,2.5495462458705085e-49
AZD1332,0.13018462703433256,0.0006023336669357315,-0.1746032871782099,0.0006575092700138138
AZD2014,0.16248197392315444,1.7710027545742534e-05,0.005025224687205514,1.9785421398759238e-05
AZD3759,0.09021758608210291,0.006521596908811222,-0.5081736625180553,0.006882570907453909
AZD4547,0.37385632946229563,2.8767391944229774e-31,-0.05485043853344618,6.581979276839772e-31
AZD5153,0.3771815053633602,8.758127816922333e-25,0.30925044617381625,1.518075488266538e-24
AZD5363,0.23610238201940167,7.235839101130955e-13,0.03331851054399253,9.364027072051824e-13
AZD5438,0.4000189489756097,6.1498879124900025e-28,0.29752655857142907,1.247424073029887e-27
AZD5582,0.34849662596482206,4.709592756790246e-25,0.24249083510369793,8.471342946176166e-25
