drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,0.2194120071038655,5.596756777526674e-09,-0.22381012747151197,9.306235106817609e-09
123829,0.0433662764244556,0.2549385620984566,-0.13142524057584196,0.25764109102529537
150412,0.21169133609918064,1.9270552375906804e-08,-0.07398440555610548,2.995314119298558e-08
5-Fluorouracil,0.22986043673787535,2.2398184966867175e-12,0.13696296892805,6.470586768206073e-12
5-azacytidine,0.21822865122249302,3.716932606388697e-09,0.15297298823424357,6.2901936415808715e-09
50869,0.2590902891410004,4.619785069641449e-12,0.14047234123272256,1.2583414570642423e-11
615590,0.22303777174594988,3.081938942717236e-09,-0.21058069240526434,5.246634152482914e-09
630600,0.23847282167704617,2.164643711542642e-10,0.1658370200563729,4.329287423085284e-10
667880,0.20717904308764282,3.885697081823988e-08,0.11650768560994426,5.84899666000874e-08
720427,0.2587965618338535,4.8920365034955334e-12,-0.16049688945814258,1.3199268301884175e-11
729189,0.1966170804829552,1.888094223087911e-07,-0.24024285677902374,2.6732423158571416e-07
741909,0.1295073375452675,0.0006435538773483415,-0.16804521225703797,0.0007051969690483742
743380,0.17899333294295777,2.1911131138011175e-06,-0.08458801043735784,2.928310049285606e-06
765771,0.26037805570416905,3.591097818915627e-12,0.0034373842455340665,9.971397827280284e-12
776928,0.2052090006490247,5.369826931001958e-08,0.05538670999975737,7.916342795188454e-08
A-366,0.24928656813371994,1.3248512539556176e-11,-0.06831423109813549,3.2385252874470654e-11
ABT737,0.22570137734495063,7.573466507794848e-12,0.17115567254440942,1.9691012920266605e-11
AGI-5198,0.21419830559461597,8.441342394505345e-11,-0.15607982553229136,1.7883140183915027e-10
AGI-6780,0.23494006185825916,5.5130542467573836e-12,-0.027048451177868655,1.473582723899637e-11
AGK2,0.2023780072668021,1.4408216369969149e-09,-0.0987007272564419,2.559471976280234e-09
AMG-319,0.25925880274852603,3.6277886703946726e-15,-0.02767620084856558,1.9952837687170698e-14
AT13148,0.13488789522184988,5.061067020187379e-05,-0.006946501615741426,6.056339614115441e-05
AZ6102,0.16067349448510723,1.3009033060388056e-06,0.005051418326193617,1.7717064072718971e-06
AZ960,0.20128490291985193,4.14222937397144e-09,0.15777431305294756,6.9279391868762085e-09
AZD1208,0.268136869962285,7.941049128860807e-13,-0.11135302585926554,2.495758297641968e-12
AZD1332,0.07956554836189562,0.03652275344121442,-0.08001945379739492,0.038122290088274904
AZD2014,0.11056079875205903,0.003614725404965994,0.024930196120079042,0.0038719530555066453
AZD3759,0.16699156376789076,4.1792521152932585e-07,-0.19685367321721026,5.753298935484932e-07
AZD4547,0.22442223594872407,9.481767444099486e-12,0.012185212919829071,2.421237043761119e-11
AZD5153,0.23471408687214246,4.205794791733824e-10,0.19900497874332287,7.810761756077102e-10
AZD5363,0.1238839060295136,0.00019476411109212182,0.0019330147480265596,0.00022370496294115197
AZD5438,0.25400985419472494,1.2313174424506695e-11,0.20604799655499623,3.0358343839732024e-11
AZD5582,0.13269146768918366,0.00012847046861504474,0.06697995551316137,0.00014875527944899916
AZD5991,0.23670249888607742,3.238379589323867e-10,0.18615561115669985,6.133619619514079e-10
AZD6482,0.14829066153618464,0.023883376889732424,-0.04045732275715996,0.025112668347292182
AZD6738,0.2157212877864511,6.160349927395009e-11,0.1629165234600415,1.3347424842689186e-10
AZD7762,0.21996692538909898,2.3432615216938886e-11,0.1778660930674544,5.404619316164937e-11
AZD8055,0.06231021497669698,0.09501585416522874,0.01377275591173613,0.09739976448478646
AZD8186,0.08887927022132128,0.007631470386217381,-0.05192216329421118,0.008053876496155611
Acetalax,0.05671355659178851,0.13640256242470533,-0.1476492736254744,0.1393254744766633
Afatinib,0.2035623764524212,5.999986884469929e-10,0.09477067539646074,1.1070943541667094e-09
Afuresertib,0.1321251113792195,7.083282810405915e-05,0.02491000920238039,8.440912015733715e-05
Alisertib,0.21272334368016332,1.4142440991906375e-10,0.1754657480545438,2.868608598358314e-10
Alpelisib,0.1879149727659786,1.1813242346516033e-08,-0.014800113228891087,1.8666228238141354e-08
Avagacestat,0.2553341889804527,8.40492326569097e-15,-0.0437820482941959,4.217207112258978e-14
Axitinib,0.25836625789943496,3.0844860515592996e-15,0.19094739548418474,1.7643260214919194e-14
BDF00022089a,0.2166875209965154,8.703830336953933e-09,-0.22209602906824005,1.4143724297550141e-08
BDILV000379a,0.21653809125986684,8.915714791754196e-09,-0.2037077093305785,1.4406183222834464e-08
BDOCA000347a,0.17631210905291958,3.118144146895624e-06,-0.11906416173209061,4.065182884966656e-06
BDP-00009066,0.20757452162448742,1.9812493428409105e-08,0.11106346138237948,3.062904389472975e-08
BEN,0.2578858471519617,5.839771707537368e-12,0.20051089857989796,1.546458063292303e-11
BI-2536,0.3069385548814222,2.3847133615605018e-20,0.2697134299189591,7.992958733706144e-19
BIBR-1532,0.22440840765391298,1.1438386239397836e-11,-0.16416418756562684,2.8786272314673953e-11
