drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,0.37507624143977303,1.662587417879322e-24,-0.3822635432764172,3.396428582239187e-24
123829,-0.004854101980404359,0.8986484099161335,-0.28766762012566355,0.8986484099161335
150412,0.3530496394057223,1.030754400795984e-21,-0.1194166133878248,1.8319354622646845e-21
5-Fluorouracil,0.297255754935815,5.063534304016329e-20,0.12691900332922454,8.468835151746608e-20
5-azacytidine,0.35272870698746456,2.2517854175806906e-22,0.22512548247020808,4.154907286632758e-22
50869,0.4038587897605701,1.7138646240776177e-28,0.1713675372290549,4.381508725661253e-28
615590,0.315027883363054,2.1938195530352157e-17,-0.4190388993313871,3.355253434053859e-17
630600,0.3699673284744911,7.724634485005319e-24,0.22013687507397406,1.5449268970010638e-23
667880,0.40647062054076233,7.118413705100081e-29,0.25236242079891935,1.9206286034515314e-28
720427,0.4322320620304355,7.993519561598434e-33,-0.294765521503489,2.754393487490545e-32
729189,0.3626839023542193,6.583687967619945e-23,-0.3801468623899579,1.2552898391595362e-22
741909,0.22718981599853647,1.5367523549574593e-09,-0.25821187841300375,1.9361725705631425e-09
743380,0.2976350514586529,1.3326041547582102e-15,-0.14402747463305865,1.974739835548436e-15
765771,0.3625494046348249,6.845893325761141e-23,-0.12092596335038919,1.2966393981242955e-22
776928,0.445860410654452,5.245123213420939e-35,0.1953707525947724,2.112824280335759e-34
A-366,0.42474646038377595,9.958278137642916e-33,-0.17229075547778688,3.3506677027833815e-32
ABT737,0.33158210103942926,1.6371557355593617e-24,0.23729666396540575,3.368536261654514e-24
AGI-5198,0.38976678572031165,5.015123497682664e-34,-0.15588175120960548,1.8872701583384763e-33
AGI-6780,0.4608574614544046,2.4061391014197056e-45,0.08646075685728058,2.2938526100201195e-44
AGK2,0.29667314590935456,2.6786936419567997e-19,-0.16309068864462348,4.3528771681798e-19
AMG-319,0.38631928296434,3.9902397656399074e-33,-0.07058038291140951,1.4088994728061896e-32
AT13148,0.23284671263422352,1.649462985252324e-12,0.029087972040511185,2.2044224943091806e-12
AZ6102,0.22868608746906754,4.047316146787899e-12,-0.006896989288343254,5.3342507741075536e-12
AZ960,0.2595865908929654,2.265108759377677e-14,0.19114101406608744,3.1755936528530175e-14
AZD1208,0.5041484703994246,9.28057495522138e-46,-0.13117340244647552,9.479444418547552e-45
AZD1332,0.09596546849250898,0.011606333994529703,-0.19496879947396786,0.012573528494073845
AZD2014,0.16764013240278466,9.416943747699278e-06,0.01966718179268948,1.0772983647367975e-05
AZD3759,0.06474364002122521,0.051142564073933694,-0.4848002902265634,0.05318826663689104
AZD4547,0.3644404303996626,1.0991175786112857e-29,-0.04891533138219581,3.051918713425512e-29
AZD5153,0.3347230339892249,1.4953775930082741e-19,0.26289394138328975,2.4721271190772622e-19
AZD5363,0.21108335524694063,1.5960503903237444e-10,0.015125039373505726,2.0469525185317978e-10
AZD5438,0.3775878717827204,7.734696624872247e-25,0.27648959497564823,1.6386098034914538e-24
AZD5582,0.3096963259472362,7.288352603507295e-20,0.21208742957728538,1.2119004910483061e-19
AZD5991,0.5518628410913389,4.33521434113796e-56,0.42978986861406293,2.0664521692757608e-54
AZD6482,0.07078469850410059,0.28296421516624454,-0.0787687227675388,0.2879991656140425
AZD6738,0.3023937572860944,1.7389422797188347e-20,0.20349510887046454,2.9255146588210986e-20
AZD7762,0.3259846909975663,8.44560852837607e-24,0.2849730307239381,1.67085186495544e-23
AZD8055,0.13815920311275204,0.0002023904045741563,0.02888399908121255,0.00022699472826748514
AZD8186,-0.03458924434886134,0.2999477882912752,-0.25174775320091136,0.30420236684859825
Acetalax,0.0651041702658203,0.08724709410556608,-0.28535908204541904,0.08975780184961116
Afatinib,0.1878653830053289,1.1701570238489968e-08,0.04418798613742425,1.4363300807760217e-08
Afuresertib,0.24868055159861696,3.877165011324284e-14,0.08465402973510157,5.356856005984277e-14
Alisertib,0.29365051736694797,3.518712869490049e-19,0.2155182356115115,5.685603845616689e-19
Alpelisib,0.17065488479791996,2.3358974564957034e-07,-0.14527431252457343,2.760606084949468e-07
Avagacestat,0.3104276171570655,1.813770152675253e-21,-0.17306935505520388,3.182443335368849e-21
Axitinib,0.48183820155369056,1.128217452464295e-53,0.38162812463525636,3.5473968243192126e-52
BDF00022089a,0.2982147437052371,1.1672660898322995e-15,-0.44420589707252306,1.7387401129793627e-15
BDILV000379a,0.36413133494987615,4.3194578410643916e-23,-0.37003492349291417,8.29103988284843e-23
BDOCA000347a,0.2513012804497607,2.058594572498539e-11,-0.2601547984021285,2.6761729442481007e-11
BDP-00009066,0.2778996532698759,3.367098362789653e-14,0.0639637253580223,4.674709377465246e-14
