drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
123138,0.17833753835712746,2.3897622245859615e-06,-0.1969576817887444,4.24516767845705e-06
123829,0.11377270467348659,0.0027440452679426356,-0.03844116159803842,0.0031645038170628782
150412,0.21839930983539124,6.599515155462227e-09,-0.01671068772736898,2.389191562610376e-08
5-Fluorouracil,0.2328680879571534,1.134625822481123e-12,0.16661502183518215,2.3178784659257226e-11
5-azacytidine,0.1675771005824368,6.637946434734345e-06,0.11391339518188023,1.0848301030480128e-05
50869,0.23679530996486986,2.915635165559141e-10,0.13629609240655435,1.8127644724998138e-09
615590,0.1257212522035913,0.0009263630451647599,-0.21814655344428602,0.0011419820298151783
630600,0.19474898790284306,2.4753770566633815e-07,0.13094351707563257,5.322991264704715e-07
667880,0.13430761134159838,0.00039984260006644084,0.06322578486402383,0.0005128026171255699
720427,0.18325161511830018,1.2376316473921936e-06,-0.16588814618921205,2.313481380092597e-06
729189,0.17686679233850364,2.8999047039020013e-06,-0.18054996095501533,4.966303864167499e-06
741909,0.15275674861765223,5.5324447077518385e-05,-0.06822966199072798,7.872035753318537e-05
743380,0.1700401783749635,6.973247538567921e-06,-0.025819870998208597,1.133152725017287e-05
765771,0.20545119474927886,5.061781458530374e-08,-0.011627560823621425,1.365725940697818e-07
776928,0.1735193548071889,4.549921180321889e-06,0.05063304016783432,7.521835014867401e-06
A-366,0.17299990862553682,3.2205820338729603e-06,-0.0951956670980419,5.482657510045635e-06
ABT737,0.19495825188921456,3.769357048876176e-09,0.13931825940358367,1.558343131005348e-08
AGI-5198,0.17506652065825598,1.253161448223028e-07,-0.12204090215010353,3.0117997831242517e-07
AGI-6780,0.20571617941739778,1.8074716479471382e-09,0.007170013307836479,8.205347481156848e-09
AGK2,0.13305876549217793,7.664583491076393e-05,-0.09925554764540816,0.0001058971438863695
AMG-319,0.15895186353007273,1.8329363992206492e-06,-0.06742963026298353,3.338979682656724e-06
AT13148,0.07330640061739364,0.028133734739199986,-0.04913385416473338,0.030135760806783506
AZ6102,0.1392044200174943,2.838176761673199e-05,0.006783974011126163,4.205795615743705e-05
AZ960,0.10627923616469623,0.002064920529173289,0.0707780925516277,0.0024203576694408224
AZD1208,0.23719953385654077,2.795958441844819e-10,-0.07189911728528728,1.7769869208169294e-09
AZD1332,0.002188588497717212,0.9542049994688624,-0.14289299367602476,0.9542049994688624
AZD2014,0.039952078368016744,0.29430112092007304,-0.03704099198069168,0.29953779566954053
AZD3759,0.1449498237274733,1.1601820690687099e-05,-0.1401269762052802,1.813180719965306e-05
AZD4547,0.08979519348215374,0.006995460957372126,-0.09836191941684044,0.007724717505051846
AZD5153,0.20259204528550578,7.801061180322757e-08,0.16728475727671577,2.0100031509660436e-07
AZD5363,0.11751150310062111,0.00041135145914681357,0.018911019387357432,0.0005252076665892352
AZD5438,0.21814500803603867,6.877508822134389e-09,0.17933590569011185,2.4587094039130438e-08
AZD5582,0.19419350846789085,1.7691206900637516e-08,0.1492007003792625,5.499657797372097e-08
AZD5991,0.19812415147695886,1.6116869055119467e-07,0.12343187433729591,3.747499633954608e-07
AZD6482,0.13720259317417818,0.036761200181413524,0.029471120857830928,0.038653320778986276
AZD6738,0.18696152376715497,1.5956342613446745e-08,0.1414354514959109,5.014850535654691e-08
AZD7762,0.178931699064066,6.191315357714445e-08,0.13580760141078185,1.624510268170946e-07
AZD8055,0.054048359748593365,0.14767328356736115,-0.005553774566593563,0.15247133249193245
AZD8186,0.049518892410155245,0.13769941680074058,-0.06510304387291874,0.14268852610511523
Acetalax,0.1268400419132428,0.0008326755772848178,-0.08103140329922583,0.0010309316671145363
Afatinib,0.19944283477301294,1.3398143423911e-09,0.1286647282750297,6.494693252946688e-09
