draw,median_rho,n_pos,n_swaps
1,0.17609837423403096,284,4193
2,0.10493119710432025,280,4128
3,0.1355088433031102,283,4139
4,0.1721444874569201,286,4149
5,0.15691553875332315,284,4169
6,0.17873478850233035,285,4152
7,0.1447620091054506,285,4083
8,0.16349739744072717,285,4147
9,0.1188369653554261,283,4098
10,0.13354258659594473,282,4104
11,0.0689035736690539,272,4039
12,0.1698602729843201,285,4131
13,0.08759459884086246,276,4082
14,0.09845091557979593,282,4080
15,0.10080456624037765,277,4121
16,0.1734913977983107,285,4129
17,0.15439153464228267,279,4130
18,0.05698113719151601,271,4101
19,0.17327896811152294,285,4064
20,0.15493022236588488,282,4150
21,0.15748254450483928,285,4147
22,0.13883174391911052,282,4157
23,0.17989969651643095,283,4211
24,0.14043056175118585,283,4116
25,0.1657620359783265,284,4165
26,0.1174855184100091,280,4045
27,0.15729346533247202,284,4080
28,0.05545402424234218,257,4102
29,0.1380485900826297,282,4087
30,0.13387909535189993,281,4211
31,0.1848261828913736,286,4082
32,0.12421420008808863,280,4096
33,0.13239052860384248,283,4151
34,0.17231806004582445,279,4132
35,0.1326716334836705,284,4200
36,0.17437501233624048,285,4081
37,0.1419309128968973,283,4121
38,0.14837845703059913,284,4212
39,0.1461674580043867,283,4124
40,0.18471034072149406,285,4181
41,0.11731585788141591,282,4076
42,0.14441914904857228,284,4019
43,0.13619966634756359,283,4145
44,0.15103264944940867,284,4095
45,0.1533126343440555,283,4085
46,0.1931668644667809,286,4106
47,0.126666526542294,279,4080
48,0.1579472164102792,284,4093
49,0.11655954609760152,285,4096
50,0.09781841280325182,277,4159
