cell_line,NetITH
CAL-120,6.056036073657474
DMS-114,5.6769882765522715
CAL-51,5.972595300038267
H2869,5.8122960092381915
H290,6.136958181770555
A2058,5.852017879304899
CESS,5.640557672226364
H2803,5.445122024593227
H2722,6.109250873783413
HCC1419,6.40818285041421
ETK-1,5.779749057813376
C32,6.193267976703693
SW1783,5.995425184524608
H2810,5.66268505435501
DSH1,6.001307910980471
HT-1197,5.600269319015627
MDA-MB-157,6.188648810094537
H2373,5.80220206809137
ES1,5.848503126416323
HDLM-2,5.927730404529994
H2731,5.754480944629143
IST-MEL1,6.041621388639648
5637,5.805156996345573
786-o,5.606363749441443
HeLa,5.550705077877527
HMV-II,5.620798924366481
H2818,5.912257423833572
M14,6.078495413503787
HT-29,5.620211239424813
AU565,6.025228622515717
NCI-H441,6.271695593950203
SW1088,6.080130723072373
IST-MES1,5.809483050302659
HCT-116,5.694439037345051
GA-10,5.540161720658751
KYSE-450,5.542850948960085
NCI-H2052,5.840810675099201
LOXIMVI,5.653958037393207
HOS,5.919736465370697
NCI-H28,6.023848577252688
NCI-H358,6.167937006251575
Becker,6.063902704888157
RS4-11,5.542953909329469
NCI-H727,5.634828286539392
NCI-H1299,5.741292891518589
COLO-800,5.98608323857775
BT-474,5.747313412409961
Saos-2,5.682106772400629
NCI-H838,5.746995849178938
NCI-H2228,5.80817333061894
LS-411N,6.042342674490432
RKO,5.045945182442264
RPMI-7951,5.906033201038289
CAL-54,5.700761283865943
WM-115,5.708666339163167
NCI-H2009,5.583091750153175
ES3,5.797061609317373
COLO-741,5.959727984805186
D-283MED,5.568210168170377
639-V,5.734392650468702
OE19,5.584085888257451
NCI-H2452,5.903261370660413
EFM-192A,5.813372312574046
UACC-62,5.803105088050006
DU-4475,5.869163989496962
SISO,5.716728921834723
JHH-1,5.7127852935084
COLO-680N,5.837733427214895
ESO51,5.594969773752923
CAL-33,5.5002601395149995
CAL-29,5.6797517486267495
UACC-257,5.764303449914136
PA-1,5.788936064782089
H2591,5.960987628656076
H513,5.891384399669937
H2461,5.681906371183709
KELLY,5.593455985861652
NCI-H661,6.135852443956671
ES8,5.826396590817234
H2795,5.566155957612787
SW1417,5.327846839041872
H2369,5.836036748328954
647-V,5.609990982558818
TGBC24TKB,5.718810090918347
H2595,5.7732972678382675
MPP-89,5.8751268903998755
IGR-1,6.028660930549764
NCI-H2030,5.490786938029747
SK-MEL-1,5.643462955786391
COLO-205,5.86876690917787
BFTC-905,5.620038675754426
H2804,5.892879768440553
REH,5.4665212093744735
RH-41,5.373282239539904
RPMI-8866,5.449484919370521
PANC-08-13,5.76550308645349
PCI-6A,5.667702943584555
NCI-H1792,5.989360174398265
NCI-H1355,5.549171343040596
NCI-H1048,6.10379434627995
OAW-42,5.742631652619492
OE33,5.499651938154628
OVCAR-8,5.705663331415357
Ramos-2G6-4C10,5.4853879935006775
RCC-JW,5.798978644502562
RH-18,5.7711533700983795
RT4,5.916502414421184
PANC-10-05,6.075211443117015
PE-CA-PJ15,5.772741769694943
NCI-H1304,5.528058156114551
NCI-H1915,5.5202423183322775
NCI-H1623,5.77161502147662
OCI-AML2,5.575495770344079
ONS-76,5.821992660431373
OVISE,6.086098378052193
RC-K8,5.339206821012645
RL,5.709354840032689
RT-112,5.3997221536698845
PA-TU-8988T,5.844528180474816
PF-382,5.5174781408644735
NCI-H1395,6.025170007621226
NCI-H1755,5.823417921685262
NCI-H1793,5.68982669552147
RXF393,5.589503540057562
OSC-19,5.726257240078036
OVKATE,5.7185054899102274
RCC-AB,5.678467014975096
RERF-GC-1B,6.147531806131655
RMG-I,5.887708821367595
RVH-421,5.9449408851223025
PC-14,5.902546534941464
PFSK-1,5.611680054210417
NCI-H1581,5.212592017562729
NCI-H1963,5.838794455130287
NCI-H146,5.936209356445227
QGP-1,5.959774358174489
OPM-2,5.835144835103699
OVMIU,5.738254453329604
RCM-1,5.476391141703575
RERF-LC-MS,5.722815749155222
RPMI-2650,6.05912694935595
QIMR-WIL,5.5681233241851995
PC-3,6.15735039205472
PL18,5.373757680601016
NCI-H1092,5.855196565904675
NCI-H1573,5.4554940979453335
NCI-H1651,6.069064784959911
RKN,5.767511806862213
OSC-20,5.880218012818367
PSN1,5.808160664203056
RF-48,5.392228084303489
RO82-W-1,5.928760608038305
P12-ICHIKAWA,5.655072729353118
PCI-30,5.452898215424626
P32-ISH,5.521912153091336
NCI-H1648,5.60289759831484
NCI-H1734,5.600196764015902
NCI-H1563,5.641971711216757
RCC-MF,5.395720914079477
OV-90,5.807202356326806
PL-21,5.1656716882076275
RERF-LC-Sq1,5.715516159871113
RPMI-6666,5.504843508895185
P30-OHK,5.385849452984252
PCI-15A,5.288546733760445
OAW-28,5.516002279054049
NCI-H1688,5.564619702922882
NCI-H1568,5.9909911243122815
OCUB-M,5.843771818751356
OVCAR-5,5.677399945795788
NCI-H1944,5.785356923942544
RD,6.171823484668387
RH-1,6.05346662226926
RPMI-8226,5.95167174698668
PANC-03-27,5.774923734086972
PCI-38,5.92047639207598
OC-314,5.774473095323028
NCI-H1993,5.510024402382914
NCI-H1155,5.636893523170763
NCI-H1781,5.161573002779977
OE21,5.743763762511584
OS-RC-2,5.857640349168998
NCI-H187,5.895347292505278
KYSE-520,5.779786342556972
KURAMOCHI,5.604427808074305
KINGS-1,5.651573016066571
LCLC-97TM1,5.52251798376295
LU-99A,5.783413122048929
LU-134-A,5.874609018413844
LOU-NH91,5.694822267053391
GAMG,5.603145915378553
GMS-10,5.917593984233569
MFE-319,5.440163025948048
MONO-MAC-1,5.422353861932567
KLE,5.80611316280883
KY821,5.2747684189772075
KATOIII,5.682359272549293
KE-37,5.663063280529946
LCLC-103H,5.935428834064804
L-1236,5.691739993565282
LN-405,5.83199706881549
L-540,5.6208507240563685
GAK,5.777666020292611
GP5d,5.8153941433050855
MFM-223,6.010171756842894
MES-SA,5.903676685322345
KYSE-270,5.699304596332507
KYSE-410,5.729028128544998
KARPAS-231,5.44746738880806
KP-3,5.710525462928976
LC-2-ad,6.09484624634084
L-363,5.684527328878581
LN-229,5.920627355317394
FADU,5.8532301695502875
G-401,5.481190076938718
GI-1,5.750565681474308
MFH-ino,5.971885922062626
MEG-01,5.652879252019489
KYSE-510,5.403423541188506
KU812,5.484485000937228
K052,5.151281867184201
KCL-22,5.229528019829502
LAN-6,5.92294316817204
LXF-289,6.019671597499742
LN-18,5.9965445426674915
FU97,5.462817239375111
GCT,5.70235532236662
GI-ME-N,5.466489498163755
MFE-280,5.750353065705379
MEC-2,5.493018198025937
KS-1,5.650778450602262
KMRC-1,5.681031996541626
KOSC-2,5.698500205529875
LU-135,5.712809209156291
LS-513,5.781364818560173
LNZTA3WT4,5.893105930199125
G-361,5.876639751035673
GR-ST,5.37316494575852
MOLT-16,5.425548561418165
Mewo,6.0409223554455105
KYSE-70,5.881449187064388
KOPN-8,5.4099231889584365
KMRC-20,5.516283464051596
LB2241-RCC,5.774845234329507
LU-65,5.594020252883121
LS-180,5.501783371227223
LAMA-84,5.5526178652196325
FU-OV-1,5.961357235517384
G-MEL,5.781567614972416
G-292-Clone-A141B1,5.581034236614971
MOLT-13,5.514656779322079
ME-180,5.723181627493498
KYSE-140,5.9469216856954175
KALS-1,5.770404283069728
KNS-81-FD,5.799495647735954
LB647-SCLC,5.565832259978235
LU-139,5.629154574383548
LS-123,5.624538104909832
GCIY,6.005155335074569
GOTO,5.912999186187467
G-402,6.161935812229988
MONO-MAC-6,5.555248194294787
MEL-HO,5.647367787815991
KYSE-150,5.795567455216906
KARPAS-620,5.401797539317342
