,sample,netith_bulk
TCGA-OR-A5J1-01,TCGA-OR-A5J1-01,3.0779119516285434
TCGA-OR-A5J2-01,TCGA-OR-A5J2-01,2.832294695589638
TCGA-OR-A5J3-01,TCGA-OR-A5J3-01,3.0562962092582695
TCGA-OR-A5J5-01,TCGA-OR-A5J5-01,3.193075084002985
TCGA-OR-A5J6-01,TCGA-OR-A5J6-01,3.187602131645221
TCGA-OR-A5J7-01,TCGA-OR-A5J7-01,3.4193275428813275
TCGA-OR-A5J8-01,TCGA-OR-A5J8-01,3.1718684333762006
TCGA-OR-A5J9-01,TCGA-OR-A5J9-01,3.075803539264455
TCGA-OR-A5JA-01,TCGA-OR-A5JA-01,2.634376714403448
TCGA-OR-A5JB-01,TCGA-OR-A5JB-01,3.011646418753563
TCGA-OR-A5JC-01,TCGA-OR-A5JC-01,3.0092052763825152
TCGA-OR-A5JD-01,TCGA-OR-A5JD-01,2.9358123841481123
TCGA-OR-A5JE-01,TCGA-OR-A5JE-01,3.142426014401492
TCGA-OR-A5JF-01,TCGA-OR-A5JF-01,2.9219139548318886
TCGA-OR-A5JG-01,TCGA-OR-A5JG-01,3.0871874519678286
TCGA-OR-A5JI-01,TCGA-OR-A5JI-01,2.938373426530699
TCGA-OR-A5JJ-01,TCGA-OR-A5JJ-01,3.5030375889231986
TCGA-OR-A5JK-01,TCGA-OR-A5JK-01,3.155332031300352
TCGA-OR-A5JL-01,TCGA-OR-A5JL-01,3.1029436000675816
TCGA-OR-A5JM-01,TCGA-OR-A5JM-01,3.011539665974106
TCGA-OR-A5JO-01,TCGA-OR-A5JO-01,3.078352029640116
TCGA-OR-A5JP-01,TCGA-OR-A5JP-01,2.7362242228406055
TCGA-OR-A5JQ-01,TCGA-OR-A5JQ-01,2.989052162458171
TCGA-OR-A5JR-01,TCGA-OR-A5JR-01,3.1408996320508713
TCGA-OR-A5JS-01,TCGA-OR-A5JS-01,3.0578637906197073
TCGA-OR-A5JT-01,TCGA-OR-A5JT-01,3.207161503712612
TCGA-OR-A5JV-01,TCGA-OR-A5JV-01,3.0985979469071414
TCGA-OR-A5JW-01,TCGA-OR-A5JW-01,3.149836630056269
TCGA-OR-A5JX-01,TCGA-OR-A5JX-01,3.0563868097295677
TCGA-OR-A5JY-01,TCGA-OR-A5JY-01,2.917496735482798
TCGA-OR-A5JZ-01,TCGA-OR-A5JZ-01,3.1824427583700063
TCGA-OR-A5K0-01,TCGA-OR-A5K0-01,2.41910580366404
TCGA-OR-A5K1-01,TCGA-OR-A5K1-01,3.3509677023235986
TCGA-OR-A5K2-01,TCGA-OR-A5K2-01,3.3661683988598043
TCGA-OR-A5K3-01,TCGA-OR-A5K3-01,3.1148135168978373
TCGA-OR-A5K4-01,TCGA-OR-A5K4-01,2.5246772987976875
TCGA-OR-A5K5-01,TCGA-OR-A5K5-01,3.0068798462096007
TCGA-OR-A5K6-01,TCGA-OR-A5K6-01,2.8789920565167244
TCGA-OR-A5K8-01,TCGA-OR-A5K8-01,3.1250567240085347
TCGA-OR-A5K9-01,TCGA-OR-A5K9-01,2.7659397250871343
TCGA-OR-A5KO-01,TCGA-OR-A5KO-01,2.723560994818089
TCGA-OR-A5KT-01,TCGA-OR-A5KT-01,2.950867140427106
TCGA-OR-A5KU-01,TCGA-OR-A5KU-01,2.975094349579658
TCGA-OR-A5KV-01,TCGA-OR-A5KV-01,3.3231096004601293
TCGA-OR-A5KW-01,TCGA-OR-A5KW-01,3.0250368851415748
TCGA-OR-A5KX-01,TCGA-OR-A5KX-01,3.132478031667011
TCGA-OR-A5KY-01,TCGA-OR-A5KY-01,3.2804483055993345
TCGA-OR-A5KZ-01,TCGA-OR-A5KZ-01,3.008054340318841
TCGA-OR-A5L3-01,TCGA-OR-A5L3-01,2.75261979363422
TCGA-OR-A5L4-01,TCGA-OR-A5L4-01,3.1519469124299895
TCGA-OR-A5L5-01,TCGA-OR-A5L5-01,2.766549270323977
TCGA-OR-A5L6-01,TCGA-OR-A5L6-01,3.202113169776689
TCGA-OR-A5L8-01,TCGA-OR-A5L8-01,2.913928808490935
TCGA-OR-A5L9-01,TCGA-OR-A5L9-01,2.382748025676625
TCGA-OR-A5LA-01,TCGA-OR-A5LA-01,3.0566278075201008
TCGA-OR-A5LB-01,TCGA-OR-A5LB-01,3.0697416441159957
TCGA-OR-A5LC-01,TCGA-OR-A5LC-01,3.077612409593716
TCGA-OR-A5LD-01,TCGA-OR-A5LD-01,2.7706787538124034
TCGA-OR-A5LE-01,TCGA-OR-A5LE-01,2.946442363758782
TCGA-OR-A5LG-01,TCGA-OR-A5LG-01,2.7512559143147066
TCGA-OR-A5LH-01,TCGA-OR-A5LH-01,2.9194526976923774
TCGA-OR-A5LJ-01,TCGA-OR-A5LJ-01,2.9918509769181436
TCGA-OR-A5LK-01,TCGA-OR-A5LK-01,2.834794265741224
TCGA-OR-A5LL-01,TCGA-OR-A5LL-01,2.8569523118771416
TCGA-OR-A5LM-01,TCGA-OR-A5LM-01,3.2250449556801635
TCGA-OR-A5LN-01,TCGA-OR-A5LN-01,3.154340863969574
TCGA-OR-A5LO-01,TCGA-OR-A5LO-01,3.1635910063657287
TCGA-OR-A5LP-01,TCGA-OR-A5LP-01,2.9908259264899932
TCGA-OR-A5LR-01,TCGA-OR-A5LR-01,3.2041249052190266
TCGA-OR-A5LS-01,TCGA-OR-A5LS-01,3.115217736202204
