drug,bp_NetITH,r2_single,r2_piecewise,delta_r2,slope_before,slope_after,slope_delta,n
Elesclomol,5.237910377929636,0.022648041480555325,0.10057538219927298,0.07792734071871765,1.4404781831565572,-0.4845601881063453,-1.9250383712629024,191
GSK269962A,4.123230471884637,0.027428840688125677,0.09927431213583915,0.07184547144771347,-0.9387226262683124,-0.02935899643851073,0.9093636298298017,233
SL0101,4.948952134299384,0.023723878141367227,0.09024209080321677,0.06651821266184954,0.7359576832577864,-0.06309628145028279,-0.7990539647080692,191
CHIR-99021,4.2262055569251045,0.03298244144445961,0.09631078569042562,0.063328344245966,-0.45215437833229066,-0.12930823148150875,0.32284614685078195,191
Piperlongumine,4.2262055569251045,0.04462977942843094,0.0783944155451175,0.033764636116686564,0.4001071984710271,0.017456848913962254,-0.38265034955706484,191
Tozasertib,5.176556679642626,0.0376510978680904,0.06937291501024367,0.031721817142153275,1.3004028774037002,0.6982699518183112,-0.602132925585389,233
Veliparib,4.123230471884637,0.023308419508536127,0.04829298898700973,0.024984569478473606,0.4384118793030388,0.016875143890348866,-0.42153673541268993,892
Rucaparib,4.123230471884637,0.028412879979040295,0.05328302902844684,0.024870149049406542,0.3471651750300277,0.04306925714180327,-0.30409591788822443,891
Ribociclib,4.995452644563126,0.03619441309467952,0.05798190926949931,0.021787496174819787,0.7024212906479339,0.12622576258528512,-0.5761955280626487,901
Temozolomide,4.1242692387139455,0.04456535453377086,0.0657386081734681,0.021173253639697243,-0.2414562560183574,0.18548837682979516,0.42694463284815254,908
GSK2830371,4.04938607546138,0.031193434481976756,0.05226456912507893,0.021071134643102174,-0.36393005234420117,0.13017210834559564,0.49410216068979684,707
CPI-637,4.097876662441983,0.03454258278830258,0.055200763404319564,0.020658180616016986,-0.09135761209152035,0.15210663908410862,0.24346425117562898,716
EPZ5676,4.045547707516971,0.029417736335935696,0.049529849893080624,0.02011211355714493,0.15021321766447143,0.08175963423292239,-0.06845358343154904,904
PD173074,4.997427317683116,0.017695523814039937,0.03692507200422446,0.01922954819018452,0.6860535562666007,-0.04729978023135314,-0.7333533364979539,909
Lenalidomide,4.043546786398246,0.036617772012000005,0.05471660204225026,0.018098830030250257,0.12423181301286251,0.12758099001476284,0.003349177001900322,892
PFI-1,4.120347288142762,0.02617975601043676,0.04394993530486091,0.01777017929442415,-0.18911695464175302,0.09411080486849864,0.28322775951025164,889
Camptothecin,5.145500587552151,0.02534775504186082,0.04284726951387097,0.017499514472010147,0.8818761470976281,0.37862912306552726,-0.5032470240321008,910
N29087-69-1,4.309958586130018,0.031953769360256956,0.04891675890027625,0.01696298954001929,0.4487128547186922,0.04432101871709518,-0.404391836001597,718
N30652-18-1,4.0468438799047615,0.03021406055789988,0.04709293869974318,0.0168788781418433,0.033440265723172505,0.1156913690760592,0.0822511033528867,718
N27922-53-1,4.0468438799047615,0.03357256158283817,0.049995622336765244,0.016423060753927077,-0.2174174673488317,0.12903277255755066,0.34645023990638235,718
SN-38,4.75153552115541,0.02262435970768273,0.03870275667809364,0.016078396970410913,0.4916357183838942,-0.18555293891751234,-0.6771886573014065,900
BI-2536,4.094224452885782,0.026202674942376714,0.04176870066183036,0.015566025719453647,0.4596426316013435,0.1987048054202003,-0.2609378261811432,866
GSK2801,4.045547707516971,0.025945180524949207,0.04142263290142101,0.0154774523764718,0.3619697347144567,0.07562779315109298,-0.28634194156336373,691
Oxaliplatin,4.097733516933841,0.04157226990618301,0.05650650946356239,0.01493423955737938,0.22254485439909896,0.24106462062880815,0.01851976622970919,909
GSK3337463A,4.15340635884364,0.021378249946659156,0.035832795259759576,0.01445454531310042,0.14197631868571078,0.05929315549563513,-0.08268316319007565,691
Bromosporine,4.118072175358673,0.02658478210922599,0.03982116305955574,0.013236380950329751,0.19818522788000192,0.11512146312950856,-0.08306376475049336,690
PBD-288,5.060086910010186,0.01682265447779463,0.028790009443864673,0.011967354966070043,0.6540842659559947,0.07154065159198754,-0.5825436143640071,716
Bosutinib,4.753542771130053,0.03199967623949607,0.04268375432271532,0.01068407808321925,0.43478478193241304,-0.0008574975618029626,-0.435642279494216,892
UNC0638,4.097876662441983,0.03825424612525696,0.048653965898758034,0.01039971977350107,0.16290158889521425,0.22124446958498226,0.058342880689768006,707
THR-101,4.04938607546138,0.030198948631715128,0.03751692047555766,0.00731797184384253,-0.2228593512088921,0.17360995160239098,0.3964693028112831,707
