gene,mean_high,mean_low,delta,cohens_d,p_value,n_high,n_low,fdr,neg_log10_p
FERMT2,-0.8415807542090517,-0.4702783498145053,-0.37130240439454637,-0.641195372636217,2.525311230285575e-16,302,303,4.6554112530314576e-12,15.597685089915187
PTK2,-0.6966780311570017,-0.47484973271765135,-0.2218282984393503,-0.5423692284441983,1.872341533167152e-10,302,303,1.7258308081968223e-06,9.727614928866602
CFL1,-0.5994432489876189,-0.8404479740119016,0.24100472502428272,0.46292192936250093,5.456144838779823e-10,302,303,3.352801003430201e-06,9.263114109420506
ITGAV,-0.6024922993962205,-0.3705086334422544,-0.23198366595396613,-0.4819406761244215,2.0744410508568347e-09,302,303,9.560580193136438e-06,8.683098901953997
AFF1,0.10194611304563869,0.04258649083770308,0.059359622207935614,0.4459450205128934,1.9386248855281058e-08,302,303,7.147709952942126e-05,7.712506216658978
ITGB5,-0.5542915591819306,-0.38984999291507466,-0.16444156626685597,-0.4331191871472042,3.0687772140411036e-07,302,303,0.0009428817990141291,6.513034639174756
CCDC32,-0.1056604782978085,-0.1795829041613286,0.0739224258635201,0.43794475067728583,3.223812215430227e-07,302,303,0.0008490139741636605,6.491630263448093
TLN1,-0.6226898503468465,-0.4883981337779402,-0.13429171656890632,-0.40963231369022224,4.619286888025079e-07,302,303,0.001064456922259279,6.335425064378895
HEMK2,-0.4843670636201952,-0.6222342400734663,0.13786717645327107,0.4133401688369143,8.56934588247371e-07,302,303,0.0017552876815933648,6.0670523274903525
UROS,-0.16819810207916697,-0.28924713033813904,0.12104902825897207,0.41252918527169874,1.0756139518887648e-06,302,303,0.001982894320306938,5.9683435731380206
ACLY,-0.4758104687759221,-0.6111430915502377,0.13533262277431563,0.3896599549553129,1.235680124516758e-06,302,303,0.002070887554133312,5.908093938742805
CDC42,-1.306099083236417,-1.1208894964828906,-0.1852095867535264,-0.39796337575838003,1.3601550130993344e-06,302,303,0.0020895381388738522,5.86641159347
CINP,-0.9206860935419392,-1.0546035425363214,0.13391744899438218,0.35844023049466783,1.9265725140581284e-06,302,303,0.002732028022820123,5.715214639979489
UROD,-0.6766677308107919,-0.8697400759324878,0.1930723451216959,0.3487730779868413,2.7596471415819002e-06,302,303,0.0036338639325044523,5.559146444840815
MAP2K7,-0.1487766084680914,-0.07086208087226614,-0.07791452759582526,-0.356357605209488,3.760247771347543e-06,302,303,0.0046213445109861305,5.42478353747028
INTS6,-1.210245613910559,-0.9251137937448175,-0.28513182016574157,-0.33906102300630686,5.370153644734145e-06,302,303,0.006187423902542123,5.270013288582447
GPR61,-0.44113681470344296,-0.37423827592361686,-0.0668985387798261,-0.3233816772570002,5.526626433145109e-06,302,303,0.005993138723237063,5.25753989013267
USP19,-0.26588001190322014,-0.21211492980766314,-0.053765082095557,-0.3547322497138514,6.691797609906078e-06,302,303,0.006853516052145475,5.174457202531844
ATP1B3,-0.31455453197307526,-0.5088930728593367,0.19433854088626146,0.5144618778852903,7.239720659033923e-06,302,303,0.007024434228910019,5.140278190512877
FDFT1,-0.11989835019655555,-0.213620931067065,0.09372258087050946,0.3125835332569841,7.383261870773459e-06,302,303,0.006805521629385436,5.1317517276746525
KIRREL1,0.2089071486541875,0.14043182832682646,0.06847532032736103,0.3304651981347729,7.496782450425218e-06,302,303,0.006581104022551852,5.125125091788371
DLG5,-0.24529528945688797,-0.17584211461249258,-0.0694531748443954,-0.3257102912086942,7.64519147028888e-06,302,303,0.006406322943398887,5.116611633410769
DOCK7,-0.17665022116038007,-0.10452171743881893,-0.07212850372156114,-0.38319103150875783,1.1179032832854934e-05,302,303,0.008960237837986117,4.9515957683211145
FDPS,-0.7326720464672581,-0.9050727513830235,0.1724007049157653,0.3858636272941619,1.1592984370460376e-05,302,303,0.008904861119559878,4.935804749646216
CHODL,0.015606549055074723,-0.023483643577924648,0.03909019263299937,0.3375011868436606,1.2021542796447357e-05,302,303,0.008864685658100281,4.920039793149619
MLLT1,0.023309990370123976,-0.04328336430200806,0.06659335467213204,0.371163189164556,1.2385785235389644e-05,302,303,0.008781998108246465,4.907076454755466
PKN2,-0.38101587593487257,-0.2713993722488298,-0.10961650368604275,-0.3500227352591152,1.297952510055809e-05,302,303,0.00886213130476994,4.8867411973646275
