tf,target,edge,rho_high,rho_low,delta_abs_rho,rewiring,weight,category
MAFK,HBB,MAFK→HBB,0.030019798849712055,0.04181902744266623,-0.011799228592954177,0,1.0,neutral
FOS,FOS,FOS→FOS,1.0,1.0,0.0,0,-1.0,both
HES1,HES1,HES1→HES1,1.0,0.9999999999999999,1.1102230246251565e-16,0,1.0,both
RARG,MMP11,RARG→MMP11,0.06863160962919368,0.12808848458168923,-0.05945687495249555,0,1.0,neutral
IRF2,IRF2,IRF2→IRF2,1.0,0.9999999999999999,1.1102230246251565e-16,0,1.0,both
STAT1,IFNG,STAT1→IFNG,-0.030223109862602023,-0.04572101063860849,-0.01549790077600647,0,1.0,neutral
JUN,IL6,JUN→IL6,0.1558168099015333,0.06653704105934657,0.08927976884218672,0,1.0,neutral
SRF,FOS,SRF→FOS,0.06336824991483522,0.027459077031838898,0.035909172882996325,0,1.0,neutral
JUN,IL2,JUN→IL2,0.003397434171913452,0.020549481216674954,-0.0171520470447615,0,1.0,neutral
SRF,SRF,SRF→SRF,0.9999999999999999,0.9999999999999999,0.0,0,1.0,both
PAX5,IL2,PAX5→IL2,-0.0010769349138926194,-0.012260226878759365,-0.011183291964866745,0,1.0,neutral
JUN,JUN,JUN→JUN,1.0,0.9999999999999998,2.220446049250313e-16,0,1.0,both
NEUROD1,NEUROD1,NEUROD1→NEUROD1,,,,0,1.0,neutral
SPI1,TIMP1,SPI1→TIMP1,0.04884958089147171,0.1947537149467698,-0.1459041340552981,0,1.0,neutral
PAX3,PAX3,PAX3→PAX3,,1.0,,0,1.0,neutral
JUN,SPI1,JUN→SPI1,0.011388419903939094,-0.10112042166056598,-0.08973200175662688,0,1.0,neutral
SPI1,JUN,SPI1→JUN,0.011388419903939094,-0.10112042166056598,-0.08973200175662688,0,1.0,neutral
FOS,FN1,FOS→FN1,0.2964599933781708,0.1924516687368253,0.10400832464134552,0,1.0,neutral
JUN,FN1,JUN→FN1,0.19772282024338456,0.1272730767965652,0.07044974344681937,0,1.0,neutral
ESR2,SPP1,ESR2→SPP1,-0.0031116442217377052,-0.031576693341633835,-0.02846504911989613,0,1.0,neutral
PAX5,CD79A,PAX5→CD79A,-0.01043900555281009,0.5018017816053343,-0.4913627760525242,0,1.0,low_only
STAT1,HSP90AA1,STAT1→HSP90AA1,0.11173489761223586,0.046695239458132504,0.06503965815410336,0,-1.0,neutral
SPI1,IL1B,SPI1→IL1B,0.217129939870002,0.4771911187560001,-0.2600611788859981,0,1.0,neutral
IRF2,IFNG,IRF2→IFNG,-0.02736466573929596,0.005125680368300032,0.02223898537099593,0,1.0,neutral
CEBPD,IL1B,CEBPD→IL1B,0.15031504442707355,0.15131500322305894,-0.000999958795985384,0,1.0,neutral
FOS,HSPA5,FOS→HSPA5,0.20884830772705704,0.14343567256239867,0.06541263516465837,0,1.0,neutral
PAX3,FN1,PAX3→FN1,,-0.016019971279487736,,0,1.0,neutral
JUNB,IL6,JUNB→IL6,0.16004976267760848,0.0408361402433485,0.11921362243425998,0,-1.0,neutral
PAX5,PAX5,PAX5→PAX5,0.9999999999999999,1.0,-1.1102230246251565e-16,0,1.0,both
CEBPD,GH1,CEBPD→GH1,-0.017734186606549098,-0.012668939446919682,0.005065247159629416,0,1.0,neutral
IRF2,LGALS3,IRF2→LGALS3,0.17802583643617884,0.037311309737988727,0.14071452669819012,0,1.0,neutral
