tf,n_edges,delta_mean,rho_high_mean,rho_low_mean,n_high_only,n_low_only,n_rewired
HEY2,1,0.20568903604701494,0.30519018765306266,0.09950115160604772,1,0,0
KLF5,4,0.19745397336763432,0.2174330994598614,0.10183498099667454,1,0,0
HEYL,2,0.13000839439209294,0.1497490935951567,0.01600188340126689,0,0,0
NFIA,4,0.12176025828714869,0.2840248249139932,0.1622645666268445,0,0,0
HMGA2,3,0.10684232941531498,0.1211620207894002,0.04515330912387395,0,0,0
EGR2,2,0.09096733593628843,0.07187962522052115,0.059985201776032074,0,0,0
CREB5,3,0.08546938880694765,0.18372766970048562,0.09825828089353798,0,0,0
ZBTB16,3,0.07964941060527388,0.03180154198714848,-0.01118285455702079,0,0,0
CEBPD,9,0.07081046517837884,0.29223539423740585,0.22142492905902705,0,0,0
SMAD7,9,0.06924403151892522,0.08451468527844658,0.005759936033628867,0,0,0
NUPR1,1,0.06540652353536588,0.20886898226320538,0.1434624587278395,0,0,0
CREB3L1,2,0.06520437342299126,0.16538884145700958,0.10018446803401831,0,0,0
FOXD1,1,0.0577077893626346,0.11268694816489082,0.05497915880225622,0,0,0
SOX2,8,0.05430697094679556,0.2278676323669862,0.19415839747330993,0,0,0
ZNF165,1,0.05258605491152446,0.06392161617296255,0.011335561261438087,0,0,0
KLF6,6,0.04384960115341513,0.044742012830159265,0.03138674732226225,0,0,0
MAFK,2,0.042074998874082184,0.06907959838491598,0.03882613322854655,0,0,0
TRIB3,1,0.038621638050057694,0.1289365471145245,0.09031490906446682,0,0,0
GLIS3,1,0.03852587272896792,0.0743670746139246,0.035841201884956674,0,0,0
ATRX,1,0.03442198438229878,-0.05252129310649117,-0.01809930872419239,0,0,0
HES1,7,0.03376466916242439,0.05214315333981261,0.06274940963573987,0,0,0
ATF4,21,0.03197601702077305,0.14647074120559936,0.1144947241848263,0,0,0
AEBP1,1,0.025528448727523363,0.06027984479579488,-0.03475139606827152,0,0,0
NR4A2,7,0.025367299632966172,0.028465143166237303,0.026967107471187596,0,0,0
FOXP3,8,0.02496534702516475,0.009108713405349217,-0.007947204250554098,0,0,0
JUNB,14,0.02280410050687809,0.08245525263053244,0.1161491849919561,0,0,0
NR1I3,2,0.013412954311238373,0.01150806469408168,-0.0007359495003918838,0,0,0
HOXC13,2,0.012888336251326205,-0.021314856604434013,-0.004460125130614365,0,0,0
ESR2,10,0.011579185756956233,0.00047180478585104324,0.002098620650102391,0,0,0
TRERF1,3,0.01154112212237119,0.023176176974989082,-0.011635054852617894,0,0,0
ETV2,3,0.011059232669975412,0.3296893657735335,0.3345388970684835,0,0,0
STAT1,36,0.011031536995791942,0.12411531928154108,0.14101869999299121,1,0,0
ZSCAN26,1,0.010592425650898301,0.024673735707484677,0.014081310056586376,0,0,0
HAND2,5,0.009616478345932235,0.01708744118699375,0.006737332316235171,0,0,0
TOB1,1,0.008042875429517139,0.016125757758239063,0.008082882328721924,0,0,0
NPM1,2,0.006582367954014649,0.008628426017576475,-0.017851787537588464,0,0,0
LITAF,1,0.005338479849482323,0.005629114006345802,-0.00029063415686347843,0,0,0
SFPQ,1,0.0051945966366846175,0.12265659635957689,0.11746199972289227,0,0,0
HMGB1,1,0.0012077939979808217,-0.0694608289623314,-0.06825303496435058,0,0,0
NR1H3,7,0.00032029359821135375,0.13072927686170693,0.13409272786410278,0,1,0
DNMT3B,3,3.651399415714104e-05,-0.0010809260079304875,-0.009101701764253093,0,0,0
OVOL1,1,0.0,1.0,1.0,0,0,0
RARG,1,-0.00020915565373659517,-0.015663999331193362,0.015873154984929957,0,0,0
FOS,34,-0.0016205323303413195,0.10647463247154078,0.1254838489483975,0,0,0
TRIM21,1,-0.0018754715759423078,0.022012476845566262,0.02388794842150857,0,0,0
TRIM22,1,-0.0025756466280369315,0.0057306348614434574,0.008306281489480389,0,0,0
ZNF202,1,-0.003309898168279552,0.031063252309545018,0.03437315047782457,0,0,0
RORC,9,-0.003462912462742107,0.012976222618202731,0.029928378538134615,0,0,0
REL,15,-0.006259405841519642,0.03622668820283033,0.05736196430747419,0,0,0
SPI1,27,-0.010064044392712548,0.09479561904133325,0.11308835233206566,0,0,0
MID2,1,-0.012245908525918413,-0.000248191690435846,0.012494100216354258,0,0,0
PAX5,6,-0.015301780211415738,0.04865142585935107,0.07607216504196446,0,0,0
JUN,81,-0.01670079532966188,0.04720795366877316,0.09136010687495441,0,1,0
IRF2,6,-0.020085772977517763,0.04110144168358199,0.062338302016673945,0,0,0
POU3F3,1,-0.02014066775895705,0.05459932982546514,0.0747399975844222,0,0,0
SRF,11,-0.023977288709432745,0.15106830207236543,0.17883600355179097,0,0,0
ZBTB20,2,-0.04484172104723837,0.02054470038198364,0.02405639808367095,0,0,0
TEAD2,1,,0.036694937935669664,,0,0,0
TFAP2B,4,,-0.0015528543810040922,,0,0,0
PAX3,5,,-0.0017827112988182806,,0,0,0
SPIC,1,,-0.006249565748833253,,0,0,0
NEUROD1,4,,,,0,0,0
