edge_id,tf,target,mean_delta,cohens_d,pct_drugs_up,p_wilcoxon,n_drugs
TRIM22→JUN,TRIM22,JUN,-0.4156213585721285,-3.174869569093156,0.0,1.1870754623494625e-48,286
HES1→FLT3,HES1,FLT3,0.20634549925145942,3.4894519612078616,1.0,1.1870754623494625e-48,286
JUN→JUN,JUN,JUN,-0.5313236270979305,-2.9134777875947697,0.0,1.1870754623494625e-48,286
KLF5→CXCR4,KLF5,CXCR4,-0.33651504033710616,-3.314353928403325,0.0,1.1870754623494625e-48,286
JUN→CASP3,JUN,CASP3,-0.3814213442748765,-3.0459099774654756,0.0,1.1870754623494625e-48,286
JUN→FN1,JUN,FN1,-0.21311198450503516,-2.7272892293163586,0.0034965034965034965,1.199628500802867e-48,286
JUN→PTPN6,JUN,PTPN6,-0.5836775190270455,-3.1947509986368656,0.0034965034965034965,1.199628500802867e-48,286
JUN→DUSP1,JUN,DUSP1,-0.260608882087981,-2.788350796592902,0.0034965034965034965,1.2123136688108349e-48,286
SPI1→CTSG,SPI1,CTSG,-0.40315849103364354,-3.3844424767858032,0.0034965034965034965,1.2123136688108349e-48,286
JUN→PLAGL1,JUN,PLAGL1,-0.24582420084067663,-2.7666342415168987,0.0034965034965034965,1.2251323505886955e-48,286
JUN→SPI1,JUN,SPI1,-0.4089354091067331,-2.922810690994515,0.006993006993006993,1.2251323505886955e-48,286
SPI1→JUN,SPI1,JUN,-0.4089354091067331,-2.922810690994515,0.006993006993006993,1.2251323505886955e-48,286
JUN→HMMR,JUN,HMMR,-0.1927102574326243,-2.402846727287408,0.006993006993006993,1.2380859447838936e-48,286
JUN→TPI1,JUN,TPI1,-0.227869042612393,-2.6400219559097504,0.0034965034965034965,1.2511758646257816e-48,286
JUN→BBC3,JUN,BBC3,-0.22675571772811848,-2.737468430479953,0.006993006993006993,1.2644035380769734e-48,286
CEBPD→KLF5,CEBPD,KLF5,-0.34102672472389384,-3.2495316513278985,0.006993006993006993,1.2777704079859942e-48,286
JUN→CXCL8,JUN,CXCL8,-0.19565689528890975,-2.663659798655203,0.006993006993006993,1.2912779322420029e-48,286
JUN→FOS,JUN,FOS,-0.21214831410673804,-2.5898918192175895,0.006993006993006993,1.2912779322420029e-48,286
JUN→MCL1,JUN,MCL1,-0.3465997149455866,-2.793291457001052,0.0034965034965034965,1.2912779322420029e-48,286
FOS→JUN,FOS,JUN,-0.21214831410673804,-2.5898918192175895,0.006993006993006993,1.2912779322420029e-48,286
JUN→CXCL9,JUN,CXCL9,-0.17772520720411333,-2.4866856573389406,0.006993006993006993,1.3049275839304702e-48,286
JUN→OSM,JUN,OSM,-0.31459182599315494,-3.058671343475,0.01048951048951049,1.3049275839304702e-48,286
JUN→SMAD7,JUN,SMAD7,-0.17619428973642554,-2.263559634196376,0.013986013986013986,1.3467442657157586e-48,286
JUN→F3,JUN,F3,-0.19991113487503362,-2.691792122590088,0.01048951048951049,1.3609774674713644e-48,286
JUN→IL1B,JUN,IL1B,-0.21300731264802913,-2.437657779788981,0.01048951048951049,1.3609774674713644e-48,286
JUN→TPSAB1,JUN,TPSAB1,-0.2354179406137981,-2.8121652082475204,0.013986013986013986,1.3753603956092915e-48,286
FOXP3→CASP3,FOXP3,CASP3,-0.19763945414187303,-2.7268782527045445,0.006993006993006993,1.389894617761889e-48,286
FOXP3→FCGR3A,FOXP3,FCGR3A,-0.1582911657917074,-2.4184524959964913,0.013986013986013986,1.404581717896412e-48,286
MID2→JUN,MID2,JUN,-0.20529849888442214,-2.4378722975073925,0.006993006993006993,1.4194232964839876e-48,286
JUN→IFNG,JUN,IFNG,-0.13309805618300885,-2.4690027963735797,0.006993006993006993,1.434420970671168e-48,286
FOS→IFNG,FOS,IFNG,-0.0837713399193676,-2.510365100363819,0.01048951048951049,1.4648911588452107e-48,286
SPI1→FCER2,SPI1,FCER2,-0.2900284051603242,-2.901174109587907,0.01048951048951049,1.4648911588452107e-48,286
JUN→IL2,JUN,IL2,-0.18326180488699456,-2.3772850886357424,0.013986013986013986,1.480366992066088e-48,286
SPI1→CXCR1,SPI1,CXCR1,-0.22132755654456232,-2.945939879825733,0.017482517482517484,1.496005559709326e-48,286
SPI1→XAF1,SPI1,XAF1,-0.21374533047665348,-2.6592402814761598,0.01048951048951049,1.496005559709326e-48,286
JUN→CXCL2,JUN,CXCL2,-0.16611131943125246,-2.3458809270537153,0.013986013986013986,1.5118085649269487e-48,286
JUN→ACTA1,JUN,ACTA1,-0.0988816833719463,-2.2810121315876377,0.01048951048951049,1.5118085649269487e-48,286
REL→JUN,REL,JUN,-0.3754799372594407,-2.633727669033803,0.013986013986013986,1.5933510170799026e-48,286
JUN→CEBPD,JUN,CEBPD,-0.5495020151469286,-3.074282136847891,0.017482517482517484,1.5933510170799026e-48,286
JUN→OPRM1,JUN,OPRM1,-0.24860092637282186,-2.557820708970041,0.01048951048951049,1.6101774203376814e-48,286
HES1→CD4,HES1,CD4,0.11384499286223133,2.2624250212960715,0.9895104895104895,1.6443626775236112e-48,286
SPI1→SPI1,SPI1,SPI1,-0.4889039795976977,-2.633714117055225,0.01048951048951049,1.6969997350420036e-48,286
JUN→NQO1,JUN,NQO1,-0.4742145213876488,-2.7797574995553127,0.013986013986013986,1.8073578316249727e-48,286
JUN→CD69,JUN,CD69,-0.39515272060356793,-2.5978499434791016,0.017482517482517484,1.845708748545635e-48,286
JUN→HES1,JUN,HES1,0.16774947551410363,2.15585019889018,0.9790209790209791,1.8651868828434756e-48,286
SPI1→OPRM1,SPI1,OPRM1,0.21944757263792852,2.6376842671014566,0.993006993006993,1.8848696163576993e-48,286
JUN→TXNIP,JUN,TXNIP,-0.15795484785713415,-2.020405567306243,0.017482517482517484,1.9248574591712663e-48,286
JUN→ITGB1,JUN,ITGB1,-0.415134470141085,-2.6724106097483573,0.013986013986013986,1.9451669134057716e-48,286
