cancer,n_samples,n_tfs,r2_full,r2_cv,r2_cv_std,r2_jun,r2_ap1_stress,r2_epigenetic_dev,r2_differentiation
ACC,74,41,0.5892955291545858,-2.5428760593402817,0.8278983589251044,0.028653135569533306,0.31523801094437176,0.18705148456668585,0.24970610317296038
BLCA,405,41,0.25713314999267034,-0.04915838552151412,0.1663256476938124,0.015495789031815255,0.10673876383308456,0.17275662506417067,0.05673067310747715
BRCA,766,41,0.2544893523373938,0.13120138677187576,0.08380518768115826,0.0007747191290212729,0.17636016771741458,0.1418736506521141,0.16773155053988043
CESC,291,41,0.25024924077668176,-0.11199935344527572,0.10083090892666906,0.03197234557089046,0.12629171032459108,0.16316219061944737,0.08030976654993105
CHOL,36,41,1.0,-5.917704716266972,3.8815039396198556,0.0007552392451963819,0.5733415896142133,0.44796151013022845,0.21887306993793054
COAD,277,41,0.18976828963847403,-0.21324607932188738,0.16357343246882483,0.008341933696560222,0.05886770381264661,0.06985378698826794,0.048979887882316664
DLBC,47,41,0.9215230625123323,-13.742523945805248,8.19399013507844,0.003773613985958657,0.20405715792659762,0.27221887924615407,0.196906988851404
ESCA,178,41,0.46546717706429364,-0.09757089824193335,0.1767906873458835,0.019492456339965547,0.25521235773483997,0.35288924301081515,0.23225372475176287
GBM,47,41,0.8220323509072027,-17.949000437578768,18.367176508256847,0.015781427253696356,0.3608914659738688,0.2305245079397258,0.11583005834571924
HNSC,506,41,0.1283837720296226,-0.07431590041606281,0.06989217080017432,0.0024757801865709084,0.05492224589962291,0.05881412352199622,0.06371550080850497
KICH,65,41,0.732691095101273,-3.7389852961958887,3.5584786241710504,0.0008091283903651769,0.35125793586591847,0.3523076751858488,0.09138038266456372
KIRC,306,41,0.4697759805295053,-0.11261867653258117,0.3134683008941504,0.01844914069290915,0.22999616356073505,0.2967795657951894,0.36003469970213675
KIRP,265,41,0.3986078229864307,-0.17202546277566116,0.45817212560092047,0.02160308722079929,0.23187175147786454,0.2582064891864515,0.15756883301314784
LAML,147,41,0.2484431896100261,-0.7483371087139488,0.30099978337179567,0.0001609538160526336,0.09041417576025512,0.1527046556715529,0.06298290830873288
LGG,503,41,0.2882312347872241,0.0807113985244422,0.17812241030575696,0.00922451108448552,0.14024151326544687,0.1510986613732901,0.15082688794417687
LIHC,358,41,0.13843833517103477,-0.23406204543111184,0.10131961483563781,0.0018326070412090223,0.05860856093204869,0.05382261511856423,0.020189074764374815
LUAD,441,41,0.23843415145878177,-0.016730426090010787,0.1968971387057411,0.005635065195230604,0.11578219452651184,0.12326548341439969,0.07995817254766124
LUSC,353,41,0.1724423768242288,-0.1765027573045882,0.14682280989802055,0.001595461222733796,0.051034442450032746,0.07887402956226242,0.06809158226332512
MESO,86,41,0.527564786333496,-2.7121743808186713,1.9777135664153613,0.0004171347301036299,0.17421270363760144,0.1688521201412203,0.1574022062153071
PAAD,176,41,0.36264751957510644,-0.2386586713880075,0.19093995877809414,0.002859761692172169,0.18857796676000615,0.08005228540578668,0.1852731901537561
PCPG,160,41,0.4638425826188757,-0.1485774010641255,0.5108468351385689,0.0001881744825990017,0.25290106331236095,0.2018496028645792,0.2007333442434418
PRAD,486,41,0.19398427078906466,-0.025654653596893517,0.10241841548685272,0.00045123986172901365,0.09733718266476432,0.1051526802808529,0.08250661158979533
READ,85,41,0.6183508672094562,-0.9807772785663914,0.6322030755023278,0.03538647060720246,0.32959796662513974,0.22617462166161628,0.3101627819652677
SARC,250,41,0.1954991184366336,-0.3790214868761933,0.20583946766838443,0.0003944094494514605,0.05159407950959394,0.0907251060900861,0.051104394355057314
SKCM,348,41,0.2473062350641636,-0.04515030245244915,0.11117113181452504,0.0009724898726418685,0.17112791322905407,0.054064479788493824,0.1356515555333282
STAD,362,41,0.3839617586585006,0.09950194541350979,0.08331536726164358,0.00898255074861043,0.14131223828244466,0.13455948897638015,0.192548087654421
TGCT,131,41,0.48705534075994306,-0.37785307366997956,0.2818591154164687,0.09160511106218738,0.3081946463889874,0.24809374333951373,0.22146237530593393
THCA,494,41,0.40116829846517543,0.18809530704220356,0.06829089885165647,0.07405416967438117,0.2803570435644246,0.2903497834940665,0.1476722356148944
THYM,117,41,0.46992724225098415,-1.1360049321654972,0.5733747070607239,0.005454198282150546,0.16708100203770637,0.19209298337251712,0.11706827544491272
UCEC,180,41,0.35512997743620733,-0.4995992950180851,0.46014474242844927,0.009763918391868298,0.20211241713358719,0.1472373120582433,0.08457901966745796
UCS,56,41,0.878432153342648,-6.735813807935324,4.961897692490456,0.04013820592686068,0.5896872465503258,0.2502795884673229,0.2199192549142156
UVM,79,41,0.6462567973759469,-1.2978089449117698,0.9901336415940923,0.017628614140016485,0.41488734080025824,0.248759583927039,0.22489282973281188
