cancer,tf,coef,module
ACC,PAX3,-0.012573680623085315,AP-1/Stress
ACC,PAX5,-0.010676049834222951,Epigenetic/Dev
ACC,SPI1,-0.04188672943532672,Differentiation
ACC,STAT1,0.03274223490835871,AP-1/Stress
ACC,HDAC2,-0.07878225090713435,Epigenetic/Dev
ACC,SOX2,-0.020943251953729033,Epigenetic/Dev
ACC,CTCF,-0.26259010112088865,Epigenetic/Dev
ACC,TRIM22,0.01800170234766333,Differentiation
ACC,EZH2,0.027950150980638164,Epigenetic/Dev
ACC,RARG,-0.03753929598335099,Epigenetic/Dev
ACC,NANOG,-0.007255586975533873,Epigenetic/Dev
ACC,HES1,0.06508319670220322,AP-1/Stress
ACC,ZBTB20,0.020142131963463115,AP-1/Stress
ACC,NFIA,-0.10109997872394863,AP-1/Stress
ACC,CEBPA,0.03195881121631598,Differentiation
ACC,PPARG,0.05526192922070217,Differentiation
ACC,TEAD2,0.029868748930087643,Epigenetic/Dev
ACC,ZNF202,0.034427225628464966,Epigenetic/Dev
ACC,FOXA1,0.00014682992148275776,Differentiation
ACC,MITF,-0.017854633937466825,Differentiation
ACC,SMAD7,0.02126124388508771,AP-1/Stress
ACC,ESR2,0.0029895249275221185,Epigenetic/Dev
ACC,FOXP3,-0.009912695621928891,AP-1/Stress
ACC,SUZ12,-0.012730845667093706,Epigenetic/Dev
ACC,JUN,-0.03210286405525663,AP-1/Stress
ACC,ATF4,-0.10884442158876159,AP-1/Stress
ACC,HEYL,0.018593373354728094,AP-1/Stress
ACC,FOS,0.0022260984934098895,AP-1/Stress
ACC,RUNX1,-0.008364783726630522,Differentiation
ACC,CREB1,0.0025014457140089966,AP-1/Stress
ACC,MYOD1,-0.015288295337194108,Differentiation
ACC,CEBPB,0.01290632645536387,AP-1/Stress
ACC,DNMT3B,0.006131100828802715,AP-1/Stress
ACC,MEF2A,-0.02805592278127477,Epigenetic/Dev
ACC,SFPQ,0.18293354972145212,Epigenetic/Dev
ACC,POU5F1,-0.005133006709352433,Epigenetic/Dev
ACC,GATA3,0.01412649386057514,Differentiation
ACC,STAT3,0.015932383569083813,AP-1/Stress
ACC,ZNF263,0.15528912032131953,Epigenetic/Dev
ACC,IRF1,0.004456039156351314,AP-1/Stress
ACC,TBX21,0.02827690804381281,Differentiation
BLCA,PAX3,-0.0022069397672226515,AP-1/Stress
BLCA,PAX5,0.006318593637010121,Epigenetic/Dev
BLCA,SPI1,0.019195286176688763,Differentiation
BLCA,STAT1,-0.006661862496821942,AP-1/Stress
