gene,n_mut,n_wt,mean_mut,mean_wt,delta,cohens_d,p_value,fdr,category
ABCB1,14,645,4.795670091182997,4.647588818127162,0.1480812730558343,0.19441512481324286,0.327884762942384,0.9128229946164308,Other
ACACA,9,650,4.291730495026242,4.655705530020532,-0.36397503499429007,-0.4241148435395025,0.41184303843703307,0.9128229946164308,Other
ACVR2A,10,649,4.534806534946193,4.652520960892326,-0.1177144259461329,-0.16982488283995717,0.7283601690892828,0.9717438822270672,Other
ADGRL2,11,648,4.897683412223589,4.6465426719662375,0.2511407402573518,0.31670015648504574,0.31625353602006323,0.9128229946164308,Other
AFF4,6,653,4.072646923666997,4.65604638197026,-0.5833994583032629,-0.6730993216378836,0.263967680270199,0.9128229946164308,Other
AHCTF1,8,651,4.314608963377547,4.654865279971675,-0.3402563165941279,-0.42199688133198154,0.5170771481580808,0.9128229946164308,Other
AHNAK,10,649,4.558557384454857,4.652155000191113,-0.09359761573625658,-0.1271915488961552,0.8795999505807393,0.9717438822270672,Other
AKAP9,20,639,4.62644998820174,4.651494787487553,-0.025044799285812935,-0.029668655490537738,0.7370502986123031,0.9717438822270672,Other
ALK,8,651,4.817420805585776,4.648686332601989,0.16873447298378697,0.23611936504773123,0.48416306806878845,0.9128229946164308,Oncogene
AMER1,8,651,4.478909381398461,4.652846227215659,-0.17393684581719793,-0.2773234831572805,0.5898947575646577,0.9128229946164308,Other
ANK3,20,639,4.4179844305004625,4.658019531077577,-0.2400351005771144,-0.3756269205341103,0.2504633430751684,0.9128229946164308,Other
APC,39,620,4.452075893586722,4.663230982449515,-0.21115508886279333,-0.29573890408324066,0.0863865910971674,0.9128229946164308,TSG
ARAP3,5,654,5.117768200651753,4.6471641100387195,0.4706040906130333,0.5580049257037537,0.24715322222093633,0.9128229946164308,Other
ARFGEF1,14,645,4.455017597836785,4.6549828257346775,-0.19996522789789228,-0.2494500868769227,0.5052776374726865,0.9128229946164308,Other
ARFGEF2,8,651,4.3888572959649,4.65395285806584,-0.26509556210093965,-0.43330152046435316,0.3582930958637828,0.9128229946164308,Other
ARHGAP29,10,649,4.197543008696445,4.657717625395403,-0.460174616698958,-0.6959440992098248,0.05477541724111138,0.9128229946164308,Other
ARID1A,55,604,4.640561972785928,4.6516610272605226,-0.011099054474594361,-0.014942968219774477,0.6794728392242961,0.9625865222344195,"TSG,Chromatin"
ARID2,19,640,4.512299894443077,4.654844485897129,-0.14254459145405196,-0.21559810465933782,0.5969048875540475,0.9128229946164308,Chromatin
ARID4A,14,645,4.142671218049755,4.661762437078891,-0.5190912190291357,-0.6737858581388835,0.01607134552097701,0.6980961987904161,Other
ARID4B,11,648,4.333184397008662,4.656125216977602,-0.32294081996894075,-0.42910467023079335,0.3741150504501485,0.9128229946164308,Other
ASH1L,16,643,4.6173818198835015,4.651564634293072,-0.03418281440957038,-0.045157371332409615,0.671025595484859,0.9586079935497985,Other
ASPM,14,645,4.432598657515808,4.655469438392806,-0.22287078087699808,-0.28368944269857355,0.6462065544838643,0.9389326005321105,Other
ASXL1,16,643,4.613155910875305,4.651669789105097,-0.03851387822979202,-0.04993716738018248,0.7724720732699837,0.9717438822270672,Other
ATM,22,637,4.673713550640477,4.649941084543942,0.023772466096535716,0.03420535959635597,0.5920161768494911,0.9128229946164308,"TSG,DNA_repair"
ATR,10,649,4.998480226375221,4.645376528050584,0.3531036983246363,0.4617380021798412,0.1000768812614749,0.9128229946164308,"TSG,DNA_repair"
ATRX,8,651,4.969652485003783,4.646815589997774,0.32283689500600854,0.5038261831628134,0.07323886123090897,0.9128229946164308,TSG
AXIN1,8,651,4.400511420905022,4.6538096430128135,-0.25329822210779174,-0.3985765636239378,0.40271237417642897,0.9128229946164308,Other
AXIN2,6,653,4.450677140235687,4.652572903716948,-0.20189576348126081,-0.3446749251760301,0.5965976867056287,0.9128229946164308,Other
B2M,13,646,4.477984133520261,4.6542111071715455,-0.1762269736512847,-0.22427055266153703,0.7882910161039924,0.9717438822270672,Other
BAP1,6,653,4.542338859911145,4.651730682709211,-0.1093918227980657,-0.17505650835142883,0.8115304344103137,0.9717438822270672,TSG
BAZ2B,5,654,4.563408561632206,4.651402333578624,-0.08799377194641789,-0.142037497350164,0.9717438822270672,0.9717438822270672,Other
BCLAF1,10,649,4.779787078974878,4.648746222155367,0.13104085681951094,0.19579206354192663,0.38000155437288263,0.9128229946164308,Other
BCOR,14,645,4.504926415349781,4.653899533571604,-0.14897311822182235,-0.20888170622126526,0.5902311753783036,0.9128229946164308,Other
BLM,6,653,4.440223706420048,4.65266895364481,-0.21244524722476132,-0.3772151791297248,0.5747806852834622,0.9128229946164308,Other
BMPR2,13,646,4.318855304464584,4.657413390109198,-0.338558085644614,-0.4591031501237207,0.3068342791915627,0.9128229946164308,Other
BPTF,10,649,4.545961603101989,4.65234908002706,-0.10638747692507078,-0.1348159632461546,0.7663943359600189,0.9717438822270672,Other
BRAF,56,603,4.728145715632102,4.643545620055031,0.08460009557707071,0.10619223713222006,0.42445293679552765,0.9128229946164308,Oncogene
BRCA1,9,650,4.614687312599273,4.65123382023875,-0.03654650763947753,-0.0533203275321937,0.9669535796034584,0.9717438822270672,"TSG,DNA_repair"
BRCA2,24,635,4.744208686284561,4.647201827555514,0.09700685872904735,0.11744188175416274,0.2645317496941394,0.9128229946164308,"TSG,DNA_repair"
BRWD1,11,648,4.604192374460975,4.651524772915911,-0.04733239845493564,-0.0631780335464778,0.871221863354133,0.9717438822270672,Other
CASP8,11,648,4.332271511373372,4.6561407134930155,-0.3238692021196439,-0.4419917428687084,0.22390904413084045,0.9128229946164308,Other
CCAR1,8,651,4.483548850196011,4.652789213774214,-0.1692403635782025,-0.2685943043285034,0.6013892670414133,0.9128229946164308,Other
CDH1,8,651,4.9699147099152565,4.646812367571827,0.3231023423434296,0.407050225852012,0.2259594142852805,0.9128229946164308,TSG
CDK12,7,652,4.438527365900427,4.653013002158403,-0.2144856362579759,-0.33791453227123247,0.5174359472417016,0.9128229946164308,Other
CDKN2A,27,632,4.556499823538639,4.654760559704174,-0.09826073616553543,-0.14044464172235682,0.6441352531354898,0.9389326005321105,TSG
CHD4,10,649,4.4595011931403725,4.65368128973371,-0.19418009659333713,-0.24439869015915253,0.5242093570217886,0.9128229946164308,Other
CHD6,9,650,4.514360324545288,4.652622963150266,-0.1382626386049779,-0.22544755746175663,0.7489865539293952,0.9717438822270672,Other
CHD9,13,646,4.800992210200425,4.647710944637733,0.15328126556269162,0.22623035109310333,0.2857458327790401,0.9128229946164308,Other
CIC,10,649,4.157303181926604,4.6583376535428584,-0.5010344716162543,-0.8012075526710933,0.019417218885454054,0.6980961987904161,Other
CLSPN,10,649,4.456059385761757,4.653734322204875,-0.19767493644311784,-0.28198069180235513,0.3928498186134728,0.9128229946164308,Other
COL1A1,6,653,4.507646853353385,4.6520494454034615,-0.14440259205007688,-0.24039472145339538,0.7694151729662325,0.9717438822270672,Other
CREBBP,37,622,4.589118561855919,4.654399971350342,-0.06528140949442296,-0.09237779826521791,0.8683393078783295,0.9717438822270672,Chromatin
CTCF,22,637,4.51770019849494,4.655329300787586,-0.1376291022926459,-0.18774974049832532,0.4157357575155345,0.9128229946164308,Other
CTNNB1,12,647,4.877116041974764,4.646535975989003,0.23058006598576153,0.2703767062199814,0.3041404590492618,0.9128229946164308,Oncogene
CTNND1,6,653,4.7796080318525345,4.6495505678062266,0.1300574640463079,0.19496362887128585,0.4636312834283642,0.9128229946164308,Other
CUX1,6,653,5.77069714162788,4.640444082877203,1.130253058750677,0.7707616778595867,0.06813461741700098,0.9128229946164308,Other
DDX3X,9,650,4.203794345213187,4.656923107479481,-0.45312876226629406,-0.7314233754452695,0.045683368639855795,0.9128229946164308,Other
DICER1,8,651,4.540362278361606,4.6520910456861575,-0.11172876732455173,-0.1780994925155084,0.7853579875272619,0.9717438822270672,Other
DLG1,5,654,5.032612169295903,4.647815150033795,0.3847970192621082,0.5193468765346251,0.2245428526045003,0.9128229946164308,Other
DNMT3A,13,646,4.696811526165914,4.649807459951122,0.04700406621479214,0.07545852453521944,0.4420082228262687,0.9128229946164308,Other
EGFR,16,643,4.649698730446106,4.6507604809975795,-0.001061750551473395,-0.0015110310353176285,0.9316684874703995,0.9717438822270672,Oncogene
EIF4G1,6,653,4.151566879232611,4.65532123689615,-0.5037543576635386,-0.507704444597427,0.09823319210812329,0.9128229946164308,Other
ELF3,9,650,4.602320506212206,4.651405052942572,-0.04908454673036555,-0.07003078734283469,0.8400276489914964,0.9717438822270672,Other
EPHA2,7,652,4.6376211370212905,4.650875492345755,-0.01325435532446484,-0.020059353036187402,0.8982148966893421,0.9717438822270672,Other
ERBB2,10,649,4.745263485491604,4.649278172748328,0.09598531274327549,0.14983571358855433,0.4378710186672852,0.9128229946164308,Oncogene
EZH2,15,644,4.416814790540195,4.656183147687079,-0.23936835714688431,-0.32275800477562205,0.1357076702255581,0.9128229946164308,Chromatin
F8,10,649,4.591630663952637,4.6516453965008555,-0.06001473254821832,-0.08444317928952749,0.8362356864459042,0.9717438822270672,Other
FAT1,23,636,4.498850223758572,4.6562273802234815,-0.1573771564649098,-0.21195478166642415,0.5776093752915428,0.9128229946164308,Other
FAT2,15,644,4.304926899331327,4.658789232109645,-0.35386233277831813,-0.538147990765919,0.07025642582855594,0.9128229946164308,Other
FBXW7,30,629,4.577750432131899,4.654215669323727,-0.07646523719182774,-0.11338181510241677,0.8057675742269488,0.9717438822270672,Other
FLT3,6,653,4.815990634644256,4.64921627130278,0.16677436334147533,0.18979618611337826,0.5965976867056287,0.9128229946164308,Other
FOXP1,6,653,4.487777220041116,4.6522320147753975,-0.16445479473428115,-0.2518097705203886,0.6412674652217666,0.9389326005321105,Other
FXR1,8,651,4.227675110438729,4.655933591528528,-0.4282584810897987,-0.5327444500948879,0.326090356084979,0.9128229946164308,Other
HDAC9,7,652,4.83038123383482,4.648805982103892,0.18157525173092814,0.27150234316584687,0.36049725390287357,0.9128229946164308,Other
HLA-A,14,645,4.773311357166824,4.648074123981776,0.12523723318504754,0.1706858517213391,0.44648975369024,0.9128229946164308,Other
HNF1A,11,648,4.528052334877329,4.652817273587855,-0.12476493871052607,-0.15569778980388796,0.91288362357863,0.9717438822270672,Other
INPPL1,13,646,4.658607304133291,4.650576275564782,0.008031028568509235,0.00993835718167605,0.8121672404417803,0.9717438822270672,Other
ITSN1,8,651,4.181688721307884,4.656498708445651,-0.4748099871377667,-0.5960533139513069,0.1737350229646839,0.9128229946164308,Other
KAT6B,7,652,4.592495413319248,4.651359970974458,-0.0588645576552107,-0.10134905271766288,0.9183405160368437,0.9717438822270672,Other
KDM5C,8,651,4.8317251760632605,4.648510549247427,0.18321462681583345,0.2830832540260285,0.2779662895479539,0.9128229946164308,Other
KDM6A,19,640,4.657217785534779,4.650542236005345,0.006675549529433944,0.008730674697187241,0.91673404801228,0.9717438822270672,Other
KDR,9,650,4.511499411831713,4.65266257578784,-0.1411631639561266,-0.2393675038996863,0.7543382901830336,0.9717438822270672,Other
KMT2A,5,654,4.538877856224432,4.651589877197949,-0.11271202097351729,-0.10359785653359395,0.94988901552438,0.9717438822270672,Chromatin
KMT2D,75,584,4.521945232688803,4.667274446090619,-0.1453292134018156,-0.2027557850729853,0.17947318497319664,0.9128229946164308,"TSG,Chromatin"
KRAS,84,575,4.685393636873668,4.645671484297728,0.039722152575939695,0.05300866396661023,0.4306404748847956,0.9128229946164308,Oncogene
LAMA2,16,643,4.809822148031823,4.646776072472896,0.1630460755589267,0.19987353154190568,0.4223862161393066,0.9128229946164308,Other
LARP4B,12,647,4.6381982898284475,4.6509672171416385,-0.012768927313191014,-0.0168056059577355,0.888642427434654,0.9717438822270672,Other
LNPEP,6,653,4.2735689798445975,4.654200237503084,-0.3806312576584867,-0.536779285629779,0.2917378606008845,0.9128229946164308,Other
LRP6,5,654,3.8050706305598148,4.657200024183154,-0.852129393623339,-1.1213200964264491,0.02053224114089459,0.6980961987904161,Other
LRPPRC,8,651,5.010890107618398,4.646308829658424,0.3645812779599735,0.4563999651399375,0.1804342660706293,0.9128229946164308,Other
MACF1,10,649,4.786791217066871,4.648638300150868,0.1381529169160034,0.17902338240223126,0.4711809732780545,0.9128229946164308,Other
MAGI2,10,649,4.497691330294982,4.653092843860758,-0.15540151356577603,-0.19334901404838334,0.9486197030402619,0.9717438822270672,Other
MAP2K4,9,650,4.762522111004802,4.649186876876213,0.11333523412858959,0.18104464586794733,0.36718945493276944,0.9128229946164308,Other
