gene,delta_netith,cohens_d,abs_d
PTK2B,-0.5562496581658554,-0.8336950658776229,0.8336950658776229
ELF1,-0.5238465269411554,-0.76591654066669,0.76591654066669
TNFAIP8,-0.507367890314562,-0.7333326685611132,0.7333326685611132
INPP5D,-0.4745086443088224,-0.7282775332505333,0.7282775332505333
WASL,0.5121370634534648,0.7264949926347141,0.7264949926347141
LPAR5,-0.49657995870351,-0.7142651402849363,0.7142651402849363
MFNG,-0.4662158569517141,-0.7128998298794668,0.7128998298794668
HSH2D,-0.4870513619320755,-0.6900178566025922,0.6900178566025922
PTMS,0.4806438415836274,0.6792331869620546,0.6792331869620546
ENAH,0.4784855054740742,0.6766164909613834,0.6766164909613834
CCND1,0.4702091616699793,0.6757305443117182,0.6757305443117182
GPR65,-0.4501091547435729,-0.6715956706072297,0.6715956706072297
CD69,-0.4596901663882962,-0.6633811691618333,0.6633811691618333
C1orf198,0.4811614751162327,0.6504873062756149,0.6504873062756149
SLC37A3,0.4592853579382323,0.6496076431203716,0.6496076431203716
IKZF1,-0.4333543725016291,-0.648282018525595,0.648282018525595
ICAM2,-0.4267647911423493,-0.6441911432733415,0.6441911432733415
GRAP,-0.4568518089009137,-0.6437849419557339,0.6437849419557339
WDFY4,-0.4612454022684202,-0.6435056991755411,0.6435056991755411
PATL2,-0.4353983559184611,-0.6387811707356719,0.6387811707356719
TAGAP,-0.4528295810981868,-0.635220117811199,0.635220117811199
IL16,-0.4413866008144502,-0.6320758395468271,0.6320758395468271
GNA11,0.4578865573784405,0.631440588907527,0.631440588907527
FGD3,-0.4617812938150374,-0.6288640805469198,0.6288640805469198
MSL2,-0.4427108936607604,-0.6266470135025586,0.6266470135025586
RHOG,-0.4400804560802847,-0.6264403077718536,0.6264403077718536
PIK3CG,-0.4225795461223258,-0.6249027056538917,0.6249027056538917
CBY1,0.4689914171450233,0.6230678072892413,0.6230678072892413
CD48,-0.4277185455559928,-0.6151838297413378,0.6151838297413378
RNASEH2B,-0.4211130683491095,-0.608889392043703,0.608889392043703
CXorf65,-0.440329629953859,-0.6035655001288649,0.6035655001288649
ADA,-0.4272492653964379,-0.6034355460141643,0.6034355460141643
AMELY,-0.4177085806168232,-0.6031600228164165,0.6031600228164165
ERICH1,-0.455805516983947,-0.602522363486356,0.602522363486356
IRF1,-0.4465069064751823,-0.6023918944845165,0.6023918944845165
DOCK8,-0.4112459628954346,-0.6018227247208529,0.6018227247208529
IRAG2,-0.4184501154490307,-0.6004233473075234,0.6004233473075234
STK10,-0.4360836083198549,-0.598136777477976,0.598136777477976
CD38,-0.4153525187314217,-0.5942081048403972,0.5942081048403972
NLRC5,-0.4293937415263036,-0.5928700118937885,0.5928700118937885
JADE2,-0.4265597421497658,-0.5923120313538257,0.5923120313538257
ZNF267,-0.403915164179784,-0.590703898718206,0.590703898718206
ITGA4,-0.4199045113685313,-0.5897756217204211,0.5897756217204211
TRIM22,-0.398096607170622,-0.5887434202092903,0.5887434202092903
GBP5,-0.3993204592158612,-0.5859350048380075,0.5859350048380075
SLC26A11,0.4279759643607361,0.5841141818602219,0.5841141818602219
CRLF3,-0.4365340201469578,-0.5822460271796921,0.5822460271796921
KIF1B,0.4298781359630901,0.5817998298961939,0.5817998298961939
SHTN1,0.4027339345045568,0.5813354736117358,0.5813354736117358
DSTN,0.4239523006845864,0.5805639863816618,0.5805639863816618
PTPRC,-0.390045354023572,-0.5793281745319688,0.5793281745319688
GMIP,-0.4053836981843401,-0.5784997752777361,0.5784997752777361
STAP1,-0.3943825485631445,-0.5780954219611059,0.5780954219611059
C16orf54,-0.3994705555173441,-0.5729610038674884,0.5729610038674884
B2M,-0.4194754163891785,-0.5722479630488643,0.5722479630488643
CD84,-0.3907580467250104,-0.5716424229759105,0.5716424229759105
FMNL1,-0.4057495316618089,-0.5711943819360928,0.5711943819360928
SELPLG,-0.3914070608317228,-0.5711036588922677,0.5711036588922677
FBXL2,0.3963271279634721,0.5708124438062391,0.5708124438062391
TNFAIP1,0.385173779026954,0.5705593305208015,0.5705593305208015
EVI2B,-0.3868887259577667,-0.5694149224590354,0.5694149224590354
DOK3,-0.4007068621641041,-0.5693094039150721,0.5693094039150721
HLA-DOB,-0.3861122858291193,-0.569299260755156,0.569299260755156
GPR18,-0.4094411204390891,-0.5680665970808835,0.5680665970808835
PNPLA3,0.4088501814722232,0.5679881824278596,0.5679881824278596
PTPN6,-0.4058422959499683,-0.5678842218711153,0.5678842218711153
MYO10,0.4037876811584011,0.5677652133092376,0.5677652133092376
FNBP1L,0.416491174888967,0.5672959191039274,0.5672959191039274
PSMB9,-0.4012768532774267,-0.5634333827628922,0.5634333827628922
KCNAB2,-0.390358635557086,-0.56320250123832,0.56320250123832
SCOC,0.4010511909838206,0.5625727538251177,0.5625727538251177
CD86,-0.4046466999283451,-0.5622919984936621,0.5622919984936621
PLCG2,-0.4206490936407512,-0.5604679149857781,0.5604679149857781
IRF8,-0.3950508577365781,-0.560461474102735,0.560461474102735
PSMB8,-0.4150975992698935,-0.5584788994703973,0.5584788994703973
FARP1,0.4043813598246384,0.5573173561466088,0.5573173561466088
INTS6L,-0.381962980289642,-0.556944214400801,0.556944214400801
IL2RG,-0.3780622109602038,-0.5554719311513598,0.5554719311513598
EVI2A,-0.3886253274680546,-0.5551955972566152,0.5551955972566152
C1QTNF7,-0.3824776740708655,-0.5545075317951207,0.5545075317951207
SYK,-0.3896251957100247,-0.5541723350821411,0.5541723350821411
MAGED2,0.4146063222727845,0.5541297557061058,0.5541297557061058
VAV1,-0.4010027179136477,-0.5530679992180175,0.5530679992180175
SMARCA1,0.4249081350839354,0.5514090750951105,0.5514090750951105
ARHGAP45,-0.3738447641063152,-0.5513673436194143,0.5513673436194143
PRKCB,-0.3970350512549636,-0.5506180812424908,0.5506180812424908
FERMT3,-0.3795111232296708,-0.5504645146896122,0.5504645146896122
GNA15,-0.3778329045088933,-0.5498097700082771,0.5498097700082771
SNX24,0.3762078977625984,0.5488300167194791,0.5488300167194791
PLEK,-0.3936261981721145,-0.5485192234251861,0.5485192234251861
C11orf21,-0.3912933656165789,-0.5481280594556364,0.5481280594556364
SCARB2,0.3912087924842664,0.5478122521081839,0.5478122521081839
FAM177A1,0.3803539902491577,0.5473451151236378,0.5473451151236378
RABEP2,-0.3874085203652031,-0.5472659284006656,0.5472659284006656
PHF11,-0.3777688261736891,-0.5443193094158202,0.5443193094158202
ACY3,-0.3869384971748024,-0.5440841571014609,0.5440841571014609
PARP10,-0.4140698215597593,-0.5438118179429133,0.5438118179429133
PTPN22,-0.4023238820913217,-0.5433000580301159,0.5433000580301159
TTC8,0.3842811471111886,0.5432785087311843,0.5432785087311843
TSPAN32,-0.4126511519465845,-0.5413985449184822,0.5413985449184822
SLC39A8,-0.3863100657200666,-0.5412686851935704,0.5412686851935704
SLC17A9,-0.3878386317397133,-0.5412335308115579,0.5412335308115579
FCGR2B,-0.3850543762596086,-0.5408977680290732,0.5408977680290732
SAMSN1,-0.3836872476741977,-0.540552554336918,0.540552554336918
CDC42SE2,-0.3660283592315068,-0.5400937421512398,0.5400937421512398
RGL4,-0.3561849968609527,-0.5397958239812329,0.5397958239812329
INTU,0.3907334715419512,0.5389709011199307,0.5389709011199307
G6PC1,-0.3515302711985857,-0.5386325820576882,0.5386325820576882
URAD,-0.3803183624298905,-0.5383796525864227,0.5383796525864227
CD93,-0.3686991661423109,-0.5379657121258231,0.5379657121258231
RAC2,-0.3710804052947809,-0.5378129571975311,0.5378129571975311
FZD4,0.3824746870292417,0.5376248668061823,0.5376248668061823
ADAMDEC1,-0.3732345122890823,-0.5375223238518733,0.5375223238518733
SP140L,-0.3975088122876311,-0.5374901715998937,0.5374901715998937
RTL8C,0.3774829391845795,0.5362650521862617,0.5362650521862617
ATP2A3,-0.3782070918128335,-0.535100475474026,0.535100475474026
CNTRL,-0.3799543538838348,-0.5347073358699004,0.5347073358699004
TESPA1,-0.3719832076391416,-0.5330376424233578,0.5330376424233578
LAT2,-0.3606272832732093,-0.529746036485307,0.529746036485307
RTL8A,0.3658225757375692,0.5280975004793936,0.5280975004793936
IL21R,-0.343096864632967,-0.5280910563181127,0.5280910563181127
FGR,-0.3532658396762524,-0.5278628803613926,0.5278628803613926
B4GAT1,0.3674999435631623,0.5276662487831808,0.5276662487831808
DNAJC5B,-0.3793766827900953,-0.5273066320368285,0.5273066320368285
DENND1C,-0.3448710433530806,-0.5269585928848342,0.5269585928848342
RNF11,0.4108939600166188,0.5267239590565853,0.5267239590565853
PTPN7,-0.3844216358456531,-0.5264875740462495,0.5264875740462495
LSP1,-0.3748229142118502,-0.5261700950999333,0.5261700950999333
GSTM3,0.3871862226738711,0.5257784496589283,0.5257784496589283
PARVA,0.3697893343660974,0.5255408661003528,0.5255408661003528
SIGLEC10,-0.3691572238086165,-0.5254907634126084,0.5254907634126084
TAF8,-0.3752046805351439,-0.5251558595739105,0.5251558595739105
LAMB1,0.3810753495529679,0.5248831508591977,0.5248831508591977
KBTBD8,-0.3876289032777942,-0.5243929784095497,0.5243929784095497
CALU,0.3886540453314326,0.5241489080594255,0.5241489080594255
MIPOL1,0.3806978374604668,0.5233551038144602,0.5233551038144602
TRAM1L1,0.3653255404824902,0.5232377135125721,0.5232377135125721
APBB1IP,-0.360772143276054,-0.5228091098806518,0.5228091098806518
PAK4,0.3909647112456822,0.5225771397423451,0.5225771397423451
LGALS9,-0.3798461215883062,-0.5221003602105502,0.5221003602105502
CSF2RB,-0.3598598386854661,-0.5219736246347848,0.5219736246347848
ANKRD50,0.367438427212182,0.5216435926319014,0.5216435926319014
NCKAP1,0.364997074534009,0.5209134546326724,0.5209134546326724
ALDH7A1,0.3826201787549514,0.5202573698112969,0.5202573698112969
RBM15,-0.3456596630863258,-0.5195860066084311,0.5195860066084311
LRP6,0.3747193398701105,0.5184840324789409,0.5184840324789409
ETNK2,0.3658345987566189,0.5182514900288615,0.5182514900288615
WSB2,0.357895729569389,0.5181547764851332,0.5181547764851332
MANBAL,0.3484372337331365,0.5180270015039031,0.5180270015039031
CBFA2T3,-0.3771766742170186,-0.5178421875048971,0.5178421875048971
STK4,-0.3868812556591958,-0.5177488470434931,0.5177488470434931
STK26,-0.362878392338076,-0.5177014946563214,0.5177014946563214
PIP4K2C,0.3500880246537745,0.5170450165947631,0.5170450165947631
IKBKB,-0.3888685555120448,-0.5170267382374257,0.5170267382374257
GCSAM,-0.3462529655262019,-0.5167277376739295,0.5167277376739295
PNRC2,-0.3614001943134592,-0.5166103056972927,0.5166103056972927
AGAP2,-0.3686839132269783,-0.5160229244843393,0.5160229244843393
FN1,0.3881284416560335,0.5146100995936989,0.5146100995936989
PLCB2,-0.3641872926951119,-0.514403615049874,0.514403615049874
NACAD,0.3512948000749665,0.5139990497319684,0.5139990497319684
NADSYN1,-0.3882164526484262,-0.5135704041207445,0.5135704041207445
GSTA4,0.3548642141871978,0.5134560369864085,0.5134560369864085
TEC,-0.3786751395740175,-0.5134421935509331,0.5134421935509331
NCKAP1L,-0.3520724842260554,-0.5132786900322515,0.5132786900322515
AKAP13,-0.3595420312371917,-0.5130499872701805,0.5130499872701805
EAF2,-0.3575376697049384,-0.5129673062342569,0.5129673062342569
ZC3H12D,-0.3534193090076689,-0.512823847474122,0.512823847474122
NFIB,0.3585058713990552,0.5126370799670149,0.5126370799670149
ARL5A,-0.3853855924586371,-0.5124653321360805,0.5124653321360805
MANSC1,0.3618035820462273,0.5124341995391902,0.5124341995391902
ACAP1,-0.371655765673772,-0.5123081073479987,0.5123081073479987
SP110,-0.3621954846997628,-0.5120639820043708,0.5120639820043708
PLEKHA2,-0.3783120433241009,-0.5113407432564316,0.5113407432564316
BTN3A1,-0.3778586330693461,-0.5105945896842821,0.5105945896842821
LIMCH1,0.342259461599772,0.510509696943654,0.510509696943654
BLVRA,0.3401752352776039,0.5104870040082007,0.5104870040082007
GNG12,0.3847418435514456,0.5103413241792548,0.5103413241792548
PNOC,-0.3511684706946658,-0.5100039442688007,0.5100039442688007
CORO1A,-0.3527182248126301,-0.5097242254569073,0.5097242254569073
ARHGEF26,0.368936542958461,0.5096918615926831,0.5096918615926831
DEF6,-0.3606409145847866,-0.5091897094670057,0.5091897094670057
LIFR,0.3728921266311742,0.5090418868065738,0.5090418868065738
FAM241B,0.3483036585890913,0.5077113891262219,0.5077113891262219
CRIP2,0.3754679983900262,0.507556139623607,0.507556139623607
OCRL,0.3674106524599434,0.5075080108369507,0.5075080108369507
MBNL1,-0.3679696370039194,-0.5071411050379941,0.5071411050379941
TASL,-0.3616237754708322,-0.5070677166252194,0.5070677166252194
IL13RA1,0.3602165906415342,0.5061704242809012,0.5061704242809012
TMEM17,0.3595699277281072,0.5057828671707991,0.5057828671707991
KLHL6,-0.3406791900874015,-0.504319308919836,0.504319308919836
CD79B,-0.3679822841105364,-0.5041486458875827,0.5041486458875827
ELMO1,-0.3412827492223851,-0.5035482889485405,0.5035482889485405
KLF13,-0.3518944730716997,-0.5029837973120006,0.5029837973120006
CD52,-0.3491230612405163,-0.502879901249614,0.502879901249614
LYN,-0.3861197139099728,-0.5024831944325385,0.5024831944325385
WDR33,-0.3817719609245307,-0.50213743299702,0.50213743299702
ARHGAP30,-0.3641223356207588,-0.5020330233027293,0.5020330233027293
CDC42EP4,0.3703131037305338,0.5017771597007241,0.5017771597007241
RASAL3,-0.3402855366620958,-0.5016619056099024,0.5016619056099024
MAGI1,0.3633048619597696,0.5015938186264725,0.5015938186264725
ERAP1,-0.3637211213330813,-0.5012117237306087,0.5012117237306087
MARCHF2,0.349913024449437,0.5009287255000494,0.5009287255000494
SLC6A5,-0.3701609213372148,-0.5006989296614109,0.5006989296614109
SELENOW,0.3625705662607847,0.500594524806028,0.500594524806028
ITGB7,-0.3369339791168455,-0.5005015006285516,0.5005015006285516
VPS13C,-0.3636212170821231,-0.5000661596033004,0.5000661596033004
LDOC1,0.3477417649506895,0.4998990414055297,0.4998990414055297
IKZF5,-0.3518446407833293,-0.4995084884053416,0.4995084884053416
TSEN34,0.3340219421391168,0.4990631828141269,0.4990631828141269
PSD4,-0.3701911707499503,-0.4989488844861886,0.4989488844861886
SMARCA2,-0.3801681655319147,-0.4988912373092309,0.4988912373092309
MAP4K1,-0.3334244410320579,-0.498652305103728,0.498652305103728
VHLL,-0.3694026585337715,-0.4981994602391459,0.4981994602391459
HLA-E,-0.3604165047415915,-0.4975943718392227,0.4975943718392227
SYNRG,-0.3478422930274734,-0.497379954251192,0.497379954251192
SOWAHD,-0.3534525227097127,-0.4972548131375977,0.4972548131375977
GRK2,-0.3637070411980403,-0.4971854838530999,0.4971854838530999
BIN2,-0.3585795724474439,-0.4967271305590477,0.4967271305590477
MPEG1,-0.3334865881273785,-0.4965011982759706,0.4965011982759706
CD276,0.3513698634963198,0.4964858665197134,0.4964858665197134
GIPC1,0.3757671026896521,0.4959909767303764,0.4959909767303764
CLEC4M,-0.3543924279306285,-0.4957764154281729,0.4957764154281729
DOCK11,-0.3563189981253698,-0.495742172308698,0.495742172308698
PTTG1IP,0.3518041008957553,0.4946834218646365,0.4946834218646365
IRF5,-0.3520128056602436,-0.4942500357107284,0.4942500357107284
HCLS1,-0.3344310379330881,-0.4938550305584712,0.4938550305584712
CCNDBP1,-0.3682312562716419,-0.4933935443512818,0.4933935443512818
ARID5A,-0.3632310544376125,-0.4931033665916687,0.4931033665916687
GGA3,-0.368387557119032,-0.4929629611300807,0.4929629611300807
SLC6A7,-0.3622481670326749,-0.4929183642961803,0.4929183642961803
CCDC88B,-0.3604976199906149,-0.4928477232425496,0.4928477232425496
TRIM21,-0.3373198542071902,-0.4927640870572504,0.4927640870572504
MEI1,-0.3281922155529999,-0.4925677065111734,0.4925677065111734
KDELR1,0.3424259232062097,0.4919718918802869,0.4919718918802869
RIPK3,-0.3568541650406223,-0.4919482724879593,0.4919482724879593
PABIR3,-0.3639340755165747,-0.49161090898803,0.49161090898803
TMEM154,-0.3755117898788036,-0.4909922352004948,0.4909922352004948
CCL3,-0.3674253282386726,-0.4908550143462738,0.4908550143462738
ADCY6,0.3611860248355176,0.490314017611308,0.490314017611308
E2F4,-0.3557764125675486,-0.4903112275650117,0.4903112275650117
NIBAN3,-0.3489604411477316,-0.490247979809539,0.490247979809539
ZNF430,-0.3284965072353625,-0.4898914008830238,0.4898914008830238
DDR1,0.3388887307099413,0.4895872094263341,0.4895872094263341
MORN2,0.3678216226872743,0.4894593405761914,0.4894593405761914
RAI14,0.3372899040590109,0.4891075543225338,0.4891075543225338
KDM8,-0.3589078659498552,-0.4889649010758197,0.4889649010758197
CPE,0.3573487310805534,0.4889571466050934,0.4889571466050934
GLOD5,-0.3705378501484064,-0.4888849345493775,0.4888849345493775
YAP1,0.3082175772974596,0.4888527684103681,0.4888527684103681
PLPPR2,0.3558230842812238,0.4884821132926443,0.4884821132926443
TRIM2,0.3570517833204238,0.4884649996233268,0.4884649996233268
CD53,-0.3610185786115751,-0.488032569821442,0.488032569821442
SS18L2,-0.3326032440821551,-0.4880000841322809,0.4880000841322809
MIR3667HG,-0.3359825125418068,-0.4877527603631594,0.4877527603631594
PPP1R16B,-0.3379062137023876,-0.4876909303406527,0.4876909303406527
RASSF2,-0.3194729052012421,-0.4874743254479549,0.4874743254479549
PTEN,-0.3602076776431708,-0.4870987476272959,0.4870987476272959
MORC4,0.329572333595606,0.487067411518002,0.487067411518002
RASSF5,-0.3356132136558321,-0.4866497802024986,0.4866497802024986
TMEM147,0.365288455834416,0.4861930300794336,0.4861930300794336
CD244,-0.3520821945936907,-0.4856154272067579,0.4856154272067579
KDM4C,-0.358883136552734,-0.4846224282617861,0.4846224282617861
CEPT1,-0.3576919616906995,-0.4842572943770136,0.4842572943770136
SERPINH1,0.3357918204781258,0.4839311304099177,0.4839311304099177
PSMB5,0.3303875887324317,0.4839153204736472,0.4839153204736472
DUSP2,-0.3439330740293203,-0.4837340135626264,0.4837340135626264
SEPTIN1,-0.3441564734413891,-0.4837104149820696,0.4837104149820696
CDC42BPA,0.3351663724436404,0.4836364390779724,0.4836364390779724
TAP1,-0.3606264214720536,-0.4833508140307269,0.4833508140307269
OBSL1,0.3361757512958014,0.4832771900544363,0.4832771900544363
CCDC69,-0.3218121662494333,-0.4831352769570294,0.4831352769570294
ADPGK,-0.3382728351607929,-0.4828230901166862,0.4828230901166862
