gene,n_low,n_high,mean_netith_low,mean_netith_high,delta_netith,cohens_d,mwu_p,is_tf,fdr
PTK2B,254,254,5.794235434547679,5.560896185393797,-0.23333924915388238,-1.2079165897225845,8.992008980426742e-33,False,1.5467154647232039e-28
IKZF1,254,254,5.780628239758776,5.556708613837044,-0.22391962592173176,-1.175799372783159,3.2772920667248217e-32,False,2.818635041986683e-28
SLAMF1,254,254,5.792590917071275,5.577210899132718,-0.215380017938557,-1.13444752879376,8.710101983164776e-30,False,2.8469218207623026e-26
DSTN,254,254,5.588110513708406,5.815552680199658,0.22744216649125182,1.1178718903485911,1.1826693319929794e-30,False,5.0857737949028095e-27
TAGAP,254,254,5.7953603853471485,5.570344852315311,-0.2250155330318373,-1.1080223723589067,8.746265210953524e-31,False,5.014816929787052e-27
INPP5D,254,254,5.783705038027566,5.566531808717285,-0.2171732293102817,-1.0926205234985165,1.9489981336753393e-29,False,4.190589612168689e-26
IRAG2,254,254,5.785470030096451,5.57137794521639,-0.21409208488006115,-1.0827520574345515,3.1914937999306345e-29,False,5.489688485260685e-26
PARVA,254,254,5.568778837623198,5.778017080689664,0.20923824306646566,1.0802584171926184,1.7788240834932654e-28,False,2.549796088347305e-25
TPM1,254,254,5.575450746592817,5.779710441714908,0.20425969512209097,1.0612538020026772,9.751740476221531e-28,False,1.1981406280820469e-24
ICAM2,254,254,5.7948298086787515,5.590285735677501,-0.20454407300125066,-1.0536558235576206,3.7110734874709664e-27,False,3.7549514739993e-24
IL2RG,254,254,5.77325998629541,5.561121095134108,-0.21213889116130247,-1.0531619175013718,1.391814487796806e-29,False,3.42008585779898e-26
HCLS1,254,254,5.781981134861014,5.573894416828299,-0.20808671803271483,-1.047908239286249,3.325614218913038e-28,False,4.4002992445787045e-25
CD84,254,254,5.772844788144525,5.566153558448542,-0.20669122969598241,-1.0476566936154577,9.930545273282842e-30,False,2.8469218207623026e-26
RASAL3,254,254,5.788609950488803,5.573380481273189,-0.2152294692156147,-1.0442128676754328,2.529029972863189e-29,False,4.833538284802191e-26
CXorf65,254,254,5.783958738006672,5.573672193336711,-0.21028654466996066,-1.042630018525973,1.6627718934589217e-28,False,2.549796088347305e-25
WDFY4,254,254,5.793145722421519,5.582466919308855,-0.21067880311266407,-1.0370985605882703,1.5341275533933891e-26,False,1.3194264022959845e-23
GNA11,254,254,5.568213936407234,5.7814477503395825,0.21323381393234886,1.0307815120536663,1.969965205975417e-27,False,2.117835719248947e-24
VAV1,254,254,5.785880405169423,5.577384222258867,-0.20849618291055627,-1.0171698284218662,1.263697966899717e-27,False,1.4491245819094689e-24
ITGB5,254,254,5.577179012198289,5.7796599037019085,0.2024808915036198,1.0133927723553735,1.4233268393728094e-25,False,1.0201102068354873e-22
