drug,n,rho_netith_raw,p_netith_raw,rho_netith_ctrl_ev,p_netith_ctrl_ev,rho_netith_ctrl_mad,p_netith_ctrl_mad,rho_netith_ctrl_shannon,p_netith_ctrl_shannon,fdr_netith_raw,fdr_netith_ctrl_ev,fdr_netith_ctrl_mad,fdr_netith_ctrl_shannon
123138,691,0.2194120071038655,5.596756777526674e-09,0.21999233312080899,5.0905374288044e-09,0.13833010424846218,0.0002650811237240784,0.1710362180026907,6.148298306564057e-06,9.306235106817609e-09,8.179178115944148e-09,0.0004357080539372783,9.934538506651528e-06
123829,691,0.0433662764244556,0.2549385620984566,0.04810402951239303,0.2066083598592979,0.04449248569461453,0.24279484257510284,0.04918906749581468,0.19654147812272388,0.25764109102529537,0.20806334830901127,0.25250663627810693,0.20147262631935137
150412,691,0.21169133609918064,1.9270552375906804e-08,0.2225143653966246,3.3612793442721895e-09,0.16812916872917114,8.860760881911184e-06,0.19422339932983912,2.67010208019185e-07,2.995314119298558e-08,5.43121973142286e-09,2.2229628177426306e-05,5.533689818368617e-07
5-Fluorouracil,910,0.22986043673787535,2.2398184966867175e-12,0.23690772281049535,4.4836489685217354e-13,0.14093542645780968,1.9815649008822425e-05,0.17686860421968184,7.851180014738611e-08,6.470586768206073e-12,1.2823236049972164e-12,4.393236912033499e-05,1.9029131222163074e-07
5-azacytidine,715,0.21822865122249302,3.716932606388697e-09,0.23142243888218253,3.788605180770341e-10,0.10728499236550501,0.004078582246135875,0.14667475147264827,8.269460844328437e-05,6.2901936415808715e-09,6.730068830436756e-10,0.005184331210643823,0.00011316104313291546
50869,691,0.2590902891410004,4.619785069641449e-12,0.2666463113691308,1.033112849085372e-12,0.18199134457348257,1.4676242672257239e-06,0.21977869342266873,5.271499200526055e-09,1.2583414570642423e-11,2.8140026175087275e-12,5.8297297281466245e-06,2.0373632045276372e-08
615590,691,0.22303777174594988,3.081938942717236e-09,0.23502719959963472,3.981125852446797e-10,0.15686369358087995,3.448049629478872e-05,0.1868878544340421,7.518896544743042e-07,5.246634152482914e-09,7.028407369134468e-10,6.896099258957744e-05,1.4432244374473222e-06
630600,691,0.23847282167704617,2.164643711542642e-10,0.24698349402379863,4.6129421582920836e-11,0.13954447535523876,0.0002336319005424535,0.17651170817559192,3.0378609667566823e-06,4.329287423085284e-10,9.356747923911601e-11,0.0003884809509019867,5.29773314934397e-06
667880,691,0.20717904308764282,3.885697081823988e-08,0.205047156035176,5.3828638271545616e-08,0.16504717785741282,1.2967069086060213e-05,0.17741725826144422,2.697827599081323e-06,5.84899666000874e-08,7.697495272831024e-08,3.015107120823757e-05,4.792414244330797e-06
720427,691,0.2587965618338535,4.8920365034955334e-12,0.2667672429313229,1.0082494657800762e-12,0.18939923018422697,5.298876092209786e-07,0.21857221469152996,6.416762717298538e-09,1.3199268301884175e-11,2.7726860308952097e-12,2.889828201159259e-06,2.3230305533511164e-08
729189,691,0.1966170804829552,1.888094223087911e-07,0.2072437823901096,3.847220209864536e-08,0.13272859065811868,0.00046842346360772327,0.16081679177476252,2.1627247033934448e-05,2.6732423158571416e-07,5.6138009184758025e-08,0.0007203258678066155,3.155812577400639e-05
741909,691,0.1295073375452675,0.0006435538773483415,0.14169003767609184,0.00018644116076476028,0.10696936776251878,0.004879541498443689,0.12557875299737514,0.0009389717952006081,0.0007051969690483742,0.00020992981093984818,0.0061208283708548035,0.001133105204334911
743380,691,0.17899333294295777,2.1911131138011175e-06,0.19081742098258989,4.339741968822831e-07,0.1448851041047991,0.00013244602105653942,0.1651343213229804,1.2829413304985626e-05,2.928310049285606e-06,5.88230428001578e-07,0.00023382445692697698,1.941382119167137e-05
765771,691,0.26037805570416905,3.591097818915627e-12,0.28399182539009976,2.7632377495766912e-14,0.1845446190182976,1.0378052647139246e-06,0.22315153834039708,3.024276668606873e-09,9.971397827280284e-12,1.039849995235439e-13,4.536405426045757e-06,1.2719751870905377e-08
776928,690,0.2052090006490247,5.369826931001958e-08,0.20829929690363086,3.345152500895365e-08,0.0899841529122962,0.01806893487289637,0.13359693092695282,0.0004336232239824736,7.916342795188454e-08,4.9062236679798695e-08,0.021200413187264882,0.0005511832980399442
A-366,716,0.24928656813371994,1.3248512539556176e-11,0.2576559458867025,2.543308922909355e-12,0.16130351964951437,1.4438901336894928e-05,0.19225419166047014,2.1739095150034006e-07,3.2385252874470654e-11,6.673269283963996e-12,3.330262727703185e-05,4.639836726052034e-07
ABT737,899,0.22570137734495063,7.573466507794848e-12,0.2256071210030447,7.730350388945024e-12,0.17724965378507673,8.817159882350079e-08,0.1886416400966842,1.2017265187183556e-08,1.9691012920266605e-11,1.8578825304523336e-11,6.636072964084532e-07,3.909818533561514e-08
AGI-5198,900,0.21419830559461597,8.441342394505345e-11,0.2184055535871032,3.5155514772193503e-11,0.11544817545042238,0.0005199910158082286,0.15777724828466866,1.969179158807156e-06,1.7883140183915027e-10,7.447760907294327e-11,0.0007910501623465605,3.564463540625612e-06
AGI-6780,839,0.23494006185825916,5.5130542467573836e-12,0.24785499517024434,3.2776783810984607e-13,0.15830848017321292,4.070822050954908e-06,0.19404879414593787,1.4592756123832037e-08,1.473582723899637e-11,9.468848656506664e-13,1.3037353109596104e-05,4.4399236717191097e-08
AGK2,878,0.2023780072668021,1.4408216369969149e-09,0.21150100696436216,2.454593412507301e-10,0.15092990853783428,7.0691210174578e-06,0.16365018528865857,1.08740398251132e-06,2.559471976280234e-09,4.4431247846651145e-10,1.8689440089596926e-05,2.0460364407778782e-06
AMG-319,892,0.25925880274852603,3.6277886703946726e-15,0.258554423594923,4.328533491535642e-15,0.1618396658896009,1.1806912462422612e-06,0.2000301533793216,1.672293642951131e-09,1.9952837687170698e-14,2.0632676309653225e-14,4.984603910330574e-06,7.591682252127356e-09
AT13148,897,0.13488789522184988,5.061067020187379e-05,0.13803937480646591,3.348317413865832e-05,0.06726299990316646,0.04400993849069385,0.10109869160325487,0.002433826975225319,6.056339614115441e-05,4.040585571162987e-05,0.04899278530571071,0.002852079117276197
AZ6102,898,0.16067349448510723,1.3009033060388056e-06,0.16796478603088766,4.1414729207575366e-07,0.08880830686139683,0.007748344886290643,0.11671245787684943,0.00045730546888574336,1.7717064072718971e-06,5.640291692079312e-07,0.009470199305466342,0.0005761645995652978
AZ960,838,0.20128490291985193,4.14222937397144e-09,0.20260719167045974,3.2618533843021056e-09,0.11615575127957616,0.0007547048964188461,0.15241835539885482,9.354831852228944e-06,6.9279391868762085e-09,5.300511749490921e-09,0.001112606187504072,1.4620119725341409e-05
AZD1208,690,0.268136869962285,7.941049128860807e-13,0.26771664314975774,8.645234757789177e-13,0.1707593880958445,6.466954041961745e-06,0.20844877257442895,3.268839043277582e-08,2.495758297641968e-12,2.4005214958521404e-12,1.7943895967923427e-05,9.076582197838722e-08
AZD1332,691,0.07956554836189562,0.03652275344121442,0.08457775244781848,0.026199306469040905,0.0648155348139236,0.08866094628171699,0.06733316627198727,0.07693026506952576,0.038122290088274904,0.027446892491376187,0.09604935847186007,0.08059361102521746
AZD2014,691,0.11056079875205903,0.003614725404965994,0.11132272214946125,0.003388081044949244,0.06355973782764725,0.09502813749673548,0.08466576880285755,0.026043222924691984,0.0038719530555066453,0.003602197690912579,0.10217311024085093,0.028428861665885145
AZD3759,908,0.16699156376789076,4.1792521152932585e-07,0.16852585840936724,3.259732910269103e-07,0.13812814675189383,2.9599960776275605e-05,0.15141091357070277,4.591625503784401e-06,5.753298935484932e-07,4.4606871403682467e-07,6.003963675187817e-05,7.547154563691601e-06
AZD4547,901,0.22442223594872407,9.481767444099486e-12,0.24478420544471813,9.260285454606947e-14,0.14937944453604557,6.702128467999083e-06,0.1792695641616894,6.042135557742491e-08,2.421237043761119e-11,3.0795833023460316e-13,1.8083101338186204e-05,1.5158340083459232e-07
AZD5153,691,0.23471408687214246,4.205794791733824e-10,0.23429491807386754,4.5259811923589177e-10,0.14973087726482992,7.778431268989337e-05,0.18915085675920146,5.486613277598231e-07,7.810761756077102e-10,7.892869640333234e-10,0.00014540074136803596,1.0674635356415607e-06
AZD5363,900,0.1238839060295136,0.00019476411109212182,0.12879966518477184,0.00010672553861759378,0.06794354067103787,0.04156707297154849,0.0876865609299106,0.008488084252651474,0.00022370496294115197,0.00012160758583518654,0.046803869566389246,0.009445883643028488
AZD5438,691,0.25400985419472494,1.2313174424506695e-11,0.2614848068131933,2.888884586252065e-12,0.14473493074531305,0.000134613345049805,0.19891929009354103,1.347420582946226e-07,3.0358343839732024e-11,7.511099924255369e-12,0.0002361927403941364,3.1077603767953277e-07
AZD5582,828,0.13269146768918366,0.00012847046861504474,0.13808641062012025,6.704250828663449e-05,0.04185602999008968,0.22893199093475658,0.07589723647240927,0.028977437038338542,0.00014875527944899916,7.826186681623454e-05,0.23895820951584082,0.031511585524581075
AZD5991,688,0.23670249888607742,3.238379589323867e-10,0.24355877877829774,9.505191116354318e-11,0.15767851907773844,3.2619481452549236e-05,0.19492115432886586,2.5643084480034885e-07,6.133619619514079e-10,1.8493092920253981e-10,6.569839222133156e-05,5.353227854956188e-07
AZD6482,232,0.14829066153618464,0.023883376889732424,0.14861644201587962,0.023572962819126218,0.06270553480853908,0.3416655292995361,0.11040114244198895,0.09341947490259248,0.025112668347292182,0.024786277081875363,0.3527665753778604,0.09715625389869617
AZD6738,900,0.2157212877864511,6.160349927395009e-11,0.21945719274550546,2.8163252348583797e-11,0.1287488667681483,0.00010740293073488555,0.15801540495729008,1.8994960847306595e-06,1.3347424842689186e-10,6.102038008859823e-11,0.00019441289993783083,3.4602285365157237e-06
AZD7762,903,0.21996692538909898,2.3432615216938886e-11,0.22728930173626719,4.804882188195894e-12,0.12800924297694186,0.00011468238221176954,0.16019751936506865,1.3079478061473825e-06,5.404619316164937e-11,1.1745267571145518e-11,0.00020628403341236534,2.429045925702282e-06
AZD8055,719,0.06231021497669698,0.09501585416522874,0.07170771330758315,0.05461678965234265,0.006303180807967323,0.8660151560556075,0.024468014355024714,0.5124380378965898,0.09739976448478646,0.056188495829388486,0.8690538057259781,0.5160467564733263
AZD8186,900,0.08887927022132128,0.007631470386217381,0.0883124053239572,0.008028449906436572,0.06714597590038178,0.0440249853970897,0.07161816249155864,0.03168849938134886,0.008053876496155611,0.008472829052549296,0.04899278530571071,0.03432920766312793
Acetalax,691,0.05671355659178851,0.13640256242470533,0.06267419145884927,0.09973397453734367,0.058268063629278034,0.12596408345968618,0.05371667244349768,0.15839042580210674,0.1393254744766633,0.10187113113457245,0.13392463891996376,0.1629484236669156
