k,combo,tfs,n_tfs,delta_netith_pred,abs_delta
4,JUN+FOS+STAT1+ZBTB20,"FOS,JUN,STAT1,ZBTB20",4,-1.4489240314680958,1.4489240314680958
4,JUN+FOS+STAT1+AEBP1,"AEBP1,FOS,JUN,STAT1",4,-1.4205639539926358,1.4205639539926358
4,JUN+ATF4+FOS+STAT1,"ATF4,FOS,JUN,STAT1",4,-1.4138782688007805,1.4138782688007805
4,JUN+FOS+STAT1+HOXC13,"FOS,HOXC13,JUN,STAT1",4,-1.3987172857681056,1.3987172857681056
4,JUN+FOS+ZBTB20+AEBP1,"AEBP1,FOS,JUN,ZBTB20",4,-1.3960939826400187,1.3960939826400187
4,JUN+FOS+STAT1+NFIA,"FOS,JUN,NFIA,STAT1",4,-1.3936178427325456,1.3936178427325456
4,JUN+FOS+STAT1+ZNF165,"FOS,JUN,STAT1,ZNF165",4,-1.3927935914947978,1.3927935914947978
4,JUN+FOS+STAT1+HES1,"FOS,HES1,JUN,STAT1",4,-1.3916627077375614,1.3916627077375614
4,JUN+ATF4+FOS+ZBTB20,"ATF4,FOS,JUN,ZBTB20",4,-1.3894082974481634,1.3894082974481634
4,JUN+FOS+STAT1+DNMT3B,"DNMT3B,FOS,JUN,STAT1",4,-1.3868894943099663,1.3868894943099663
4,JUN+FOS+STAT1+SFPQ,"FOS,JUN,SFPQ,STAT1",4,-1.381464486001193,1.381464486001193
4,JUN+FOS+STAT1+SMAD7,"FOS,JUN,SMAD7,STAT1",4,-1.3775475069872982,1.3775475069872982
4,JUN+FOS+STAT1+NPM1,"FOS,JUN,NPM1,STAT1",4,-1.375301139478053,1.375301139478053
4,JUN+FOS+STAT1+PAX3,"FOS,JUN,PAX3,STAT1",4,-1.3746308247696888,1.3746308247696888
4,JUN+FOS+ZBTB20+HOXC13,"FOS,HOXC13,JUN,ZBTB20",4,-1.3742473144154885,1.3742473144154885
4,JUN+FOS+STAT1+HEYL,"FOS,HEYL,JUN,STAT1",4,-1.3693425211687307,1.3693425211687307
4,JUN+FOS+ZBTB20+NFIA,"FOS,JUN,NFIA,ZBTB20",4,-1.3691478713799285,1.3691478713799285
4,JUN+FOS+ZBTB20+ZNF165,"FOS,JUN,ZBTB20,ZNF165",4,-1.3683236201421807,1.3683236201421807
4,JUN+FOS+STAT1+ZNF202,"FOS,JUN,STAT1,ZNF202",4,-1.367618070119596,1.367618070119596
4,JUN+FOS+ZBTB20+HES1,"FOS,HES1,JUN,ZBTB20",4,-1.3671927363849443,1.3671927363849443
4,JUN+FOS+ZBTB20+DNMT3B,"DNMT3B,FOS,JUN,ZBTB20",4,-1.3624195229573492,1.3624195229573492
4,JUN+ATF4+FOS+AEBP1,"AEBP1,ATF4,FOS,JUN",4,-1.3610482199727034,1.3610482199727034
4,JUN+FOS+STAT1+SRF,"FOS,JUN,SRF,STAT1",4,-1.3585504659476755,1.3585504659476755
4,JUN+FOS+ZBTB20+SFPQ,"FOS,JUN,SFPQ,ZBTB20",4,-1.356994514648576,1.356994514648576
4,JUN+FOS+STAT1+FOXP3,"FOS,FOXP3,JUN,STAT1",4,-1.3553714310476426,1.3553714310476426
4,JUN+FOS+SMAD7+ZBTB20,"FOS,JUN,SMAD7,ZBTB20",4,-1.3530775356346811,1.3530775356346811
4,JUN+FOS+STAT1+RARG,"FOS,JUN,RARG,STAT1",4,-1.3528831226888016,1.3528831226888016
4,JUN+FOS+ZBTB20+NPM1,"FOS,JUN,NPM1,ZBTB20",4,-1.350831168125436,1.350831168125436
4,JUN+FOS+PAX3+ZBTB20,"FOS,JUN,PAX3,ZBTB20",4,-1.3501608534170717,1.3501608534170717
4,JUN+FOS+HOXC13+AEBP1,"AEBP1,FOS,HOXC13,JUN",4,-1.3458872369400285,1.3458872369400285
4,JUN+FOS+HEYL+ZBTB20,"FOS,HEYL,JUN,ZBTB20",4,-1.3448725498161136,1.3448725498161136
3,JUN+FOS+STAT1,"FOS,JUN,STAT1",3,-1.343628384479598,1.343628384479598
4,JUN+FOS+ZBTB20+ZNF202,"FOS,JUN,ZBTB20,ZNF202",4,-1.3431480987669788,1.3431480987669788
4,JUN+FOS+NFIA+AEBP1,"AEBP1,FOS,JUN,NFIA",4,-1.3407877939044686,1.3407877939044686
4,JUN+FOS+AEBP1+ZNF165,"AEBP1,FOS,JUN,ZNF165",4,-1.3399635426667207,1.3399635426667207
4,JUN+ATF4+FOS+HOXC13,"ATF4,FOS,HOXC13,JUN",4,-1.3392015517481732,1.3392015517481732
4,JUN+FOS+HES1+AEBP1,"AEBP1,FOS,HES1,JUN",4,-1.3388326589094843,1.3388326589094843
4,JUN+ATF4+FOS+NFIA,"ATF4,FOS,JUN,NFIA",4,-1.3341021087126133,1.3341021087126133
4,JUN+FOS+ZBTB20+SRF,"FOS,JUN,SRF,ZBTB20",4,-1.3340804945950584,1.3340804945950584
4,JUN+FOS+DNMT3B+AEBP1,"AEBP1,DNMT3B,FOS,JUN",4,-1.3340594454818893,1.3340594454818893
4,JUN+ATF4+FOS+ZNF165,"ATF4,FOS,JUN,ZNF165",4,-1.3332778574748654,1.3332778574748654
4,JUN+ATF4+FOS+HES1,"ATF4,FOS,HES1,JUN",4,-1.332146973717629,1.332146973717629
4,JUN+FOS+FOXP3+ZBTB20,"FOS,FOXP3,JUN,ZBTB20",4,-1.3309014596950255,1.3309014596950255
4,JUN+FOS+SFPQ+AEBP1,"AEBP1,FOS,JUN,SFPQ",4,-1.328634437173116,1.328634437173116
4,JUN+FOS+ZBTB20+RARG,"FOS,JUN,RARG,ZBTB20",4,-1.3284131513361845,1.3284131513361845
4,JUN+ATF4+FOS+DNMT3B,"ATF4,DNMT3B,FOS,JUN",4,-1.327373760290034,1.327373760290034
4,JUN+FOS+SMAD7+AEBP1,"AEBP1,FOS,JUN,SMAD7",4,-1.3247174581592212,1.3247174581592212
4,JUN+FOS+NPM1+AEBP1,"AEBP1,FOS,JUN,NPM1",4,-1.322471090649976,1.322471090649976
4,JUN+ATF4+FOS+SFPQ,"ATF4,FOS,JUN,SFPQ",4,-1.3219487519812607,1.3219487519812607
4,JUN+FOS+PAX3+AEBP1,"AEBP1,FOS,JUN,PAX3",4,-1.3218007759416117,1.3218007759416117
3,JUN+FOS+ZBTB20,"FOS,JUN,ZBTB20",3,-1.319158413126981,1.319158413126981
4,JUN+FOS+NFIA+HOXC13,"FOS,HOXC13,JUN,NFIA",4,-1.3189411256799384,1.3189411256799384
4,JUN+FOS+HOXC13+ZNF165,"FOS,HOXC13,JUN,ZNF165",4,-1.3181168744421905,1.3181168744421905
4,JUN+ATF4+FOS+SMAD7,"ATF4,FOS,JUN,SMAD7",4,-1.3180317729673658,1.3180317729673658
4,JUN+FOS+HES1+HOXC13,"FOS,HES1,HOXC13,JUN",4,-1.3169859906849541,1.3169859906849541
4,JUN+FOS+HEYL+AEBP1,"AEBP1,FOS,HEYL,JUN",4,-1.3165124723406536,1.3165124723406536
4,JUN+ATF4+FOS+NPM1,"ATF4,FOS,JUN,NPM1",4,-1.3157854054581206,1.3157854054581206
4,JUN+ATF4+FOS+PAX3,"ATF4,FOS,JUN,PAX3",4,-1.3151150907497564,1.3151150907497564
4,JUN+FOS+ZNF202+AEBP1,"AEBP1,FOS,JUN,ZNF202",4,-1.3147880212915188,1.3147880212915188
4,JUN+FOS+NFIA+ZNF165,"FOS,JUN,NFIA,ZNF165",4,-1.3130174314066305,1.3130174314066305
4,JUN+FOS+DNMT3B+HOXC13,"DNMT3B,FOS,HOXC13,JUN",4,-1.312212777257359,1.312212777257359
4,JUN+FOS+HES1+NFIA,"FOS,HES1,JUN,NFIA",4,-1.3118865476493942,1.3118865476493942
4,JUN+FOS+HES1+ZNF165,"FOS,HES1,JUN,ZNF165",4,-1.3110622964116463,1.3110622964116463
4,JUN+ATF4+FOS+HEYL,"ATF4,FOS,HEYL,JUN",4,-1.3098267871487983,1.3098267871487983
4,JUN+ATF4+FOS+ZNF202,"ATF4,FOS,JUN,ZNF202",4,-1.3081023360996635,1.3081023360996635
4,JUN+FOS+DNMT3B+NFIA,"DNMT3B,FOS,JUN,NFIA",4,-1.307113334221799,1.307113334221799
4,JUN+FOS+SFPQ+HOXC13,"FOS,HOXC13,JUN,SFPQ",4,-1.3067877689485858,1.3067877689485858
4,JUN+FOS+DNMT3B+ZNF165,"DNMT3B,FOS,JUN,ZNF165",4,-1.3062890829840512,1.3062890829840512
4,JUN+FOS+SRF+AEBP1,"AEBP1,FOS,JUN,SRF",4,-1.3057204171195984,1.3057204171195984
4,JUN+FOS+DNMT3B+HES1,"DNMT3B,FOS,HES1,JUN",4,-1.3051581992268149,1.3051581992268149
4,JUN+FOS+SMAD7+HOXC13,"FOS,HOXC13,JUN,SMAD7",4,-1.302870789934691,1.302870789934691
4,JUN+FOS+FOXP3+AEBP1,"AEBP1,FOS,FOXP3,JUN",4,-1.3025413822195655,1.3025413822195655
4,JUN+FOS+SFPQ+NFIA,"FOS,JUN,NFIA,SFPQ",4,-1.3016883259130259,1.3016883259130259
4,JUN+FOS+SFPQ+ZNF165,"FOS,JUN,SFPQ,ZNF165",4,-1.300864074675278,1.300864074675278
4,JUN+FOS+NPM1+HOXC13,"FOS,HOXC13,JUN,NPM1",4,-1.3006244224254457,1.3006244224254457
4,JUN+FOS+RARG+AEBP1,"AEBP1,FOS,JUN,RARG",4,-1.3000530738607246,1.3000530738607246
4,JUN+FOS+PAX3+HOXC13,"FOS,HOXC13,JUN,PAX3",4,-1.2999541077170815,1.2999541077170815
4,JUN+FOS+SFPQ+HES1,"FOS,HES1,JUN,SFPQ",4,-1.2997331909180416,1.2997331909180416
4,JUN+ATF4+FOS+SRF,"ATF4,FOS,JUN,SRF",4,-1.299034731927743,1.299034731927743
4,JUN+FOS+SMAD7+NFIA,"FOS,JUN,NFIA,SMAD7",4,-1.297771346899131,1.297771346899131
4,JUN+FOS+SMAD7+ZNF165,"FOS,JUN,SMAD7,ZNF165",4,-1.296947095661383,1.296947095661383
4,JUN+ATF4+FOS+FOXP3,"ATF4,FOS,FOXP3,JUN",4,-1.2958556970277102,1.2958556970277102
4,JUN+FOS+SMAD7+HES1,"FOS,HES1,JUN,SMAD7",4,-1.2958162119041468,1.2958162119041468
4,JUN+FOS+NFIA+NPM1,"FOS,JUN,NFIA,NPM1",4,-1.2955249793898858,1.2955249793898858
4,JUN+FOS+SFPQ+DNMT3B,"DNMT3B,FOS,JUN,SFPQ",4,-1.2949599774904466,1.2949599774904466
4,JUN+FOS+PAX3+NFIA,"FOS,JUN,NFIA,PAX3",4,-1.2948546646815215,1.2948546646815215
4,JUN+FOS+NPM1+ZNF165,"FOS,JUN,NPM1,ZNF165",4,-1.2947007281521379,1.2947007281521379
4,JUN+FOS+HEYL+HOXC13,"FOS,HEYL,HOXC13,JUN",4,-1.2946658041161234,1.2946658041161234
4,JUN+FOS+PAX3+ZNF165,"FOS,JUN,PAX3,ZNF165",4,-1.2940304134437737,1.2940304134437737
4,JUN+FOS+HES1+NPM1,"FOS,HES1,JUN,NPM1",4,-1.2935698443949015,1.2935698443949015
4,JUN+ATF4+FOS+RARG,"ATF4,FOS,JUN,RARG",4,-1.2933673886688692,1.2933673886688692
4,JUN+FOS+ZNF202+HOXC13,"FOS,HOXC13,JUN,ZNF202",4,-1.2929413530669887,1.2929413530669887
4,JUN+FOS+PAX3+HES1,"FOS,HES1,JUN,PAX3",4,-1.2928995296865373,1.2928995296865373
4,JUN+FOS+SMAD7+DNMT3B,"DNMT3B,FOS,JUN,SMAD7",4,-1.2910429984765517,1.2910429984765517
3,JUN+FOS+AEBP1,"AEBP1,FOS,JUN",3,-1.290798335651521,1.290798335651521
4,JUN+FOS+HEYL+NFIA,"FOS,HEYL,JUN,NFIA",4,-1.2895663610805634,1.2895663610805634
4,JUN+FOS+DNMT3B+NPM1,"DNMT3B,FOS,JUN,NPM1",4,-1.2887966309673065,1.2887966309673065
4,JUN+FOS+HEYL+ZNF165,"FOS,HEYL,JUN,ZNF165",4,-1.2887421098428156,1.2887421098428156
4,JUN+FOS+PAX3+DNMT3B,"DNMT3B,FOS,JUN,PAX3",4,-1.2881263162589422,1.2881263162589422
4,JUN+FOS+NFIA+ZNF202,"FOS,JUN,NFIA,ZNF202",4,-1.2878419100314287,1.2878419100314287
4,JUN+FOS+HEYL+HES1,"FOS,HES1,HEYL,JUN",4,-1.2876112260855792,1.2876112260855792
4,JUN+FOS+ZNF202+ZNF165,"FOS,JUN,ZNF165,ZNF202",4,-1.2870176587936808,1.2870176587936808
4,JUN+FOS+HES1+ZNF202,"FOS,HES1,JUN,ZNF202",4,-1.2858867750364444,1.2858867750364444
4,JUN+FOS+SMAD7+SFPQ,"FOS,JUN,SFPQ,SMAD7",4,-1.2856179901677784,1.2856179901677784
3,JUN+ATF4+FOS,"ATF4,FOS,JUN",3,-1.2841126504596656,1.2841126504596656
4,JUN+FOS+SRF+HOXC13,"FOS,HOXC13,JUN,SRF",4,-1.2838737488950682,1.2838737488950682
4,JUN+FOS+SFPQ+NPM1,"FOS,JUN,NPM1,SFPQ",4,-1.2833716226585332,1.2833716226585332
4,JUN+FOS+HEYL+DNMT3B,"DNMT3B,FOS,HEYL,JUN",4,-1.2828380126579841,1.2828380126579841
4,JUN+FOS+PAX3+SFPQ,"FOS,JUN,PAX3,SFPQ",4,-1.282701307950169,1.282701307950169
4,JUN+FOS+DNMT3B+ZNF202,"DNMT3B,FOS,JUN,ZNF202",4,-1.2811135616088494,1.2811135616088494
4,JUN+FOS+FOXP3+HOXC13,"FOS,FOXP3,HOXC13,JUN",4,-1.2806947139950353,1.2806947139950353
4,JUN+FOS+SMAD7+NPM1,"FOS,JUN,NPM1,SMAD7",4,-1.2794546436446383,1.2794546436446383
4,JUN+FOS+PAX3+SMAD7,"FOS,JUN,PAX3,SMAD7",4,-1.2787843289362741,1.2787843289362741
4,JUN+FOS+NFIA+SRF,"FOS,JUN,NFIA,SRF",4,-1.2787743058595082,1.2787743058595082
4,JUN+FOS+RARG+HOXC13,"FOS,HOXC13,JUN,RARG",4,-1.2782064056361944,1.2782064056361944
4,JUN+FOS+SRF+ZNF165,"FOS,JUN,SRF,ZNF165",4,-1.2779500546217604,1.2779500546217604
4,JUN+FOS+HEYL+SFPQ,"FOS,HEYL,JUN,SFPQ",4,-1.277413004349211,1.277413004349211
4,JUN+FOS+HES1+SRF,"FOS,HES1,JUN,SRF",4,-1.276819170864524,1.276819170864524
4,JUN+FOS+PAX3+NPM1,"FOS,JUN,NPM1,PAX3",4,-1.276537961427029,1.276537961427029
4,JUN+FOS+SFPQ+ZNF202,"FOS,JUN,SFPQ,ZNF202",4,-1.2756885533000761,1.2756885533000761
4,JUN+FOS+FOXP3+NFIA,"FOS,FOXP3,JUN,NFIA",4,-1.2755952709594753,1.2755952709594753
4,JUN+FOS+FOXP3+ZNF165,"FOS,FOXP3,JUN,ZNF165",4,-1.2747710197217275,1.2747710197217275
4,JUN+FOS+FOXP3+HES1,"FOS,FOXP3,HES1,JUN",4,-1.273640135964491,1.273640135964491
4,JUN+FOS+SMAD7+HEYL,"FOS,HEYL,JUN,SMAD7",4,-1.273496025335316,1.273496025335316
4,JUN+FOS+RARG+NFIA,"FOS,JUN,NFIA,RARG",4,-1.2731069626006344,1.2731069626006344
4,JUN+FOS+RARG+ZNF165,"FOS,JUN,RARG,ZNF165",4,-1.2722827113628865,1.2722827113628865
4,JUN+FOS+DNMT3B+SRF,"DNMT3B,FOS,JUN,SRF",4,-1.272045957436929,1.272045957436929
4,JUN+FOS+SMAD7+ZNF202,"FOS,JUN,SMAD7,ZNF202",4,-1.2717715742861813,1.2717715742861813
4,JUN+FOS+HEYL+NPM1,"FOS,HEYL,JUN,NPM1",4,-1.2712496578260708,1.2712496578260708
4,JUN+FOS+RARG+HES1,"FOS,HES1,JUN,RARG",4,-1.2711518276056502,1.2711518276056502
4,JUN+FOS+PAX3+HEYL,"FOS,HEYL,JUN,PAX3",4,-1.2705793431177066,1.2705793431177066
4,JUN+FOS+ZNF202+NPM1,"FOS,JUN,NPM1,ZNF202",4,-1.269525206776936,1.269525206776936
3,JUN+FOS+HOXC13,"FOS,HOXC13,JUN",3,-1.2689516674269907,1.2689516674269907
4,JUN+FOS+FOXP3+DNMT3B,"DNMT3B,FOS,FOXP3,JUN",4,-1.268866922536896,1.268866922536896
4,JUN+FOS+PAX3+ZNF202,"FOS,JUN,PAX3,ZNF202",4,-1.2688548920685718,1.2688548920685718
4,JUN+FOS+SFPQ+SRF,"FOS,JUN,SFPQ,SRF",4,-1.2666209491281557,1.2666209491281557
4,JUN+FOS+RARG+DNMT3B,"DNMT3B,FOS,JUN,RARG",4,-1.266378614178055,1.266378614178055
3,JUN+FOS+NFIA,"FOS,JUN,NFIA",3,-1.2638522243914307,1.2638522243914307
4,JUN+FOS+HEYL+ZNF202,"FOS,HEYL,JUN,ZNF202",4,-1.2635665884676137,1.2635665884676137
