drug,n_cells,slope_ic50_per_netith,r_squared,p_value,ic50_drop_per_1netith,delta_ic50_q4_q1,mean_ic50_low_netith,mean_ic50_high_netith,percent_ic50_increase,abs_slope
Tozasertib,233,3.7923757296200784,0.15467413604494668,4.859502855673272e-10,3.7923757296200784,2.4437297966101696,0.505921220338983,2.9496510169491525,483.0257554669864,3.7923757296200784
Gemcitabine,903,3.3058079045240345,0.06056654341514862,6.343364161556771e-14,3.3058079045240345,2.062682185840708,-1.9263739203539822,0.13630826548672564,0.0,3.3058079045240345
BI-2536,866,3.103569593487499,0.07979256229391712,2.3747215182649335e-17,3.103569593487499,1.7394486958525344,-2.21493066359447,-0.47548196774193546,0.0,3.103569593487499
Elesclomol,191,3.0928188177517275,0.11217345369836175,2.18148725995469e-06,3.0928188177517275,1.4563801875000002,-2.5372083125000002,-1.080828125,0.0,3.0928188177517275
AZD5991,688,2.9056479710125664,0.05519123540723402,4.4201889263867545e-10,2.9056479710125664,1.71818934883721,2.5755245116279073,4.293713860465117,66.71221108865305,2.9056479710125664
LMP744,691,2.6610179763216926,0.06701162534323513,4.826257263667524e-12,2.6610179763216926,1.6945311734104047,-1.1801439132947977,0.514387260115607,0.0,2.6610179763216926
Mitoxantrone,691,2.5864266957326016,0.06706137255171109,4.736722840040001e-12,2.5864266957326016,1.5994483815028901,-0.36956406358381505,1.229884317919075,0.0,2.5864266957326016
Cytarabine,718,2.5539752620193124,0.06419392535049154,5.581003505365445e-12,2.5539752620193124,1.564833222222222,0.5939571722222223,2.1587903944444444,263.4589319575987,2.5539752620193124
Venetoclax,900,2.500692060906096,0.08556483430249928,3.248489051096016e-19,2.500692060906096,1.4540342088888887,1.0953336977777777,2.5493679066666664,132.74805767765986,2.500692060906096
Alisertib,891,2.4862264926688757,0.058854989856777146,2.1151262200480876e-13,2.4862264926688757,1.3942272600896863,0.8036850762331837,2.19791233632287,173.47930194552484,2.4862264926688757
CHIR-99021,191,2.4322149805394337,0.1228134897641091,6.694871684021665e-07,2.4322149805394337,1.4508950624999994,3.7448542083333334,5.195749270833333,38.74369953498745,2.4322149805394337
BEN,691,2.3914630548916502,0.06521133503792852,9.499600139777463e-12,2.3914630548916502,1.421420317919075,3.2782772774566475,4.6996975953757225,43.35875820186391,2.3914630548916502
Oxaliplatin,909,2.3744307091855994,0.10033528194117601,1.2407921391825515e-22,2.3744307091855994,1.4188436557017532,3.379304497807018,4.798148153508771,41.98626245792601,2.3744307091855994
Schweinfurthin A,690,2.3710417766169836,0.05305626636512728,9.237359751803336e-10,2.3710417766169836,1.6071362716763007,0.1487143121387283,1.755850583815029,1080.6870223607543,2.3710417766169836
Vinorelbine,899,2.318029190864802,0.06191501054920538,3.7420624435022106e-14,2.318029190864802,1.289028031111111,-3.8253079555555556,-2.5362799244444445,0.0,2.318029190864802
Daporinad,551,2.26455813440234,0.034677006367741604,1.0836374389616473e-05,2.26455813440234,1.3341719710144937,-4.299204195652175,-2.9650322246376812,0.0,2.26455813440234
Irinotecan,907,2.2457134263109237,0.06760617726633252,1.761388725821779e-15,2.2457134263109237,1.2754956387665197,1.827095268722467,3.102590907488987,69.81002362610056,2.2457134263109237
ABT737,899,2.227483642575876,0.058971666259644284,1.5614135708181435e-13,2.227483642575876,1.2036720933333334,1.1545508444444443,2.3582229377777777,104.25457649832006,2.227483642575876
Talazoparib,898,2.1700089530755813,0.049458334203945284,1.5877416553413484e-11,2.1700089530755813,1.2489614355555556,2.154211311111111,3.403172746666667,57.977665845202495,2.1700089530755813
JQ1,892,2.165397330509969,0.060484320447487076,9.361309892061021e-14,2.165397330509969,1.2891764887892379,1.3312597399103137,2.6204362286995515,96.83883994539556,2.165397330509969
SN-38,900,2.142226834645102,0.056446590856094575,5.149824191690534e-13,2.142226834645102,1.3481086444444448,-4.126013257777778,-2.7779046133333334,0.0,2.142226834645102
AZD5153,691,2.110844405280832,0.05785130149100873,1.4995925925333496e-10,2.110844405280832,1.304024352601156,0.803013069364162,2.107037421965318,162.39142329697106,2.110844405280832
Teniposide,691,2.1102949312798223,0.05759303004129824,1.6516168686165164e-10,2.1102949312798223,1.2534328265895953,-0.228895838150289,1.0245369884393063,0.0,2.1102949312798223
VE-822,840,2.099711450979809,0.06988272189030206,6.740255163287616e-15,2.099711450979809,1.2187768857142864,2.474138595238095,3.6929154809523816,49.26065532707149,2.099711450979809
Pevonedistat,898,2.095239833353571,0.047647935145182986,3.791006360240853e-11,2.095239833353571,1.0830110355555558,0.2137710488888889,1.2967820844444446,506.6219402415287,2.095239833353571
Cisplatin,735,2.0459600214223843,0.06301976756843082,5.0155979779024905e-12,2.0459600214223843,1.237880967391304,2.5400898641304352,3.7779708315217393,48.733746977691105,2.0459600214223843
Topotecan,691,2.033113141116328,0.0559933651454087,3.0025491287051667e-10,2.033113141116328,1.2793754046242776,-0.4958459248554913,0.7835294797687862,0.0,2.033113141116328
Camptothecin,910,2.0322612112827585,0.06116129115309905,3.7914645019650206e-14,2.0322612112827585,1.18299175877193,-2.882252657894737,-1.699260899122807,0.0,2.0322612112827585
BX795,191,2.023475784449262,0.12041729950133331,8.743082033607105e-07,2.023475784449262,1.1151402708333338,2.1427296041666666,3.2578698750000004,52.04297680234018,2.023475784449262
Vinblastine,716,1.995914829630071,0.043626106832222775,1.685583257908769e-08,1.995914829630071,1.1078345083798897,-4.23435340782123,-3.12651889944134,0.0,1.995914829630071
UNC0638,707,1.9868980429641783,0.10022307289852261,6.3737170347061824e-18,1.9868980429641783,1.1697051694915253,3.441469813559322,4.611174983050847,33.98853492431956,1.9868980429641783
Niraparib,840,1.9751335540714765,0.08670514074613919,2.8966447598205542e-18,1.9751335540714765,1.11696460952381,3.51311749047619,4.6300821,31.79411484391914,1.9751335540714765
Bosutinib,892,1.9619003531096608,0.08139879522020096,3.614121485891504e-18,1.9619003531096608,1.0966016008968609,2.016644170403588,3.113245771300449,54.37754547830813,1.9619003531096608
Palbociclib,910,1.9530969640515037,0.07720283302672243,1.3541628942249134e-17,1.9530969640515037,1.143586684210527,2.7346910087719296,3.8782776929824565,41.81776590270352,1.9530969640515037
GSK269962A,233,1.928146878768236,0.10321703410048473,5.41078986339088e-07,1.928146878768236,1.5386866440677964,1.6467664406779663,3.1854530847457627,93.43684726987308,1.928146878768236
OTX015,839,1.9206051534354724,0.05222153162625299,2.1105698241086158e-11,1.9206051534354724,1.1333440809523807,1.6642194619047619,2.7975635428571426,68.10063858135787,1.9206051534354724
Lestaurtinib,890,1.9191435483451627,0.06980117621610195,1.1144295821045595e-15,1.9191435483451627,1.0947707533632287,-0.630723340807175,0.4640474125560538,0.0,1.9191435483451627
VE821,895,1.9003540690225653,0.0737720624432887,1.3368599540000636e-16,1.9003540690225653,1.086051910714286,3.3018442589285715,4.387896169642858,32.892281571957106,1.9003540690225653
Axitinib,903,1.8990792663694278,0.06473743647166746,8.274721884239658e-15,1.8990792663694278,1.0219687477876103,2.36745707079646,3.3894258185840704,43.167361317508465,1.8990792663694278
I-BET-762,839,1.8752810804502695,0.06933084893225454,8.997756152139416e-15,1.8752810804502695,1.1493807571428567,2.580307228571429,3.7296879857142855,44.54433737253855,1.8752810804502695
YK-4-279,900,1.8723901126485187,0.06551676192257616,6.265929922957055e-15,1.8723901126485187,1.0123950311111107,1.6722383866666668,2.6846334177777775,60.541310328915145,1.8723901126485187
MK-8776,894,1.857516666577368,0.06369652850831427,1.86006160377013e-14,1.857516666577368,1.1235725625000006,2.3904384999999997,3.5140110625000003,47.002780556789084,1.857516666577368
Nutlin-3a (-),910,1.8519336749822304,0.05350131820348364,1.6181292328174936e-12,1.8519336749822304,1.1305166403508782,3.8242962675438594,4.954812907894738,29.561429378402952,1.8519336749822304
BMS-754807,892,1.844614675672939,0.043026797134556906,3.984999096973614e-10,1.844614675672939,0.9900661883408064,1.6954583766816145,2.685524565022421,58.395192825587614,1.844614675672939
Piperlongumine,191,1.8426107454507945,0.10632075765389183,4.16020968143849e-06,1.8426107454507945,0.9138555416666667,1.7017212291666668,2.6155767708333335,53.701835882612926,1.8426107454507945
Docetaxel,910,1.7865164375051117,0.035290910787500025,1.1290409398356131e-08,1.7865164375051117,0.9230449013157904,-4.2131216535087725,-3.290076752192982,0.0,1.7865164375051117
Paclitaxel,900,1.7779907225470881,0.052404615870404174,3.6380473385392805e-12,1.7779907225470881,0.9512090622222225,-3.701594662222222,-2.7503855999999995,0.0,1.7779907225470881
5-Fluorouracil,910,1.7604870229789142,0.053023398320427496,2.043717221063165e-12,1.7604870229789142,1.0401272456140358,3.8311829517543856,4.871310197368421,27.14898397472086,1.7604870229789142
Fludarabine,691,1.7439506379191874,0.04110370977614953,7.628981576278636e-08,1.7439506379191874,1.1325663757225426,4.052698612716764,5.1852649884393065,27.945980788423746,1.7439506379191874
N25720-51-A1,717,1.7389640394857537,0.06496809727545493,4.269866205505093e-12,1.7389640394857537,1.1231002500000002,2.635464022222222,3.7585642722222223,42.61489591700071,1.7389640394857537
Crizotinib,908,1.7283939996339777,0.06658757768145451,2.8081825942173614e-15,1.7283939996339777,0.9420234405286343,2.0623988414096917,3.004422281938326,45.67610404031947,1.7283939996339777
SB505124,230,1.7181582450430986,0.06094533990053751,0.0001553885844426816,1.7181582450430986,0.8825320517241377,3.0270416034482763,3.909573655172414,29.154936315338215,1.7181582450430986
Temozolomide,908,1.711290238033464,0.08646464506127949,1.4404900227355654e-19,1.711290238033464,0.9662902643171805,5.7268490969162995,6.69313936123348,16.87298282117286,1.711290238033464
CDK9_5038,690,1.7089841474955842,0.040307400025826515,1.0468377306477977e-07,1.7089841474955842,1.0169284277456647,-2.785514104046243,-1.768585676300578,0.0,1.7089841474955842
RO-3306,898,1.6944861437857175,0.055117130221431554,1.03854592193669e-12,1.6944861437857175,0.941194497777778,2.9554083466666663,3.8966028444444443,31.846512812326882,1.6944861437857175
Navitoclax,909,1.6920207289576839,0.03616421171864778,7.539546419400506e-09,1.6920207289576839,0.8690029649122806,1.220271188596491,2.0892741535087715,71.21392138347332,1.6920207289576839
BMS-345541,838,1.6884522076022064,0.08538111802498395,5.861778049143019e-18,1.6884522076022064,0.8977845047619049,2.802876752380952,3.700661257142857,32.03082347446302,1.6884522076022064
KRAS (G12C) Inhibitor-12,840,1.6840898679038012,0.06073930994854225,4.347017907714512e-13,1.6840898679038012,1.0180516571428582,3.8294805571428565,4.847532214285715,26.58458874386917,1.6840898679038012
Eg5_9814,687,1.6743895347156046,0.046799927027072336,1.0169904815974873e-08,1.6743895347156046,0.9666213197674414,-3.6153952906976743,-2.648773970930233,0.0,1.6743895347156046
MK-1775,909,1.6577095055096454,0.07127891904176455,2.6699586791941866e-16,1.6577095055096454,0.8684916184210527,0.1373201271929825,1.0058117456140352,632.4576274245072,1.6577095055096454
Epirubicin,900,1.6555351802947016,0.0515785563822751,5.4212362135530105e-12,1.6555351802947016,0.9739722044444445,-1.4770162444444446,-0.50304404,0.0,1.6555351802947016
Ribociclib,901,1.6424328986675656,0.10277265534345964,5.553463498346942e-23,1.6424328986675656,0.9674409026548672,2.9727263274336284,3.9401672300884956,32.543893924136114,1.6424328986675656
Bicalutamide,191,1.6394152011936138,0.15632931863805546,1.506418444896916e-08,1.6394152011936138,0.9004366666666668,4.171883354166667,5.072320020833334,21.583457403413643,1.6394152011936138
Dactinomycin,903,1.6393650175735734,0.05936034588809291,1.1417858125003672e-13,1.6393650175735734,0.9078435840707964,-4.4074136725663715,-3.499570088495575,0.0,1.6393650175735734
Lenalidomide,892,1.6148654813839394,0.11264726816408772,6.314774105370126e-25,1.6148654813839394,0.9007454304932754,4.710852044843048,5.611597475336324,19.120647855610706,1.6148654813839394
Entinostat,843,1.610007878463152,0.049229284643974705,7.323808635983383e-11,1.610007878463152,0.9170592748815158,1.545250853080569,2.462310127962085,59.346951535622324,1.610007878463152
630600,691,1.5937488877933819,0.04510206859757237,1.7311213832556513e-08,1.5937488877933819,1.0343137052023124,1.6385455028901734,2.672859208092486,63.12389270715536,1.5937488877933819
ZM447439,886,1.5788139562539036,0.04336449046463118,3.8883343326842414e-10,1.5788139562539036,0.8562061396396397,2.090276653153153,2.946482792792793,40.9613788848507,1.5788139562539036
CPI-637,716,1.570577223022705,0.06148840262654088,1.708771304723526e-11,1.570577223022705,1.033355877094972,3.5421175586592177,4.57547343575419,29.173393033463395,1.570577223022705
AZD7762,903,1.5702395183982636,0.05375862946543008,1.7378594009023931e-12,1.5702395183982636,0.8438540044247786,-0.3376391327433628,0.5062148716814159,0.0,1.5702395183982636
UNC0379,716,1.5579810019293747,0.05944888762388152,3.769350318600337e-11,1.5579810019293747,0.9518701452513971,2.9746307821229045,3.9265009273743017,31.999606504847506,1.5579810019293747
PBD-288,716,1.5324018650334084,0.04861535046458233,2.4748050750639482e-09,1.5324018650334084,0.9166551340782123,-0.5999554636871508,0.31669967039106145,0.0,1.5324018650334084
Serdemetan,891,1.5272304086110378,0.07223281570454108,3.30056643822167e-16,1.5272304086110378,0.8962320941704038,3.2236066726457397,4.119838766816144,27.802154083358786,1.5272304086110378
I-BRD9,900,1.5091443818157473,0.07128278343535044,3.735114599036595e-16,1.5091443818157473,0.8394441288888892,3.8838997155555557,4.723343844444445,21.613434701385295,1.5091443818157473
Methotrexate,828,1.506395993364165,0.018512540420590196,8.582938264338338e-05,1.506395993364165,1.002875198067633,-0.324609115942029,0.6782660821256039,0.0,1.506395993364165
MIRA-1,908,1.5032319301576245,0.07439993023831205,5.908819923242544e-17,1.5032319301576245,0.9014075330396478,4.693421590308369,5.594829123348017,19.205765254521342,1.5032319301576245
AZ960,838,1.5009445992045414,0.03861095432856728,9.70823335072107e-09,1.5009445992045414,0.8033955285714289,1.465053795238095,2.268449323809524,54.837271585707484,1.5009445992045414
Wee1 Inhibitor,899,1.5009061737797158,0.04963573268944434,1.4204690252134843e-11,1.5009061737797158,0.7950573955555553,1.5170389244444444,2.3120963199999998,52.408503351139366,1.5009061737797158
GSK2830371,707,1.4854775886751705,0.08189537080610622,8.58856854310556e-15,1.4854775886751705,0.8537999209039553,4.932659163841808,5.786459084745763,17.309120548255603,1.4854775886751705
AZD5438,691,1.485327596113571,0.05059023410222488,2.2508720351307865e-09,1.485327596113571,0.893292231213872,1.82040098265896,2.713693213872832,49.0711793568189,1.485327596113571
