drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
Bicalutamide,Hormone-related,0.5571948558665469,0.0871058921662468,1.6394152011936138,0.15632931863805546,2.9422655000000004,0.7231252053480635
Tozasertib,Mitosis,0.5078306136002793,0.07854826141579833,3.7923757296200784,0.15467413604494668,7.467796599999998,0.7231252053480635
IOX2,Other,0.5448959413036244,0.07596037603558126,1.4762473412661357,0.1394034535361954,2.709228,0.7231252053480635
SL0101,"Other, kinases",0.5080791334587397,0.06374482500245872,1.3519698676626655,0.12546239513620044,2.6609434999999992,0.7231252053480635
BX795,"Other, kinases",0.501040605685551,0.06033395667716644,2.023475784449262,0.12041729950133331,4.0385465,0.7231252053480635
CHIR-99021,WNT signaling,0.4854481671788871,0.05961958351082977,2.4322149805394337,0.1228134897641091,5.010246499999999,0.7231252053480635
Elesclomol,Protein stability and degradation,0.49130691924759196,0.05511159395790451,3.0928188177517275,0.11217345369836175,6.295085,0.7231252053480635
Lenalidomide,Protein stability and degradation,0.4506977204333198,0.050769866974595214,1.6148654813839394,0.11264726816408772,3.5830344999999992,0.7231252053480635
Piperlongumine,Other,0.47738051740035997,0.050755458299213164,1.8426107454507945,0.10632075765389183,3.8598365,0.7231252053480635
PF-4708671,PI3K/MTOR signaling,0.4390144600200405,0.046922727870901154,1.2815905917354191,0.10688196436344986,2.9192446,0.7231252053480635
Oxaliplatin,DNA replication,0.4375554025775706,0.043902244682505316,2.3744307091855994,0.10033528194117601,5.426582999999997,0.7231252053480635
Tretinoin,Other,0.4751234003783989,0.043773132910067014,1.4346990115399265,0.09213002953591659,3.0196345000000004,0.7231252053480635
Ribociclib,Cell cycle,0.42221925415618644,0.04339259388676634,1.6424328986675656,0.10277265534345964,3.8900000000000006,0.7231252053480635
UNC0638,Chromatin histone methylation,0.4288410428205787,0.04297976709648532,1.9868980429641783,0.10022307289852261,4.633180699999999,0.7231252053480635
GSK269962A,Cytoskeleton,0.3872358313446974,0.039969334008835185,1.928146878768236,0.10321703410048473,4.979257399999999,0.7231252053480635
BMS-345541,Other,0.4197260488743009,0.03583667931709687,1.6884522076022064,0.08538111802498395,4.0227482000000006,0.7231252053480635
Bosutinib,"Other, kinases",0.43599875027559065,0.03548977298994634,1.9619003531096608,0.08139879522020096,4.49978435,0.7231252053480635
