cancer,threshold,nb_treat_all,nb_netith,nb_full,nb_clinical
BLCA,0.01,0.380471,0.008844,0.008844,0.008766
BLCA,0.02,0.37415,0.017687,0.017687,0.013036
BLCA,0.03,0.367698,0.021947,0.021947,0.021754
BLCA,0.04,0.361111,0.026111,0.026111,0.034875
BLCA,0.05,0.354386,0.03462,0.03462,0.043589
BLCA,0.06,0.347518,0.04331,0.04331,0.052301
BLCA,0.07,0.340502,0.051995,0.051995,0.061011
BLCA,0.08,0.333333,0.055845,0.055845,0.064547
BLCA,0.09,0.326007,0.064029,0.064029,0.068306
BLCA,0.1,0.318519,0.067654,0.067654,0.071953
BLCA,0.11,0.310861,0.071161,0.071161,0.075484
BLCA,0.12,0.30303,0.074545,0.074545,0.088306
BLCA,0.13,0.295019,0.087356,0.087356,0.096714
BLCA,0.14,0.286822,0.090543,0.090543,0.105112
BLCA,0.15,0.278431,0.098824,0.098824,0.108318
BLCA,0.16,0.269841,0.101799,0.101799,0.105307
BLCA,0.17,0.261044,0.114431,0.114431,0.108115
BLCA,0.18,0.252033,0.117182,0.117182,0.110777
BLCA,0.19,0.242798,0.125267,0.125267,0.113287
BLCA,0.2,0.233333,0.127778,0.127778,0.120044
BLCA,0.21,0.223629,0.134571,0.134571,0.122233
BLCA,0.22,0.213675,0.136752,0.136752,0.129899
BLCA,0.23,0.203463,0.138759,0.138759,0.150752
BLCA,0.24,0.192982,0.146433,0.146433,0.149548
BLCA,0.25,0.182222,0.140741,0.140741,0.151248
BLCA,0.26,0.171171,0.148108,0.148108,0.152756
BLCA,0.27,0.159817,0.149346,0.149346,0.1464
BLCA,0.28,0.148148,0.15037,0.15037,0.141214
BLCA,0.29,0.13615,0.151174,0.151174,0.141838
BLCA,0.3,0.12381,0.15619,0.15619,0.142228
BLCA,0.31,0.111111,0.162963,0.162963,0.146779
BLCA,0.32,0.098039,0.163137,0.163137,0.14667
BLCA,0.33,0.084577,0.163051,0.163051,0.15287
BLCA,0.34,0.070707,0.160404,0.160404,0.145641
BLCA,0.35,0.05641,0.159658,0.159658,0.149102
BLCA,0.36,0.041667,0.151667,0.151667,0.147852
BLCA,0.37,0.026455,0.157249,0.157249,0.153276
BLCA,0.38,0.010753,0.152832,0.152832,0.151485
BLCA,0.39,-0.005464,0.150674,0.150674,0.153752
BLCA,0.4,-0.022222,0.140741,0.140741,0.151248
BLCA,0.41,-0.039548,0.145235,0.145235,0.148361
BLCA,0.42,-0.057471,0.131034,0.131034,0.145071
BLCA,0.43,-0.076023,0.127018,0.127018,0.138032
BLCA,0.44,-0.095238,0.114603,0.114603,0.133732
BLCA,0.45,-0.115152,0.109495,0.109495,0.120945
BLCA,0.46,-0.135802,0.108313,0.108313,0.107358
BLCA,0.47,-0.157233,0.102138,0.102138,0.113956
BLCA,0.48,-0.179487,0.086838,0.086838,0.107421
BLCA,0.49,-0.202614,0.070588,0.070588,0.091647
BLCA,0.5,-0.226667,0.066667,0.066667,0.079295
BRCA,0.01,0.059876,0.005978,0.005978,0.005943
BRCA,0.02,0.050283,0.007254,0.007254,0.008738
BRCA,0.03,0.040492,0.009937,0.009937,0.011374
BRCA,0.04,0.030497,0.012425,0.012425,0.010791
BRCA,0.05,0.020292,0.011573,0.011573,0.016231
