drug,instrument_gene,n,F_stat_stage1,beta_ols,beta_iv,delta_iv_ols,rho_crispr_netith
Afatinib,FERMT2,570,54.99349724319825,0.10945486658595209,0.8627134992849085,0.7532586326989564,-0.35406828454057226
PD173074,FERMT2,572,52.66739127649901,0.18671510577560615,0.3346833204396776,0.14796821466407142,-0.35099552614521307
MK-2206,FERMT2,572,52.66739127649901,0.12257217807051381,0.4956757356169064,0.37310355754639263,-0.35099552614521307
MG-132,FERMT2,572,52.66739127649901,0.054781053896252575,0.13203074635029913,0.07724969245404656,-0.35099552614521307
Docetaxel,FERMT2,572,52.66739127649901,0.17089318479611823,0.5664050519679524,0.3955118671718342,-0.35099552614521307
Nutlin-3a (-),FERMT2,572,52.66739127649901,0.19310384639952194,0.2716801778759231,0.07857633147640114,-0.35099552614521307
5-Fluorouracil,FERMT2,572,52.66739127649901,0.2194981237127345,0.9790273652049849,0.7595292414922504,-0.35099552614521307
GW441756,FERMT2,565,52.5728810711957,0.14023046002084436,0.6610673542171154,0.520836894196271,-0.34997335352388836
Lapatinib,FERMT2,571,52.53565496161792,0.08445848111686635,0.7715125951577256,0.6870541140408593,-0.3504303512875731
Camptothecin,FERMT2,571,52.53565496161792,0.1979871779634431,0.6900365600638799,0.4920493821004368,-0.3504303512875731
Olaparib,FERMT2,571,52.53565496161792,0.20191035823368397,0.698294070570616,0.496383712336932,-0.3504303512875731
MK-1775,FERMT2,571,52.53565496161792,0.2282855729816046,0.7711577037221367,0.5428721307405321,-0.3504303512875731
AZD3759,FERMT2,571,52.53565496161792,0.14690781758177332,0.7276970871280113,0.580789269546238,-0.3504303512875731
Oxaliplatin,FERMT2,571,52.53565496161792,0.2657031102275074,1.0467682365665607,0.7810651263390533,-0.3504303512875731
MIRA-1,FERMT2,571,52.53565496161792,0.18785771590034817,0.6861881692525249,0.49833045335217674,-0.3504303512875731
Gemcitabine,FERMT2,571,52.53565496161792,0.21828701803109102,0.7071313631894971,0.4888443451584061,-0.3504303512875731
PD0325901,FERMT2,571,52.53565496161792,0.08956246237943777,0.4206175671411102,0.33105510476167244,-0.3504303512875731
Linsitinib,FERMT2,571,52.53565496161792,0.22018722358495654,1.0506247699509126,0.830437546365956,-0.3504303512875731
Axitinib,FERMT2,567,52.46814782637274,0.18626014427652626,0.8224803335023103,0.636220189225784,-0.35284886916051994
LGK974,FERMT2,570,52.34035733767973,0.216576537076208,1.072049192624825,0.855472655548617,-0.3495411448513312
Irinotecan,FERMT2,570,52.34035733767973,0.21827951516117608,0.7690287948093534,0.5507492796481773,-0.3495411448513312
GSK343,FERMT2,570,52.34035733767973,0.20393028131039767,0.7812030728200939,0.5772727915096962,-0.3495411448513312
Luminespib,FERMT2,570,52.34035733767973,0.09728320854179227,0.2721893350163787,0.17490612647458642,-0.3495411448513312
GSK1904529A,FERMT2,570,52.34035733767973,0.18172481933496568,0.6354045052269357,0.45367968589197005,-0.3495411448513312
EPZ004777,FERMT2,570,52.34035733767973,0.2608164638823929,0.744052504021397,0.4832360401390041,-0.3495411448513312
Fulvestrant,FERMT2,570,52.34035733767973,0.2051883649728587,0.8404482803256909,0.6352599153528322,-0.3495411448513312
Alpelisib,FERMT2,570,52.34035733767973,0.1754072902812252,0.7511361144386604,0.5757288241574352,-0.3495411448513312
Navitoclax,FERMT2,571,52.197466420538575,0.13340722263350172,0.9110624812958358,0.7776552586623341,-0.3496556351750379
Dactinomycin,FERMT2,569,52.18437375431682,0.2217488468635391,0.6655309697357308,0.44378212287219165,-0.34951451377769904
GNE-317,FERMT2,557,52.11386739182747,0.05628083964861328,0.14472857272948397,0.0884477330808707,-0.35448678180291227
Bortezomib,FERMT2,566,52.08046744428673,0.06586564625027966,0.14201142657180627,0.07614578032152661,-0.35023417318673583
Crizotinib,FERMT2,570,52.079531869477876,0.20831242050621987,0.8972504017342148,0.6889379812279949,-0.34918087094596695
AZD7762,FERMT2,569,52.04866736204189,0.17656345080487745,0.6267407843841677,0.45017733357929024,-0.3494148500288569
BIBR-1532,FERMT2,565,52.026918378677415,0.16884627583499334,0.4146717581123543,0.24582548227736095,-0.35079244158234163
Foretinib,FERMT2,565,52.026918378677415,0.1679932053846095,0.5385136767659354,0.37052047138132593,-0.35079244158234163
GSK2578215A,FERMT2,567,51.970111220488675,0.16106910237369965,0.4795014787980363,0.31843237642433664,-0.3493209617606174
P22077,FERMT2,567,51.970111220488675,0.1507318258225852,0.7718344651938726,0.6211026393712873,-0.3493209617606174
Buparlisib,FERMT2,567,51.970111220488675,0.16229622503791616,0.5199444086821008,0.3576481836441846,-0.3493209617606174
Gefitinib,FERMT2,567,51.970111220488675,0.1566692707838535,1.0507539102551804,0.8940846394713269,-0.3493209617606174
NVP-ADW742,FERMT2,567,51.970111220488675,0.1771537013202507,0.7357161881052857,0.558562486785035,-0.3493209617606174
Cediranib,FERMT2,567,51.970111220488675,0.12041081921677685,0.2673846816531659,0.14697386243638907,-0.3493209617606174
BMS-536924,FERMT2,567,51.970111220488675,0.12880118837570362,0.5408148339122392,0.4120136455365355,-0.3493209617606174
AZD6738,FERMT2,567,51.970111220488675,0.17750058632024893,0.6017607714090372,0.42426018508878827,-0.3493209617606174
AZD8186,FERMT2,567,51.970111220488675,0.05517264793066273,-0.08968331361908234,-0.14485596154974506,-0.3493209617606174
Ipatasertib,FERMT2,567,51.970111220488675,0.056291894367077114,0.5102065408831109,0.4539146465160338,-0.3493209617606174
