tf_a,tf_b,n,beta_a,beta_b,beta_interaction,p_interaction
KLF6,NPM1,317,0.11426404089556534,0.12071295198347076,0.1765544529710047,0.001998001998001998
KLF6,TPI1,572,0.09746309855445817,0.12437850863162125,0.11811215568419758,0.008991008991008992
NPM1,ANXA1,317,0.12033814992503636,-0.10588505474572223,-0.1509680384100754,0.011988011988011988
MCL1,FCRL6,572,0.06971700520881284,0.11894389148775188,-0.11364961914760414,0.012987012987012988
NNAT,MCL1,572,-0.12741669733961622,0.08585762926533155,0.10113075522859942,0.016983016983016984
TEAD2,IRF2,572,0.09504462855831464,0.08441182255414288,0.10562333198350621,0.016983016983016984
KLF6,IRF2,572,0.10208296842586727,0.1324375859294397,0.10648207848210356,0.017982017982017984
MCL1,NPM1,317,0.03565029872899065,0.11241277709115693,-0.1494590481666021,0.01898101898101898
CDC42,NPM1,317,-0.09786183316267802,0.10973651875948252,0.1296243013450375,0.027972027972027972
MCL1,TPI1,572,0.09044779517261663,0.12854057645187314,-0.09330378889991964,0.03396603396603397
HMGB1,MCL1,572,0.18289891966156488,0.06936251442606456,-0.07911491993471556,0.04595404595404595
HMGB1,IRF2,572,0.1744150995287396,0.09654112102426846,-0.08156788318205402,0.05194805194805195
MCL1,ANXA1,572,0.08993333809704683,-0.07632842042549126,0.08693900011785989,0.053946053946053944
JUN,IRF2,572,-0.14543332532952283,0.10660083883797736,0.07857708604802846,0.061938061938061936
CDC42,CCL19,572,-0.13677270354296273,-0.06877400995236675,-0.08080630885200721,0.06393606393606394
MCL1,SLC7A11,572,0.07821101838277185,0.1061762447954416,-0.08651675512391956,0.06493506493506493
SELP,CDC42,572,-0.09431115489270321,-0.1405121654442153,-0.08167549336324975,0.06493506493506493
NPM1,TPI1,317,0.09392502665782262,0.16157887687868874,0.10963017043365458,0.06693306693306693
JUN,SERPINA3,572,-0.13781325587957224,0.09026063868085636,0.06826211800046483,0.07792207792207792
FCRL6,NPM1,317,0.14988101785695007,0.1055285370205072,0.08644275210103994,0.1038961038961039
CDC42,MCL1,572,-0.1316734958928286,0.07805127691746314,-0.06679791489205458,0.11288711288711288
IRF2,TPI1,572,0.11692484340213122,0.12910124551800142,0.05613233633005807,0.11288711288711288
NNAT,SERPINA3,572,-0.14225022797835957,0.07492743982183168,-0.06695029517796416,0.11588411588411589
BLNK,NPM1,317,0.15550766972647032,0.09214896004707597,0.08865650446855922,0.11888111888111888
SELP,TEAD2,572,-0.0850524571127952,0.0771710633194217,-0.06680185284235447,0.13186813186813187
CCL19,IRF2,572,-0.07258022163356072,0.10622366330526055,0.06774290566897719,0.13486513486513488
CDC42,BLNK,572,-0.13210806167215125,0.14626542836533904,-0.059848094546041036,0.13886113886113885
