drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
CHIR-99021,191,0.3723305318269496,1.1336932260291444e-07,0.1237806558280518,0.08800429066631393,,,-0.2430232157619179,0.0007052501023118273,-0.24854987599889777,-0.6153537475888675
AZD6482,232,0.14829066153618464,0.023883376889732424,-0.08645579668222851,0.18945233210327064,,,-0.23052284403475753,0.000400048071452595,-0.23474645821841317,-0.3788135055709422
Elesclomol,191,0.3320611738771011,2.693570711077006e-06,0.1357088729677597,0.06122160965441982,,,-0.1805869385505649,0.01242050126183577,-0.1963523009093414,-0.5126481124276661
GSK269962A,233,0.3419198703718461,8.635014373018443e-08,0.14638475578981722,0.025450215198422072,,,-0.19000049331557398,0.003600442487583051,-0.1955351145820289,-0.5319203636874201
Tretinoin,191,0.2944871176632681,3.545654357672757e-05,0.10550771562413887,0.14632608308352893,,,-0.18604987599889775,0.00996847348853534,-0.18897940203912927,-0.48053699366216585
Piperlongumine,191,0.4014277349131993,8.646658626753246e-09,0.2205617938826123,0.0021689669529348773,,,-0.1512985670983742,0.036680299454601266,-0.18086594103058698,-0.5527263020115735
Tozasertib,233,0.36486568534814795,9.549855794632858e-09,0.20411501083396896,0.0017364170819943567,,,-0.17555583383613574,0.00722642877729417,-0.160750674514179,-0.5404215191842837
IOX2,191,0.3882560622761091,2.8591542925807678e-08,0.23453947368421052,0.0010915644556995768,,,-0.15028589143014603,0.03797180391619462,-0.15371658859189857,-0.5385419537062551
Alpelisib,907,0.1879149727659786,1.1813242346516033e-08,0.03489578821791039,0.2938066804185871,,,-0.14857520314344136,7.011248283407834e-06,-0.1530191845480682,-0.33649017590942
Refametinib,890,0.04233247675132061,0.2070603934577323,-0.1072988455064961,0.0013469099116352275,,,-0.15042810723918326,6.5730588076794525e-06,-0.14963132225781672,-0.1927605839905039
BX795,191,0.3134713419674841,1.0071639463852996e-05,0.16794743731055387,0.020213348919639697,,,-0.14356227610912098,0.04755523207788924,-0.14552390465693024,-0.4570336180766051
SCH772984,906,0.09485040247479541,0.0042701373935594075,-0.04914580419843759,0.1393725723668182,,,-0.1468633000665705,9.056856151476963e-06,-0.14399620667323298,-0.24171370254136593
Selumetinib,909,0.12098116477668973,0.0002562270325651929,-0.01992204593940539,0.5485893475954328,,,-0.14628709276504454,9.498959400024822e-06,-0.14090321071609513,-0.2672682575417343
Taselisib,908,0.11487103812402233,0.0005240909131169423,-0.02355335271735626,0.47841462384516975,,,-0.1371553549625662,3.3711548935238414e-05,-0.1384243908413786,-0.25202639308658853
Pictilisib,909,0.11817324008626842,0.0003563082620326411,-0.020230622084331688,0.5424125851169441,,,-0.13137676501832302,7.105027674203514e-05,-0.1384038621706001,-0.24955000510459144
Ribociclib,901,0.3288607304194321,3.6336800636434185e-24,0.1921905118153189,6.056011597155192e-09,,,-0.15013588416582377,6.011088796419923e-06,-0.1366702186041132,-0.4789966145852559
Trametinib,908,0.0434044157248562,0.19130745276983918,-0.09135634893915011,0.005872537540680902,,,-0.1389066270400724,2.6657197273572226e-05,-0.1347607646640063,-0.1823110427649286
Bicalutamide,191,0.3888244006613392,2.718271241686274e-08,0.25444165059244966,0.0003822988894430951,,,-0.13743111049875997,0.0579767489573284,-0.13438275006888956,-0.5262555111600992
L-Oxonoreleagnine,691,0.241728153849679,1.2066358519177631e-10,0.10956134030723527,0.003932874674530725,,,-0.11439241982782983,0.0025998923776450445,-0.13216681354244372,-0.3561205736775088
PD0325901,910,0.06800703833667285,0.040260178947836074,-0.06317942634904737,0.05675829397035769,,,-0.13363886297557273,5.2549436989897706e-05,-0.1311864646857202,-0.20164590131224558
VX-11e,897,0.1499494523166521,6.475396439614677e-06,0.019269002266298137,0.56437553059421,,,-0.13070073454951622,8.64149978066909e-05,-0.13068045005035397,-0.2806501868661683
Linsitinib,909,0.2580021859474034,2.741810599229155e-15,0.1294699804491753,9.055893841333972e-05,,,-0.1206455558660383,0.00026662592653498203,-0.12853220549822808,-0.3786477418134417
ERK_6604,691,0.1366917634513177,0.0003138130851918309,0.00913013290833315,0.8106611655706993,,,-0.1345415093495555,0.0003905187772084999,-0.12756163054298456,-0.27123327280087317
Ulixertinib,905,0.17068680803638647,2.395867916577035e-07,0.043200239735552655,0.19414571762832888,,,-0.1258627193407078,0.00014691416279308958,-0.12748656830083382,-0.2965495273770943
Nelarabine,690,0.2708440526207693,4.577356482335683e-13,0.14510305081780123,0.0001308276782822915,,,-0.11240791442992722,0.003109136391446119,-0.1257410018029681,-0.38325196705069653
SL0101,191,0.325416781482502,4.359240900412343e-06,0.20166884816753924,0.0051479654138048255,,,-0.10561621658859188,0.14590921545797006,-0.12374793331496278,-0.4310329980710939
Dinaciclib,837,0.25092219077615624,1.7484939182739187e-13,0.1278914530755157,0.00020747560069506234,,,-0.11170088344904282,0.0012082801740095036,-0.12303073770064055,-0.36262307422519907
N-acetyl cysteine,710,0.14734176544630778,8.126033244597035e-05,0.027358492542921862,0.4667106923380553,,,-0.09124275806655349,0.015014483902953355,-0.11998327290338592,-0.23858452351286127
Niraparib,840,0.30478742175088114,1.6207824234859028e-19,0.18614840521518392,5.491082593079839e-08,,,-0.11870103071493662,0.0005661052782988753,-0.11863901653569722,-0.4234884524658178
Mirin,840,0.2859043977427081,2.888640023091012e-17,0.16755405184612138,1.04213796927037e-06,,,-0.09432101559910698,0.0062245291085254225,-0.11835034589658672,-0.3802254133418151
SB505124,230,0.2323366020726947,0.00038071108205556617,0.1159155634568583,0.07938138175980472,,,-0.11971772294536674,0.06994910689767928,-0.11642103861583639,-0.35205432501806144
CDK9_5576,690,0.2565516653140373,7.827270523653417e-12,0.1427767900300604,0.00016793140782980247,,,-0.09409221337505892,0.013413172363562239,-0.11377487528397687,-0.3506438786890962
Sabutoclax,838,0.25073646303960284,1.7646207906972818e-13,0.13759308108868215,6.438047846421674e-05,,,-0.09142168206283244,0.008094731574361635,-0.11314338195092069,-0.34215814510243525
Foretinib,895,0.18104239422700952,4.932630674908769e-08,0.06883273767119985,0.039513168891066014,,,-0.10665403032721467,0.0013964702267981438,-0.11220965655580967,-0.2876964245542242
CCT-018159,191,0.2300737117663268,0.001365367761129713,0.11789232570956185,0.10431639461090925,,,-0.07992904381372279,0.2717027599314051,-0.11218138605676495,-0.3100027555800496
PD173074,909,0.2282033228253842,3.3344833119505025e-12,0.1161707863674977,0.0004488227390432529,,,-0.12044672444201385,0.00027297171512120943,-0.1120325364578865,-0.348650047267398
