cell_line,phospho_netith,original_netith
22RV1,4.526522617057164,5.474759844061047
23132-87,4.826380938306622,5.600476811322167
42-MG-BA,4.661875392966941,5.835021546599582
451Lu,4.5082974653474315,5.59299795943516
5637,4.720239338902059,5.805156996345573
639-V,4.762697326003569,5.734392650468702
647-V,4.695929281511475,5.609990982558818
697,4.59868924181752,5.480267124691312
769-P,5.160615893232274,6.143313361359189
8-MG-BA,4.475546239403653,5.700381326140923
8305C,4.46992284044998,5.561694191753139
8505C,4.772500733068887,5.650602898353593
A101D,5.0178510047129175,6.067922038451346
A172,4.450095400122454,5.79006461747285
A204,4.760005150332247,5.664037962475717
A2058,4.644793414986287,5.852017879304899
A253,4.706835479200359,5.411139004983842
A2780,4.287960891158346,5.254833550876037
A3-KAW,4.850745899014601,5.6625654454499434
A375,4.400317069674215,5.679717709016476
A388,4.559904257412308,5.677166688206238
A4-Fuk,4.7414871465036725,5.731087325593553
A427,4.574044053454997,5.302914751682604
A431,4.709922199895036,5.7539580840074125
A498,4.451613968480869,5.584515593050497
A549,4.846871960861677,5.549413855829197
A673,4.934658151293916,5.520079116786956
A704,4.709178307051478,5.823855285016693
ABC-1,4.431059498516998,5.620186522704703
ACHN,4.296472257800249,5.832670206596202
AGS,4.764410645496891,6.0008485242905225
ALL-PO,4.638323646940206,5.45520372131059
ALL-SIL,4.680336188744706,5.653647362481954
AM-38,4.665827430555094,5.655204400452173
AMO-1,4.769015158707987,5.545068737613912
AN3-CA,4.8250424122378215,5.545508247051141
ARH-77,4.31585008416415,5.6614860779543825
ASH-3,4.539886599256309,5.489841473015603
ATN-1,4.84156992804599,5.738950443887134
AU565,4.816605695196214,6.025228622515717
AsPC-1,4.534882081710818,5.3559748260395486
BALL-1,4.4933206268344295,5.526356098206438
BB30-HNC,4.489930207517878,5.464460324280546
BB49-HNC,4.673368774425063,6.014798293629116
BB65-RCC,4.947433424423615,5.92477131160922
BC-1,4.805275388545889,5.644084048057781
BE-13,4.449984863463419,5.603565563014694
BE2-M17,4.501691462707962,5.646836656457521
BEN,4.92122973736155,5.875016080295908
BFTC-905,4.559438206348152,5.620038675754426
BFTC-909,4.94838962013511,5.993745833860493
BHT-101,4.503955871505355,5.885696700224442
BHY,4.669178651529923,5.575470919607053
BICR10,4.917015555794167,6.08732790111817
BICR22,4.773165212486287,5.683980582476864
BICR31,4.673679715037475,5.845739388479792
BICR78,4.909044231869933,6.471341912995889
BL-41,4.78953523552144,5.655590957212751
BONNA-12,4.349527529125138,5.486431029115686
BPH-1,4.582812729244456,5.6393010335956815
BT-20,4.544490256837237,5.637887515981655
BT-474,4.374961143480775,5.747313412409961
BT-483,5.015125903081718,5.998675838493377
BT-549,4.570508360423711,5.696743368831805
BV-173,4.570961250280439,5.55965281388503
Becker,4.532759617032351,6.063902704888157
BxPC-3,4.890861018037576,5.826451688801147
C-33-A,5.158741244738247,6.191368909592454
C-4-I,4.830948867204423,5.856049424115925
C2BBe1,4.7492094207404705,5.452300085466814
C32,5.048865463309338,6.193267976703693
C3A,4.959940399646072,5.9436707294795035
CA46,4.680307362753771,5.645528036899209
CADO-ES1,4.474358900323289,5.6271587620032175
CAKI-1,4.8785120379177975,5.846979674552318
CAL-120,4.442420029755143,6.056036073657474
CAL-12T,4.8408190396042174,5.620971576149218
CAL-148,4.909434609467006,5.726176701446806
CAL-27,4.470496788985612,5.405777906699883
CAL-29,4.671284992772287,5.6797517486267495
CAL-33,4.445189354467133,5.5002601395149995
CAL-39,4.495036648084855,5.611720094987848
CAL-51,4.956476059700723,5.972595300038267
CAL-54,4.297882892882394,5.700761283865943
CAL-62,4.633380697514486,5.671111953219538
CAL-72,4.592305185122092,5.595110784729117
CAL-78,4.810056792808316,5.822211946277074
CAL-85-1,4.568757750311466,5.795134882131053
CAMA-1,3.8311363623212387,6.072004658551825
CAPAN-1,4.627210621675282,5.593215818730037
CAS-1,4.765757313036651,5.834829791505953
CCK-81,4.632313162618128,6.116152395504925
CCRF-CEM,4.776972611044834,5.643415230585235
CESS,4.47672586347305,5.640557672226364
CFPAC-1,4.878011431830544,5.878515121510224
CGTH-W-1,4.700842000629763,5.557686247749309
CHL-1,4.6178300514120645,5.661304900821209
CHP-126,4.369186115082999,5.636572458305328
CHP-134,4.462149471141192,5.686431186076922
CHP-212,4.621025906115013,5.475822240138143
CHSA0011,4.960303380320147,5.792082292532975
CHSA0108,4.625494296197192,5.444028911132717
CHSA8926,5.133712555938791,6.0528340463963834
CL-11,4.88537937162362,6.065093653625862
CML-T1,4.6049482127383845,5.7641896693687755
COLO-205,4.947539756755391,5.86876690917787
COLO-320-HSR,4.751988711302953,5.4640026156887105
COLO-668,4.700102965542191,5.673902494920022
COLO-678,4.708620895546064,5.8010841837309925
COLO-679,5.054189721024725,5.9094896487273045
COLO-680N,4.387003772768251,5.837733427214895
COLO-684,4.300523929449151,5.697631338975769
COLO-783,4.943135227742619,5.909754673611797
COLO-792,4.847023804828698,5.854940105068648
COLO-800,5.05511384051236,5.98608323857775
COLO-824,4.667906580958791,5.751398541801438
COLO-829,4.461045583626486,5.271110856800618
COR-L105,4.640735795883099,5.6481067472477555
COR-L23,4.008546863502496,5.707901394260898
COR-L279,4.571100446602876,5.860062218724466
COR-L303,4.3928416623087045,5.767176965006227
COR-L311,4.8926100801281045,5.962355347379985
COR-L32,4.759998971645498,5.581067450418253
COR-L321,4.245557116362409,5.987037170148957
COR-L88,4.7971142817721955,5.985494333075562
COR-L95,4.5777897531374245,5.618815918253638
CP50-MEL-B,5.056467222182974,5.998025068776989
CP66-MEL,5.023292801793074,5.821948664396126
CPC-N,4.901261009229833,6.00969842297321
CRO-AP2,4.785604367822975,5.639295502914713
CS1,4.670486492941073,5.782519426749385
CTB-1,4.7140332960915465,5.622943184279893
CTV-1,4.449019304255191,5.405155651205601
CW-2,4.75338625912191,5.439798779161638
Ca-Ski,4.692840838818379,5.801942592011693
Ca9-22,4.511685767302776,5.211928280979993
CaR-1,4.639586722569284,5.747743054163058
Calu-3,4.660982167486255,5.66059113831842
Calu-6,4.714966819679501,6.15733757838004
Caov-4,4.670560158887829,5.5101292910869
ChaGo-K-1,4.484534213760933,5.71959327196718
D-247MG,4.88376417807903,5.8142167681107395
D-263MG,4.334886718853243,5.9875601646624155
D-283MED,4.40737992677515,5.568210168170377
D-336MG,4.815669329670077,5.591063185976755
D-392MG,5.228059492017403,6.273887243347466
D-423MG,4.801849053408353,5.947558281318028
D-502MG,4.703194699372152,5.726529591900397
D-542MG,4.719651234618111,5.6550194321387535
D-566MG,4.780720348809148,5.715799643015952
DAN-G,4.623890093510664,5.6607230725235675
DB,4.400619850044105,5.380585385278933
DBTRG-05MG,5.0262300031062574,6.03639467236699
DEL,4.7486681719816755,5.6377808624002155
DG-75,4.672838612795507,5.72950630439281
DJM-1,4.2278459890142575,5.610264471657869
DK-MG,4.988975124006691,5.977371085205127
DMS-114,4.660331003460573,5.6769882765522715
DMS-273,4.590511961097029,5.871987914227426
DMS-53,4.496826437345325,5.594156801031713
DMS-79,4.44311047973893,6.172900800504345
DND-41,4.730408921293101,5.685849305057826
DOHH-2,4.642723488607188,5.442776866965639
DOK,4.570089605343795,5.605009954514734
DOV13,4.805608479146158,5.946208441663036
DSH1,4.904806413236486,6.001307910980471
DU-145,4.687232007032256,5.888542853153657
DU-4475,4.723373847222398,5.869163989496962
Daoy,4.75852490418235,6.042268365048645
Daudi,4.68876123976996,5.54264198266124
Detroit562,4.5458944620711845,5.630860323924269
DoTc2-4510,4.837302455307425,5.835981877652204
EB-3,4.618230207564215,5.328298746201879
EB2,4.28311276074191,5.4090624139674315
EBC-1,4.581326284448911,5.576957244519211
EC-GI-10,4.897858211243459,5.6949486212847455
ECC10,4.901209708746609,5.9367257031264975
ECC12,4.617772557467278,5.669285236440704
